#: table_doi: 10.17182/hepdata.84154.v2/t80
#: name: Table 80
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the production angle $\chi^{t\bar{t}}$.

#: data_file: Table_80.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\chi^{t\bar{t}} bin,\chi^{t\bar{t}} bin,
1,1,1.0
2,1,-0.471540164476
3,1,-0.291451120297
4,1,-0.113170385612
5,1,-0.0992285706163
6,1,-0.102759948714
7,1,-0.0897930920845
8,1,-0.0563331625203
9,1,-0.0523532788883
10,1,-0.0403630255256
1,2,-0.471540164476
2,2,1.0
3,2,-0.213291788316
4,2,-0.270446843056
5,2,-0.0707071407635
6,2,-0.0741768667745
7,2,-0.0693524855301
8,2,-0.0635228873337
9,2,-0.0405612966755
10,2,-0.0356875408967
1,3,-0.291451120297
2,3,-0.213291788316
3,3,1.0
4,3,-0.124563895052
5,3,-0.28781661477
6,3,-0.0601335766964
7,3,-0.0331267510852
8,3,-0.0358416097767
9,3,-0.0210653877708
10,3,-0.0320706937177
1,4,-0.113170385612
2,4,-0.270446843056
3,4,-0.124563895052
4,4,1.0
5,4,-0.098870348667
6,4,-0.218051394541
7,4,-0.0419449054371
8,4,-0.0249081734219
9,4,-0.0219770553156
10,4,-0.0249453792776
1,5,-0.0992285706163
2,5,-0.0707071407635
3,5,-0.28781661477
4,5,-0.098870348667
5,5,1.0
6,5,-0.0943600342012
7,5,-0.193827932639
8,5,-0.0219533691448
9,5,-0.00451315923806
10,5,-0.0265563181735
1,6,-0.102759948714
2,6,-0.0741768667745
3,6,-0.0601335766964
4,6,-0.218051394541
5,6,-0.0943600342012
6,6,1.0
7,6,-0.0793232389234
8,6,-0.193458209767
9,6,-0.0303416139378
10,6,-0.00623411671921
1,7,-0.0897930920845
2,7,-0.0693524855301
3,7,-0.0331267510852
4,7,-0.0419449054371
5,7,-0.193827932639
6,7,-0.0793232389234
7,7,1.0
8,7,-0.0357677320403
9,7,-0.178410578193
10,7,0.0215277184528
1,8,-0.0563331625203
2,8,-0.0635228873337
3,8,-0.0358416097767
4,8,-0.0249081734219
5,8,-0.0219533691448
6,8,-0.193458209767
7,8,-0.0357677320403
8,8,1.0
9,8,0.0180088807722
10,8,-0.152853380026
1,9,-0.0523532788883
2,9,-0.0405612966755
3,9,-0.0210653877708
4,9,-0.0219770553156
5,9,-0.00451315923806
6,9,-0.0303416139378
7,9,-0.178410578193
8,9,0.0180088807722
9,9,1.0
10,9,-0.170475056692
1,10,-0.0403630255256
2,10,-0.0356875408967
3,10,-0.0320706937177
4,10,-0.0249453792776
5,10,-0.0265563181735
6,10,-0.00623411671921
7,10,0.0215277184528
8,10,-0.152853380026
9,10,-0.170475056692
10,10,1.0

