#: table_doi: 10.17182/hepdata.84154.v2/t117
#: name: Table 117
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$.

#: data_file: Table_117.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
H_{T}^{t\bar{t}} bin,H_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,0.803238576682
3,1,0.762372835702
4,1,0.760515546209
5,1,0.78758551392
6,1,0.827600945614
7,1,0.853126597287
8,1,0.869310583924
9,1,0.862452855156
10,1,0.830295302679
11,1,0.838445878766
12,1,0.672055559553
13,1,0.370665159738
14,1,0.658157579388
15,1,0.51882889846
1,2,0.803238576682
2,2,1.0
3,2,0.996047629131
4,2,0.983200125942
5,2,0.955608657221
6,2,0.918536215442
7,2,0.891648349788
8,2,0.864767358771
9,2,0.792469905778
10,2,0.899261879067
11,2,0.790169290395
12,2,0.314413782108
13,2,-0.107060009354
14,2,0.622603467451
15,2,0.829143388626
1,3,0.762372835702
2,3,0.996047629131
3,3,1.0
4,3,0.993015798094
5,3,0.967333323706
6,3,0.925834539851
7,3,0.893032609358
8,3,0.861733571452
9,3,0.777377255667
10,3,0.896918156754
11,3,0.777542432674
12,3,0.275528461318
13,3,-0.153101079942
14,3,0.615512094031
15,3,0.851547081589
1,4,0.760515546209
2,4,0.983200125942
3,4,0.993015798094
4,4,1.0
5,4,0.988370279464
6,4,0.953250949922
7,4,0.91930472324
8,4,0.889405034096
9,4,0.793978749336
10,4,0.911496770664
11,4,0.795344693569
12,4,0.291247886542
13,4,-0.14005612723
14,4,0.634073456325
15,4,0.857642690919
1,5,0.78758551392
2,5,0.955608657221
3,5,0.967333323706
4,5,0.988370279464
5,5,1.0
6,5,0.985516490337
7,5,0.959938764892
8,5,0.936685311924
9,5,0.845849555368
10,5,0.937828461555
11,5,0.844950886243
12,5,0.379674905289
13,5,-0.0422413899606
14,5,0.690192684716
15,5,0.843782906946
1,6,0.827600945614
2,6,0.918536215442
3,6,0.925834539851
4,6,0.953250949922
5,6,0.985516490337
6,6,1.0
7,6,0.992260979154
8,6,0.9784054144
9,6,0.913205836849
10,6,0.965127767504
11,6,0.90796119988
12,6,0.517782665926
13,6,0.118550937435
14,6,0.770824630058
15,6,0.81757406949
1,7,0.853126597287
2,7,0.891648349788
3,7,0.893032609358
4,7,0.91930472324
5,7,0.959938764892
6,7,0.992260979154
7,7,1.0
8,7,0.994389240821
9,7,0.951725262304
10,7,0.979124727036
11,7,0.946315856277
12,7,0.613885147641
13,7,0.230905587859
14,7,0.8249019755
15,7,0.799403730061
1,8,0.869310583924
2,8,0.864767358771
3,8,0.861733571452
4,8,0.889405034096
5,8,0.936685311924
6,8,0.9784054144
7,8,0.994389240821
8,8,1.0
9,8,0.966392927168
10,8,0.980580457027
11,8,0.966157275314
12,8,0.663861839433
13,8,0.2955778281
14,8,0.852484551443
15,8,0.781568300312
1,9,0.862452855156
2,9,0.792469905778
3,9,0.777377255667
4,9,0.793978749336
5,9,0.845849555368
6,9,0.913205836849
7,9,0.951725262304
8,9,0.966392927168
9,9,1.0
10,9,0.953599360928
11,9,0.990459135879
12,9,0.79949040777
13,9,0.476408225511
14,9,0.907048069062
15,9,0.712398541278
1,10,0.830295302679
2,10,0.899261879067
3,10,0.896918156754
4,10,0.911496770664
5,10,0.937828461555
6,10,0.965127767504
7,10,0.979124727036
8,10,0.980580457027
9,10,0.953599360928
10,10,1.0
11,10,0.96683917959
12,10,0.62584536588
13,10,0.234480813383
14,10,0.876665580099
15,10,0.865907271452
1,11,0.838445878766
2,11,0.790169290395
3,11,0.777542432674
4,11,0.795344693569
5,11,0.844950886243
6,11,0.90796119988
7,11,0.946315856277
8,11,0.966157275314
9,11,0.990459135879
10,11,0.96683917959
11,11,1.0
12,11,0.787161241116
13,11,0.455859888581
14,11,0.939697794116
15,11,0.766723239766
1,12,0.672055559553
2,12,0.314413782108
3,12,0.275528461318
4,12,0.291247886542
5,12,0.379674905289
6,12,0.517782665926
7,12,0.613885147641
8,12,0.663861839433
9,12,0.79949040777
10,12,0.62584536588
11,12,0.787161241116
12,12,1.0
13,12,0.895137477827
14,12,0.81281628855
15,12,0.295681328187
1,13,0.370665159738
2,13,-0.107060009354
3,13,-0.153101079942
4,13,-0.14005612723
5,13,-0.0422413899606
6,13,0.118550937435
7,13,0.230905587859
8,13,0.2955778281
9,13,0.476408225511
10,13,0.234480813383
11,13,0.455859888581
12,13,0.895137477827
13,13,1.0
14,13,0.545643316649
15,13,-0.10167837557
1,14,0.658157579388
2,14,0.622603467451
3,14,0.615512094031
4,14,0.634073456325
5,14,0.690192684716
6,14,0.770824630058
7,14,0.8249019755
8,14,0.852484551443
9,14,0.907048069062
10,14,0.876665580099
11,14,0.939697794116
12,14,0.81281628855
13,14,0.545643316649
14,14,1.0
15,14,0.766057783183
1,15,0.51882889846
2,15,0.829143388626
3,15,0.851547081589
4,15,0.857642690919
5,15,0.843782906946
6,15,0.81757406949
7,15,0.799403730061
8,15,0.781568300312
9,15,0.712398541278
10,15,0.865907271452
11,15,0.766723239766
12,15,0.295681328187
13,15,-0.10167837557
14,15,0.766057783183
15,15,1.0

