#: table_doi: 10.17182/hepdata.84154.v2/t29
#: name: Table 29
#: description: Full phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for the top-quark transverse momentum $p_{T}^{t}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_29.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DPT_TOP
#: keyword phrases: Inclusive | Top | Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_TOP [GeV],PT_TOP [GeV] LOW,PT_TOP [GeV] HIGH,DSIG/DPT_TOP,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
30.0,0.0,60.0,1.0432,0.702%,-0.702%,9.118%,-9.513%,2.8%,-2.8%
80.0,60.0,100.0,1.79672,0.507%,-0.507%,12.466%,-12.87%,2.8%,-2.8%
125.0,100.0,150.0,1.37903,0.527%,-0.527%,13.4%,-13.529%,2.8%,-2.8%
175.0,150.0,200.0,0.735509,0.726%,-0.726%,12.056%,-12.043%,2.8%,-2.8%
230.0,200.0,260.0,0.312485,1.007%,-1.007%,12.083%,-12.057%,2.8%,-2.8%
290.0,260.0,320.0,0.114997,1.571%,-1.571%,11.575%,-11.322%,2.8%,-2.8%
360.0,320.0,400.0,0.0405749,2.368%,-2.368%,11.563%,-11.646%,2.8%,-2.8%
450.0,400.0,500.0,0.0108463,4.908%,-4.908%,12.326%,-13.459%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_TOP [GeV],PT_TOP [GeV] LOW,PT_TOP [GeV] HIGH,DSIG/DPT_TOP (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
30.0,0.0,60.0,1.0432,0.702%,-0.702%,0.278%,-0.241%,0.562%,-0.562%,-0.05%,0.05%,0.201%,-0.133%,0.402%,-0.371%,0.016%,-0.016%,-0.147%,0.187%,-0.155%,0.301%,0.041%,0.0%,0.0%,-0.0%,-3.162%,3.162%,-0.15%,0.164%,0.114%,-0.213%,-0.013%,0.018%,-0.511%,0.579%,0.222%,-0.222%,-0.02%,0.047%,0.0%,-0.0%,0.575%,-0.574%,0.352%,-0.352%,0.13%,-0.13%,-0.088%,0.088%,1.114%,-1.115%,-0.141%,0.141%,-0.048%,0.048%,1.98%,-1.889%,0.231%,-0.219%,-0.037%,0.045%,-1.109%,0.941%,1.306%,-1.306%,-0.038%,0.072%,0.023%,-0.028%,0.0%,-0.0%,0.0%,-0.0%,-0.445%,0.497%,0.136%,-0.136%,1.147%,-1.048%,0.0%,-0.0%,-0.224%,0.224%,-5.694%,4.839%,-1.492%,1.492%,-1.962%,1.962%,-0.854%,0.916%,0.349%,-0.349%,0.004%,-0.004%,-0.111%,0.122%,1.271%,-1.271%,-0.413%,0.47%,-0.173%,0.244%,4.044%,-3.971%,1.512%,-1.399%,-0.07%,0.077%,0.17%,-0.17%,0.575%,-0.53%,1.69%,-1.688%,2.8%,-2.8%
80.0,60.0,100.0,1.79672,0.507%,-0.507%,0.268%,-0.234%,0.456%,-0.456%,0.07%,-0.07%,0.241%,-0.243%,0.236%,-0.24%,-0.019%,0.019%,-0.16%,0.173%,-0.123%,0.362%,0.042%,0.0%,0.0%,-0.0%,-6.4%,6.4%,-0.122%,0.14%,0.097%,-0.175%,-0.013%,0.013%,-0.562%,0.571%,0.228%,-0.228%,-0.01%,0.025%,0.0%,-0.0%,0.553%,-0.552%,0.371%,-0.371%,0.149%,-0.149%,-0.075%,0.075%,1.1%,-1.101%,-0.129%,0.129%,-0.037%,0.038%,1.913%,-1.897%,0.231%,-0.219%,-0.021%,0.028%,-1.008%,0.842%,1.287%,-1.287%,0.182%,-0.182%,0.022%,-0.025%,0.0%,-0.0%,0.0%,-0.0%,-0.323%,0.345%,0.235%,-0.235%,1.08%,-1.063%,0.0%,-0.0%,-0.359%,0.359%,-6.506%,5.632%,-1.351%,1.351%,-6.123%,6.123%,-0.932%,0.95%,0.325%,-0.325%,0.0%,-0.0%,-0.114%,0.126%,1.286%,-1.286%,-0.423%,0.428%,-0.076%,0.095%,4.018%,-3.946%,1.582%,-1.548%,-0.056%,0.062%,0.128%,-0.128%,0.418%,-0.408%,1.906%,-1.979%,2.8%,-2.8%
125.0,100.0,150.0,1.37903,0.527%,-0.527%,0.267%,-0.236%,0.354%,-0.354%,0.292%,-0.292%,0.441%,-0.436%,-0.077%,0.079%,-0.08%,0.08%,-0.18%,0.207%,0.475%,0.0%,0.01%,0.0%,0.0%,-0.0%,-6.325%,6.325%,-0.078%,0.094%,0.067%,-0.127%,-0.008%,0.007%,-0.608%,0.694%,0.241%,-0.241%,0.017%,-0.002%,0.0%,-0.0%,0.516%,-0.516%,0.401%,-0.401%,0.227%,-0.227%,-0.05%,0.05%,0.991%,-0.992%,-0.072%,0.072%,-0.029%,0.027%,2.026%,-2.008%,0.236%,-0.202%,0.026%,-0.016%,-0.752%,0.639%,1.262%,-1.262%,0.644%,-0.655%,0.018%,-0.017%,0.0%,-0.0%,0.0%,-0.0%,0.074%,-0.062%,0.416%,-0.416%,1.002%,-0.99%,0.002%,-0.002%,-0.45%,0.45%,-7.471%,7.154%,-0.974%,0.974%,-6.199%,6.199%,-1.198%,1.215%,0.226%,-0.226%,-0.004%,0.004%,-0.111%,0.124%,1.313%,-1.313%,-0.411%,0.432%,0.263%,-0.244%,4.041%,-3.968%,1.928%,-1.877%,-0.008%,0.014%,0.127%,-0.127%,0.119%,-0.105%,2.613%,-2.617%,2.8%,-2.8%
175.0,150.0,200.0,0.735509,0.726%,-0.726%,0.277%,-0.249%,0.304%,-0.304%,0.425%,-0.425%,0.617%,-0.667%,-0.363%,0.35%,-0.085%,0.085%,-0.224%,0.201%,0.547%,0.0%,0.033%,0.0%,0.0%,-0.0%,-3.532%,3.532%,-0.034%,0.021%,0.049%,-0.089%,0.002%,-0.008%,-0.735%,0.711%,0.259%,-0.259%,0.0%,-0.048%,0.0%,-0.0%,0.488%,-0.488%,0.416%,-0.416%,0.353%,-0.353%,-0.032%,0.032%,0.829%,-0.83%,-0.041%,0.041%,-0.021%,0.021%,1.914%,-2.003%,0.174%,-0.189%,0.07%,-0.087%,-0.436%,0.417%,1.244%,-1.244%,0.935%,-0.961%,0.011%,-0.011%,0.0%,-0.0%,0.0%,-0.0%,0.544%,-0.584%,0.404%,-0.404%,0.803%,-0.843%,-0.002%,0.002%,-0.457%,0.457%,-7.434%,7.458%,-0.665%,0.665%,-4.917%,4.917%,-1.459%,1.38%,0.133%,-0.133%,-0.001%,0.001%,-0.076%,0.064%,1.348%,-1.348%,-0.378%,0.368%,0.627%,-0.662%,4.231%,-4.151%,1.97%,-1.995%,0.063%,-0.082%,0.179%,-0.179%,-0.198%,0.184%,2.844%,-2.839%,2.8%,-2.8%
230.0,200.0,260.0,0.312485,1.007%,-1.007%,0.309%,-0.282%,0.279%,-0.279%,0.493%,-0.493%,0.646%,-0.608%,-0.413%,0.416%,-0.044%,0.044%,-0.166%,0.197%,0.451%,0.0%,0.128%,0.0%,0.0%,-0.0%,-2.849%,2.849%,0.018%,-0.027%,0.039%,-0.07%,0.013%,-0.024%,-0.665%,0.574%,0.276%,-0.276%,0.05%,-0.076%,0.0%,-0.0%,0.456%,-0.456%,0.326%,-0.326%,0.373%,-0.373%,-0.012%,0.012%,0.677%,-0.679%,-0.038%,0.038%,-0.018%,0.013%,1.679%,-1.76%,0.094%,-0.109%,0.108%,-0.113%,-0.261%,0.192%,1.236%,-1.236%,0.925%,-0.892%,0.009%,-0.015%,0.0%,-0.0%,0.0%,-0.0%,0.971%,-0.939%,0.279%,-0.279%,0.531%,-0.54%,-0.004%,0.004%,-0.396%,0.396%,-7.477%,7.474%,-0.463%,0.463%,-5.343%,5.343%,-1.512%,1.425%,0.132%,-0.132%,-0.002%,0.002%,0.01%,-0.022%,1.379%,-1.379%,-0.264%,0.275%,0.88%,-0.828%,4.677%,-4.578%,1.723%,-1.731%,0.168%,-0.145%,0.242%,-0.242%,-0.31%,0.294%,2.518%,-2.527%,2.8%,-2.8%
290.0,260.0,320.0,0.114997,1.571%,-1.571%,0.346%,-0.319%,0.372%,-0.372%,0.32%,-0.32%,0.561%,-0.591%,-0.392%,0.332%,0.019%,-0.019%,-0.15%,0.076%,0.309%,0.0%,0.129%,0.0%,0.0%,-0.0%,-1.58%,1.58%,0.065%,-0.066%,0.031%,-0.06%,0.039%,-0.028%,-0.514%,0.58%,0.289%,-0.289%,0.0%,-0.046%,0.0%,-0.0%,0.423%,-0.421%,0.138%,-0.138%,0.348%,-0.348%,-0.003%,0.003%,0.555%,-0.557%,-0.021%,0.021%,-0.016%,0.003%,1.33%,-1.412%,-0.01%,0.003%,0.18%,-0.149%,-0.123%,0.036%,1.235%,-1.235%,0.794%,-0.908%,0.012%,-0.008%,0.0%,-0.0%,0.0%,-0.0%,1.268%,-1.365%,0.187%,-0.187%,0.31%,-0.331%,-0.002%,0.002%,-0.15%,0.15%,-7.143%,7.527%,-0.368%,0.368%,-4.338%,4.338%,-1.386%,1.378%,0.116%,-0.116%,0.007%,-0.007%,0.139%,-0.13%,1.395%,-1.395%,-0.21%,0.211%,0.965%,-1.042%,5.397%,-5.263%,1.412%,-1.46%,0.248%,-0.282%,0.374%,-0.374%,-0.291%,0.263%,2.056%,-2.143%,2.8%,-2.8%
360.0,320.0,400.0,0.0405749,2.368%,-2.368%,0.383%,-0.355%,0.488%,-0.488%,0.151%,-0.151%,0.57%,-0.537%,-0.31%,0.271%,0.05%,-0.05%,-0.079%,0.104%,0.24%,0.0%,0.158%,0.0%,0.0%,-0.0%,-0.127%,0.127%,0.09%,-0.091%,0.035%,-0.054%,0.117%,-0.05%,-0.491%,0.447%,0.296%,-0.296%,0.022%,0.0%,0.0%,-0.0%,0.445%,-0.442%,0.043%,-0.043%,0.224%,-0.224%,0.02%,-0.02%,0.47%,-0.471%,-0.034%,0.034%,-0.01%,0.022%,1.422%,-1.206%,-0.084%,0.081%,0.194%,-0.233%,-0.011%,0.019%,1.237%,-1.237%,0.894%,-0.891%,0.008%,0.0%,0.0%,-0.0%,0.0%,-0.0%,1.95%,-1.804%,0.112%,-0.112%,0.218%,-0.33%,0.004%,-0.004%,-0.093%,0.093%,-7.247%,6.823%,-0.618%,0.618%,-4.189%,4.189%,-1.48%,1.574%,0.081%,-0.081%,-0.001%,0.001%,0.229%,-0.244%,1.397%,-1.397%,-0.137%,0.134%,1.348%,-1.354%,6.174%,-5.995%,1.419%,-1.49%,0.326%,-0.386%,0.555%,-0.555%,-0.29%,0.229%,2.192%,-2.013%,2.8%,-2.8%
450.0,400.0,500.0,0.0108463,4.908%,-4.908%,0.534%,-0.503%,0.294%,-0.294%,-0.14%,0.14%,0.471%,-0.5%,-0.181%,0.39%,0.056%,-0.056%,0.079%,0.0%,0.68%,0.0%,0.26%,0.0%,0.0%,-0.0%,4.232%,-4.232%,0.157%,-0.048%,0.034%,-0.052%,0.062%,-0.083%,-0.526%,0.486%,0.301%,-0.301%,-0.202%,0.178%,0.0%,-0.0%,0.523%,-0.526%,0.186%,-0.186%,0.187%,-0.187%,0.03%,-0.03%,0.473%,-0.474%,-0.084%,0.084%,-0.012%,0.012%,0.712%,-1.003%,-0.045%,0.2%,0.298%,-0.172%,0.14%,-0.038%,1.241%,-1.241%,0.922%,-0.961%,0.013%,0.0%,0.0%,-0.0%,0.0%,-0.0%,2.895%,-2.982%,0.26%,-0.26%,0.134%,0.0%,0.01%,-0.01%,0.06%,-0.06%,-7.879%,5.622%,-0.449%,0.449%,-4.519%,4.519%,-1.565%,1.305%,0.197%,-0.197%,0.017%,-0.017%,0.742%,-0.62%,1.397%,-1.397%,0.084%,0.0%,1.905%,-1.943%,6.928%,-6.703%,0.991%,-1.004%,0.505%,-0.383%,1.098%,-1.098%,-0.067%,0.187%,1.736%,-1.969%,2.8%,-2.8%

