#: table_doi: 10.17182/hepdata.84154.v2/t116
#: name: Table 116
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$.

#: data_file: Table_116.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
H_{T}^{t\bar{t}} bin,H_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,0.516681678118
3,1,-0.306906934832
4,1,-0.546346758195
5,1,-0.452310599555
6,1,-0.281723004967
7,1,-0.150622936236
8,1,-0.0773477293257
9,1,-0.0542592357847
10,1,-0.0456485538908
11,1,-0.0127131991435
12,1,-0.0114548564872
13,1,-0.0446657011893
14,1,-0.0463274968289
15,1,-0.0486337032364
1,2,0.516681678118
2,2,1.0
3,2,0.267228849953
4,2,-0.604509440045
5,2,-0.654056249201
6,2,-0.413980761238
7,2,-0.217736116542
8,2,-0.121522346963
9,2,-0.0725700766679
10,2,-0.0586828328777
11,2,-0.0189263897463
12,2,-0.0377558694879
13,2,-0.0379315516105
14,2,-0.0129167708905
15,2,-0.0401104455504
1,3,-0.306906934832
2,3,0.267228849953
3,3,1.0
4,3,0.197872655769
5,3,-0.439358586605
6,3,-0.448697976516
7,3,-0.252892526296
8,3,-0.114569484451
9,3,-0.0534838196847
10,3,-0.0395893228713
11,3,-0.0403313756293
12,3,-0.0278105612447
13,3,-0.0118597122775
14,3,0.00445160489724
15,3,-0.0326432065435
1,4,-0.546346758195
2,4,-0.604509440045
3,4,0.197872655769
4,4,1.0
5,4,0.385051407228
6,4,-0.195629693084
7,4,-0.222138538952
8,4,-0.10562631632
9,4,-0.0527814308725
10,4,-0.0115156221999
11,4,-0.0275903409373
12,4,-0.0057208327378
13,4,0.00885003116708
14,4,-0.00245334043323
15,4,-0.00630535814659
1,5,-0.452310599555
2,5,-0.654056249201
3,5,-0.439358586605
4,5,0.385051407228
5,5,1.0
6,5,0.429526792304
7,5,-0.116917346634
8,5,-0.140937287949
9,5,-0.0550998707863
10,5,-0.023493141794
11,5,-0.0256474210618
12,5,-0.00436516949432
13,5,0.0106411332212
14,5,0.000376342138878
15,5,0.0165133234916
1,6,-0.281723004967
2,6,-0.413980761238
3,6,-0.448697976516
4,6,-0.195629693084
5,6,0.429526792304
6,6,1.0
7,6,0.404440680887
8,6,-0.137206684674
9,6,-0.121236136811
10,6,-0.0395394930255
11,6,-0.0134838364215
12,6,0.00518043906415
13,6,0.0134764153237
14,6,-0.00580547155947
15,6,0.0218713727998
1,7,-0.150622936236
2,7,-0.217736116542
3,7,-0.252892526296
4,7,-0.222138538952
5,7,-0.116917346634
6,7,0.404440680887
7,7,1.0
8,7,0.335148256487
9,7,-0.150988985868
10,7,-0.107947315893
11,7,-0.0325020634858
12,7,-0.0222931796584
13,7,-0.0245056584665
14,7,-0.0268638823808
15,7,0.00471541860141
1,8,-0.0773477293257
2,8,-0.121522346963
3,8,-0.114569484451
4,8,-0.10562631632
5,8,-0.140937287949
6,8,-0.137206684674
7,8,0.335148256487
8,8,1.0
9,8,0.318260252707
10,8,-0.143438431612
11,8,-0.094256885525
12,8,-0.0479335086447
13,8,-0.0457944999215
14,8,-0.00727714377966
15,8,0.00431714419198
1,9,-0.0542592357847
2,9,-0.0725700766679
3,9,-0.0534838196847
4,9,-0.0527814308725
5,9,-0.0550998707863
6,9,-0.121236136811
7,9,-0.150988985868
8,9,0.318260252707
9,9,1.0
10,9,0.295296425846
11,9,-0.161704216309
12,9,-0.112994185746
13,9,-0.0185537299321
14,9,0.00831025878542
15,9,-0.0121513898828
1,10,-0.0456485538908
2,10,-0.0586828328777
3,10,-0.0395893228713
4,10,-0.0115156221999
5,10,-0.023493141794
6,10,-0.0395394930255
7,10,-0.107947315893
8,10,-0.143438431612
9,10,0.295296425846
10,10,1.0
11,10,0.315549335051
12,10,-0.146951822203
13,10,-0.0866444162594
14,10,-0.0380432302895
15,10,-0.0278253464319
1,11,-0.0127131991435
2,11,-0.0189263897463
3,11,-0.0403313756293
4,11,-0.0275903409373
5,11,-0.0256474210618
6,11,-0.0134838364215
7,11,-0.0325020634858
8,11,-0.094256885525
9,11,-0.161704216309
10,11,0.315549335051
11,11,1.0
12,11,0.335273715974
13,11,-0.102871121495
14,11,-0.116990078538
15,11,-0.0427678450116
1,12,-0.0114548564872
2,12,-0.0377558694879
3,12,-0.0278105612447
4,12,-0.0057208327378
5,12,-0.00436516949432
6,12,0.00518043906415
7,12,-0.0222931796584
8,12,-0.0479335086447
9,12,-0.112994185746
10,12,-0.146951822203
11,12,0.335273715974
12,12,1.0
13,12,0.419908952921
14,12,-0.089717966013
15,12,-0.0802371171491
1,13,-0.0446657011893
2,13,-0.0379315516105
3,13,-0.0118597122775
4,13,0.00885003116708
