#: table_doi: 10.17182/hepdata.84154.v2/t15
#: name: Table 15
#: description: Fiducial phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_15.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DHT_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
HT_TTBAR [GeV],HT_TTBAR [GeV] LOW,HT_TTBAR [GeV] HIGH,DSIG/DHT_TTBAR,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
45.0,0.0,90.0,0.0249067,1.202%,-1.202%,22.644%,-22.99%,2.8%,-2.8%
115.0,90.0,140.0,0.0772115,0.844%,-0.844%,23.412%,-23.411%,2.8%,-2.8%
167.5,140.0,195.0,0.102384,0.68%,-0.68%,22.166%,-22.37%,2.8%,-2.8%
225.0,195.0,255.0,0.100419,0.657%,-0.657%,20.959%,-21.053%,2.8%,-2.8%
287.5,255.0,320.0,0.072132,0.741%,-0.741%,20.319%,-20.123%,2.8%,-2.8%
352.5,320.0,385.0,0.0432528,0.945%,-0.945%,19.697%,-19.931%,2.8%,-2.8%
420.0,385.0,455.0,0.0256899,1.164%,-1.164%,19.64%,-19.827%,2.8%,-2.8%
492.5,455.0,530.0,0.0151886,1.469%,-1.469%,19.127%,-18.953%,2.8%,-2.8%
570.0,530.0,610.0,0.00812745,1.995%,-1.995%,21.049%,-20.917%,2.8%,-2.8%
652.5,610.0,695.0,0.00454304,2.704%,-2.704%,20.066%,-20.635%,2.8%,-2.8%
737.5,695.0,780.0,0.00232457,3.846%,-3.846%,19.877%,-19.83%,2.8%,-2.8%
822.5,780.0,865.0,0.00121855,5.552%,-5.552%,22.066%,-21.617%,2.8%,-2.8%
907.5,865.0,950.0,0.000615575,7.942%,-7.942%,21.487%,-21.476%,2.8%,-2.8%
995.5,950.0,1041.0,0.000330713,11.068%,-11.068%,22.329%,-22.696%,2.8%,-2.8%
1270.5,1041.0,1500.0,7.70795e-05,12.24%,-12.24%,19.997%,-22.19%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
HT_TTBAR [GeV],HT_TTBAR [GeV] LOW,HT_TTBAR [GeV] HIGH,DSIG/DHT_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
45.0,0.0,90.0,0.0249067,1.202%,-1.202%,0.364%,-0.223%,0.713%,-0.613%,-0.162%,0.162%,-0.137%,0.169%,0.44%,-0.348%,0.168%,-0.168%,-0.041%,0.144%,0.355%,0.0%,0.073%,0.0%,-0.34%,0.386%,-2.562%,2.562%,-0.088%,0.181%,0.204%,-0.226%,0.056%,0.0%,-0.337%,0.398%,0.27%,-0.17%,0.058%,0.0%,-1.204%,1.204%,0.536%,-0.436%,0.448%,-0.448%,0.116%,-0.116%,-0.027%,0.027%,1.059%,-0.96%,0.108%,-0.108%,-0.013%,0.102%,1.073%,-1.025%,0.198%,-0.106%,-0.018%,0.099%,-0.912%,0.889%,1.394%,-1.294%,-0.071%,0.063%,0.08%,0.0%,0.05%,0.0%,0.0%,-0.059%,-0.471%,0.548%,0.267%,-0.267%,0.797%,-0.702%,0.047%,-0.047%,0.076%,-0.076%,-5.418%,3.087%,0.713%,-0.713%,-21.359%,21.359%,-0.296%,0.332%,0.392%,-0.392%,0.043%,-0.043%,-0.04%,0.133%,1.298%,-1.198%,-0.229%,0.355%,-0.268%,0.37%,4.259%,-4.078%,0.875%,-0.864%,-0.037%,0.111%,0.299%,-0.299%,0.538%,-0.426%,0.881%,-0.938%,2.8%,-2.8%
115.0,90.0,140.0,0.0772115,0.844%,-0.844%,0.337%,-0.196%,0.619%,-0.515%,-0.009%,0.009%,0.232%,-0.04%,0.392%,-0.231%,0.025%,-0.025%,-0.016%,0.23%,-0.096%,0.541%,0.069%,0.0%,0.114%,0.0%,-2.213%,2.213%,-0.071%,0.208%,0.173%,-0.146%,0.068%,0.0%,-0.442%,0.614%,0.274%,-0.171%,0.078%,0.0%,-1.113%,1.113%,0.616%,-0.511%,0.547%,-0.547%,0.16%,-0.16%,-0.013%,0.013%,1.143%,-1.04%,0.131%,-0.131%,0.11%,0.0%,1.57%,-1.44%,0.286%,-0.143%,0.103%,0.0%,-0.915%,0.851%,1.368%,-1.264%,0.13%,0.0%,0.079%,0.0%,0.052%,0.0%,0.085%,0.0%,-0.345%,0.52%,0.126%,-0.126%,1.051%,-0.881%,0.054%,-0.054%,0.041%,-0.041%,-4.49%,3.73%,0.849%,-0.849%,-22.003%,22.003%,-0.572%,0.747%,0.47%,-0.47%,0.067%,-0.067%,-0.055%,0.194%,1.313%,-1.209%,-0.322%,0.483%,-0.094%,0.279%,4.141%,-3.963%,1.454%,-1.159%,-0.012%,0.14%,0.204%,-0.204%,0.544%,-0.389%,1.559%,-1.513%,2.8%,-2.8%
167.5,140.0,195.0,0.102384,0.68%,-0.68%,0.309%,-0.18%,0.482%,-0.386%,0.162%,-0.162%,0.27%,-0.137%,0.238%,-0.144%,-0.003%,0.003%,-0.129%,0.221%,-0.112%,0.523%,0.087%,0.0%,0.103%,0.0%,-1.29%,1.29%,-0.059%,0.159%,0.13%,-0.118%,0.065%,0.0%,-0.458%,0.608%,0.276%,-0.18%,0.089%,0.0%,-0.965%,0.965%,0.62%,-0.523%,0.49%,-0.49%,0.227%,-0.227%,-0.027%,0.027%,1.129%,-1.034%,0.112%,-0.112%,0.086%,0.0%,1.782%,-1.65%,0.253%,-0.158%,0.051%,0.0%,-0.855%,0.826%,1.336%,-1.24%,0.31%,-0.192%,0.066%,0.0%,0.048%,0.0%,0.087%,0.0%,-0.223%,0.356%,0.345%,-0.345%,1.08%,-0.927%,0.045%,-0.045%,0.033%,-0.033%,-5.338%,3.678%,0.74%,-0.74%,-20.741%,20.741%,-0.764%,0.95%,0.398%,-0.398%,0.043%,-0.043%,-0.068%,0.16%,1.328%,-1.232%,-0.341%,0.445%,0.11%,0.0%,4.077%,-3.908%,1.538%,-1.402%,0.097%,0.0%,0.169%,-0.169%,0.397%,-0.313%,1.896%,-1.741%,2.8%,-2.8%
225.0,195.0,255.0,0.100419,0.657%,-0.657%,0.31%,-0.193%,0.396%,-0.308%,0.324%,-0.324%,0.475%,-0.454%,0.062%,0.0%,-0.029%,0.029%,-0.191%,0.232%,0.451%,0.0%,0.094%,0.0%,0.062%,-0.005%,-1.405%,1.405%,-0.035%,0.134%,0.109%,-0.081%,0.052%,0.0%,-0.621%,0.68%,0.282%,-0.194%,0.012%,0.0%,-0.974%,0.974%,0.564%,-0.475%,0.402%,-0.402%,0.273%,-0.273%,-0.011%,0.011%,1.059%,-0.972%,0.076%,-0.076%,0.063%,0.0%,2.003%,-1.98%,0.26%,-0.173%,0.06%,0.0%,-0.794%,0.74%,1.306%,-1.218%,0.613%,-0.549%,0.062%,0.0%,0.044%,0.0%,0.0%,-0.052%,0.062%,-0.014%,0.424%,-0.424%,1.033%,-0.952%,0.05%,-0.05%,0.036%,-0.036%,-4.74%,3.929%,0.538%,-0.538%,-19.284%,19.284%,-1.19%,1.135%,0.259%,-0.259%,0.042%,-0.042%,-0.063%,0.15%,1.353%,-1.265%,-0.368%,0.472%,0.235%,-0.176%,4.081%,-3.92%,1.849%,-1.853%,0.038%,0.0%,0.158%,-0.158%,0.196%,-0.092%,2.446%,-2.496%,2.8%,-2.8%
287.5,255.0,320.0,0.072132,0.741%,-0.741%,0.304%,-0.198%,0.349%,-0.271%,0.446%,-0.446%,0.71%,-0.527%,-0.198%,0.315%,-0.032%,0.032%,-0.116%,0.282%,0.501%,0.0%,0.072%,0.0%,0.109%,0.0%,0.476%,-0.476%,-0.022%,0.113%,0.093%,-0.062%,0.034%,0.0%,-0.711%,0.88%,0.291%,-0.213%,0.082%,0.0%,0.091%,-0.091%,0.537%,-0.459%,0.393%,-0.393%,0.297%,-0.297%,-0.004%,0.004%,0.957%,-0.88%,0.069%,-0.069%,0.059%,0.0%,2.387%,-2.23%,0.29%,-0.152%,0.101%,0.0%,-0.586%,0.562%,1.282%,-1.205%,0.945%,-0.807%,0.052%,0.0%,0.039%,0.0%,0.103%,0.0%,0.495%,-0.31%,0.465%,-0.465%,1.058%,-0.949%,0.037%,-0.037%,0.019%,-0.019%,-4.084%,4.081%,0.406%,-0.406%,-18.324%,18.324%,-1.442%,1.615%,0.167%,-0.167%,0.037%,-0.037%,-0.05%,0.15%,1.382%,-1.305%,-0.383%,0.503%,0.636%,-0.48%,4.167%,-4.013%,2.294%,-2.031%,0.096%,0.0%,0.183%,-0.183%,0.103%,0.0%,3.185%,-2.99%,2.8%,-2.8%
352.5,320.0,385.0,0.0432528,0.945%,-0.945%,0.328%,-0.227%,0.364%,-0.292%,0.422%,-0.422%,0.645%,-0.722%,-0.293%,0.307%,-0.023%,0.023%,-0.191%,0.259%,0.526%,0.0%,0.056%,0.0%,0.0%,-0.027%,2.49%,-2.49%,0.084%,0.0%,0.078%,-0.044%,0.046%,0.0%,-0.635%,0.706%,0.301%,-0.229%,0.031%,-0.053%,0.513%,-0.513%,0.554%,-0.481%,0.397%,-0.397%,0.396%,-0.396%,-0.003%,0.003%,0.843%,-0.773%,0.062%,-0.062%,0.058%,0.0%,2.127%,-2.276%,0.23%,-0.153%,0.107%,-0.056%,-0.417%,0.462%,1.272%,-1.2%,0.812%,-0.82%,0.046%,0.0%,0.036%,0.0%,0.047%,-0.034%,0.588%,-0.616%,0.372%,-0.372%,0.893%,-0.861%,0.033%,-0.033%,0.02%,-0.02%,-4.493%,3.145%,0.367%,-0.367%,-17.753%,17.753%,-1.687%,1.567%,0.17%,-0.17%,0.032%,-0.032%,-0.03%,0.1%,1.403%,-1.331%,-0.377%,0.441%,0.643%,-0.612%,4.347%,-4.192%,2.039%,-2.087%,0.092%,-0.048%,0.228%,-0.228%,-0.124%,0.14%,2.918%,-3.034%,2.8%,-2.8%
420.0,385.0,455.0,0.0256899,1.164%,-1.164%,0.334%,-0.24%,0.343%,-0.277%,0.572%,-0.572%,0.701%,-0.539%,-0.293%,0.376%,-0.009%,0.009%,-0.129%,0.216%,0.37%,0.0%,0.184%,0.0%,0.073%,0.0%,3.108%,-3.108%,0.024%,0.0%,0.08%,-0.042%,0.056%,0.0%,-0.582%,0.725%,0.307%,-0.241%,0.07%,0.0%,0.855%,-0.855%,0.499%,-0.433%,0.29%,-0.29%,0.524%,-0.524%,0.019%,-0.019%,0.76%,-0.695%,0.048%,-0.048%,0.048%,0.0%,2.285%,-1.833%,0.119%,-0.102%,0.127%,-0.091%,-0.314%,0.375%,1.265%,-1.198%,0.867%,-0.76%,0.047%,0.0%,0.033%,0.0%,0.159%,0.0%,0.85%,-0.779%,0.302%,-0.302%,0.758%,-0.63%,0.03%,-0.03%,-0.079%,0.079%,-5.069%,2.917%,0.313%,-0.313%,-17.521%,17.521%,-1.456%,1.746%,0.142%,-0.142%,0.041%,-0.041%,0.048%,0.0%,1.415%,-1.349%,-0.269%,0.318%,0.832%,-0.728%,4.603%,-4.442%,2.006%,-1.742%,0.188%,-0.137%,0.277%,-0.277%,-0.154%,0.214%,2.852%,-2.455%,2.8%,-2.8%
492.5,455.0,530.0,0.0151886,1.469%,-1.469%,0.352%,-0.27%,0.274%,-0.218%,0.464%,-0.464%,0.708%,-0.572%,-0.257%,0.309%,0.022%,-0.022%,-0.131%,0.158%,0.246%,0.0%,0.124%,0.0%,-0.094%,0.085%,1.931%,-1.931%,0.048%,0.0%,0.071%,-0.075%,0.074%,0.0%,-0.589%,0.617%,0.311%,-0.256%,0.079%,0.0%,0.276%,-0.276%,0.451%,-0.396%,0.126%,-0.126%,0.364%,-0.364%,0.002%,-0.002%,0.677%,-0.622%,0.054%,-0.054%,0.046%,0.0%,1.818%,-1.905%,0.099%,-0.033%,0.13%,-0.036%,-0.323%,0.277%,1.261%,-1.205%,0.727%,-0.77%,0.033%,0.0%,0.028%,0.0%,-0.017%,0.032%,0.981%,-0.918%,0.229%,-0.229%,0.495%,-0.618%,0.026%,-0.026%,-0.101%,0.101%,-4.287%,4.64%,0.251%,-0.251%,-16.841%,16.841%,-1.521%,1.546%,0.147%,-0.147%,0.026%,-0.026%,0.067%,-0.007%,1.424%,-1.368%,-0.239%,0.309%,0.843%,-0.81%,4.991%,-4.823%,1.752%,-1.711%,0.163%,-0.116%,0.353%,-0.353%,-0.187%,0.213%,2.508%,-2.367%,2.8%,-2.8%
570.0,530.0,610.0,0.00812745,1.995%,-1.995%,0.379%,-0.305%,0.407%,-0.36%,0.171%,-0.171%,0.675%,-0.835%,-0.408%,0.344%,0.047%,-0.047%,-0.231%,0.171%,0.21%,0.0%,0.106%,0.0%,0.066%,0.0%,6.685%,-6.685%,0.087%,-0.029%,0.054%,-0.03%,0.031%,-0.029%,-0.717%,0.558%,0.314%,-0.268%,0.0%,-0.103%,-0.043%,0.043%,0.453%,-0.404%,0.12%,-0.12%,0.189%,-0.189%,0.022%,-0.022%,0.6%,-0.555%,0.038%,-0.038%,0.023%,0.0%,1.826%,-2.098%,0.055%,-0.015%,0.17%,-0.161%,-0.256%,0.174%,1.254%,-1.207%,0.81%,-0.824%,0.029%,0.0%,0.023%,0.0%,0.0%,-0.033%,1.549%,-1.66%,0.205%,-0.205%,0.507%,-0.478%,0.028%,-0.028%,-0.135%,0.135%,-4.198%,4.986%,0.213%,-0.213%,-17.59%,17.59%,-1.862%,1.757%,0.118%,-0.118%,0.018%,-0.018%,0.204%,-0.181%,1.437%,-1.39%,-0.29%,0.254%,1.181%,-1.29%,5.496%,-5.312%,1.666%,-1.799%,0.312%,-0.277%,0.455%,-0.455%,-0.21%,0.236%,2.43%,-2.704%,2.8%,-2.8%
652.5,610.0,695.0,0.00454304,2.704%,-2.704%,0.357%,-0.282%,0.491%,-0.444%,0.229%,-0.229%,0.591%,-0.51%,-0.265%,0.317%,0.067%,-0.067%,-0.079%,0.106%,0.372%,0.0%,0.217%,0.0%,-0.022%,0.072%,0.839%,-0.839%,0.012%,-0.032%,0.052%,0.0%,0.064%,-0.046%,-0.159%,0.347%,0.319%,-0.271%,0.129%,-0.086%,-0.07%,0.07%,0.48%,-0.432%,0.053%,-0.053%,0.502%,-0.502%,0.033%,-0.033%,0.594%,-0.548%,0.059%,-0.059%,0.045%,0.0%,1.639%,-1.486%,0.0%,-0.057%,0.195%,-0.108%,-0.026%,0.118%,1.25%,-1.203%,0.783%,-0.705%,0.035%,0.0%,0.024%,0.0%,0.095%,-0.014%,1.643%,-1.385%,0.16%,-0.16%,0.344%,-0.427%,0.015%,-0.015%,-0.23%,0.23%,-6.792%,4.359%,0.251%,-0.251%,-17.772%,17.772%,-1.672%,1.638%,0.237%,-0.237%,0.025%,-0.025%,0.156%,-0.065%,1.436%,-1.389%,-0.222%,0.169%,1.14%,-1.025%,5.998%,-5.786%,1.467%,-1.646%,0.316%,-0.221%,0.611%,-0.611%,-0.209%,0.243%,2.148%,-2.308%,2.8%,-2.8%
