#: table_doi: 10.17182/hepdata.84154.v2/t68
#: name: Table 68
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$.

#: data_file: Table_68.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\Delta \phi^{t\bar{t}} bin,\Delta \phi^{t\bar{t}} bin,
1,1,1.0
2,1,-0.177181831558
3,1,-0.218527197305
4,1,-0.247674954376
1,2,-0.177181831558
2,2,1.0
3,2,-0.0235359272641
4,2,-0.490531241514
1,3,-0.218527197305
2,3,-0.0235359272641
3,3,1.0
4,3,-0.692860997492
1,4,-0.247674954376
2,4,-0.490531241514
3,4,-0.692860997492
4,4,1.0

