#: table_doi: 10.17182/hepdata.84154.v2/t31
#: name: Table 31
#: description: Full phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for the top-quark absolute rapidity $|y^{t}|$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_31.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DABSRAPIDITY_TOP
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSRAPIDITY_TOP,ABSRAPIDITY_TOP LOW,ABSRAPIDITY_TOP HIGH,DSIG/DABSRAPIDITY_TOP,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
0.2,0.0,0.4,182.532,0.612%,-0.612%,10.419%,-10.553%,2.8%,-2.8%
0.6,0.4,0.8,165.778,0.591%,-0.591%,10.559%,-10.702%,2.8%,-2.8%
1.0,0.8,1.2,131.356,0.731%,-0.731%,10.668%,-11.119%,2.8%,-2.8%
1.4,1.2,1.6,93.4694,0.93%,-0.93%,11.754%,-11.483%,2.8%,-2.8%
2.05,1.6,2.5,39.1075,1.285%,-1.285%,11.167%,-12.243%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSRAPIDITY_TOP,ABSRAPIDITY_TOP LOW,ABSRAPIDITY_TOP HIGH,DSIG/DABSRAPIDITY_TOP (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
0.2,0.0,0.4,182.532,0.612%,-0.612%,0.312%,-0.277%,0.46%,-0.46%,0.251%,-0.251%,-0.039%,0.012%,-0.048%,0.027%,-0.029%,0.029%,-0.084%,0.088%,0.483%,0.0%,0.027%,0.0%,0.0%,-0.0%,-3.193%,3.193%,-0.075%,0.079%,0.074%,-0.139%,-0.002%,0.004%,-0.581%,0.609%,0.243%,-0.243%,0.0%,-0.014%,0.0%,-0.0%,0.517%,-0.516%,0.392%,-0.392%,0.226%,-0.226%,-0.05%,0.05%,1.004%,-1.006%,-0.092%,0.092%,-0.034%,0.033%,1.651%,-1.697%,0.198%,-0.186%,0.03%,-0.032%,-0.7%,0.592%,1.261%,-1.261%,0.524%,-0.534%,0.019%,-0.016%,0.0%,-0.0%,0.0%,-0.0%,0.193%,-0.173%,0.355%,-0.355%,0.87%,-0.878%,0.003%,-0.003%,0.213%,-0.213%,-6.574%,6.334%,-1.097%,1.097%,-3.508%,3.508%,-1.085%,1.041%,0.236%,-0.236%,0.01%,-0.01%,-0.074%,0.074%,1.32%,-1.32%,-0.363%,0.386%,0.304%,-0.279%,4.214%,-4.134%,1.65%,-1.645%,0.019%,-0.028%,0.15%,-0.15%,0.122%,-0.125%,2.185%,-2.252%,2.8%,-2.8%
0.6000000000000001,0.4,0.8,165.778,0.591%,-0.591%,0.295%,-0.262%,0.411%,-0.411%,0.213%,-0.213%,0.224%,-0.148%,-0.005%,0.044%,-0.044%,0.044%,-0.091%,0.138%,-0.019%,0.478%,0.017%,0.0%,0.0%,-0.0%,-3.597%,3.597%,-0.059%,0.072%,0.074%,-0.134%,-0.004%,0.002%,-0.6%,0.703%,0.244%,-0.244%,0.017%,0.0%,0.0%,-0.0%,0.5%,-0.5%,0.414%,-0.414%,0.217%,-0.217%,-0.055%,0.055%,0.975%,-0.976%,-0.09%,0.09%,-0.028%,0.031%,1.851%,-1.812%,0.182%,-0.16%,0.039%,-0.028%,-0.707%,0.634%,1.264%,-1.264%,0.548%,-0.538%,0.015%,-0.02%,0.0%,-0.0%,0.0%,-0.0%,0.206%,-0.16%,0.331%,-0.331%,0.913%,-0.838%,-0.001%,0.001%,0.146%,-0.146%,-6.539%,6.165%,-1.075%,1.075%,-3.569%,3.569%,-1.107%,1.142%,0.23%,-0.23%,-0.005%,0.005%,-0.056%,0.069%,1.32%,-1.32%,-0.364%,0.394%,0.32%,-0.278%,4.251%,-4.169%,1.699%,-1.647%,0.033%,-0.02%,0.145%,-0.145%,0.148%,-0.107%,2.262%,-2.245%,2.8%,-2.8%
1.0,0.8,1.2,131.356,0.731%,-0.731%,0.28%,-0.25%,0.373%,-0.373%,0.21%,-0.21%,0.515%,-0.549%,-0.035%,0.023%,-0.042%,0.042%,-0.186%,0.186%,0.418%,0.0%,0.046%,0.0%,0.0%,-0.0%,-3.779%,3.779%,-0.074%,0.073%,0.075%,-0.132%,0.003%,0.0%,-0.654%,0.605%,0.246%,-0.246%,0.0%,-0.01%,0.0%,-0.0%,0.495%,-0.495%,0.38%,-0.38%,0.275%,-0.275%,-0.061%,0.061%,0.914%,-0.915%,-0.076%,0.076%,-0.029%,0.027%,2.004%,-1.994%,0.171%,-0.171%,0.026%,-0.026%,-0.734%,0.619%,1.272%,-1.272%,0.529%,-0.507%,0.018%,-0.018%,0.0%,-0.0%,0.0%,-0.0%,0.17%,-0.186%,0.249%,-0.249%,0.889%,-0.891%,-0.005%,0.005%,0.047%,-0.047%,-6.732%,5.916%,-0.956%,0.956%,-3.989%,3.989%,-1.226%,1.19%,0.245%,-0.245%,-0.005%,0.005%,-0.066%,0.064%,1.317%,-1.317%,-0.363%,0.366%,0.278%,-0.293%,4.289%,-4.205%,1.714%,-1.709%,0.018%,-0.018%,0.178%,-0.178%,0.13%,-0.138%,2.323%,-2.345%,2.8%,-2.8%
1.4,1.2,1.6,93.4694,0.93%,-0.93%,0.242%,-0.214%,0.336%,-0.336%,0.206%,-0.206%,0.984%,-1.064%,-0.035%,0.044%,-0.019%,0.019%,-0.292%,0.3%,0.291%,0.0%,0.133%,0.0%,0.0%,-0.0%,-4.565%,4.565%,-0.07%,0.092%,0.075%,-0.125%,0.006%,-0.011%,-0.611%,0.575%,0.249%,-0.249%,0.016%,0.0%,0.0%,-0.0%,0.525%,-0.524%,0.279%,-0.279%,0.215%,-0.215%,-0.036%,0.036%,0.855%,-0.856%,-0.071%,0.071%,-0.027%,0.027%,2.074%,-2.164%,0.203%,-0.189%,0.046%,-0.039%,-0.731%,0.586%,1.276%,-1.276%,0.475%,-0.538%,0.016%,-0.021%,0.0%,-0.0%,0.0%,-0.0%,0.206%,-0.211%,0.268%,-0.268%,0.946%,-0.975%,-0.003%,0.003%,0.016%,-0.016%,-6.892%,7.359%,-0.814%,0.814%,-3.528%,3.528%,-1.367%,1.298%,0.222%,-0.222%,-0.01%,0.01%,-0.069%,0.086%,1.317%,-1.317%,-0.415%,0.405%,0.346%,-0.342%,4.334%,-4.247%,1.844%,-1.815%,0.037%,-0.027%,0.223%,-0.223%,0.143%,-0.145%,2.403%,-2.452%,2.8%,-2.8%
2.05,1.6,2.5,39.1075,1.285%,-1.285%,0.222%,-0.198%,0.308%,-0.308%,0.218%,-0.218%,1.547%,-1.399%,-0.052%,0.036%,-0.084%,0.084%,-0.504%,0.505%,-0.04%,0.092%,0.11%,0.0%,0.0%,-0.0%,-4.467%,4.467%,-0.072%,0.078%,0.059%,-0.141%,0.0%,-0.003%,-0.529%,0.571%,0.25%,-0.25%,0.019%,-0.041%,0.0%,-0.0%,0.622%,-0.621%,0.135%,-0.135%,0.273%,-0.273%,-0.038%,0.038%,0.782%,-0.783%,-0.081%,0.081%,-0.031%,0.017%,2.207%,-2.065%,0.185%,-0.201%,0.032%,-0.033%,-0.665%,0.525%,1.276%,-1.276%,0.485%,-0.478%,0.017%,-0.019%,0.0%,-0.0%,0.0%,-0.0%,0.222%,-0.255%,0.1%,-0.1%,0.969%,-0.957%,0.006%,-0.006%,-1.466%,1.466%,-8.216%,6.243%,-0.792%,0.792%,-3.025%,3.025%,-1.31%,1.515%,0.234%,-0.234%,0.004%,-0.004%,-0.066%,0.07%,1.322%,-1.322%,-0.397%,0.431%,0.36%,-0.356%,4.392%,-4.301%,1.916%,-1.79%,0.024%,-0.032%,0.309%,-0.309%,0.119%,-0.115%,2.491%,-2.384%,2.8%,-2.8%

