#: table_doi: 10.17182/hepdata.84154.v2/t234
#: name: Table 234
#: description: Statistical correlation matrix between $m^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $m^{t\bar{t}}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from relative spectra through the Bootstrap Method. The binning is the following: Rows: [345-400, 400-470, 470-550, 550-650, 650-800, 800-1100, 1100-1600] GeV Columns: [345-400, 400-470, 470-550, 550-650, 650-800, 800-1100, 1100-1600] GeV

#: data_file: Table_234.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_M_TTBAR_4J2B_M_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,0.360509
3,1,-0.581674
4,1,-0.500301
5,1,-0.281421
6,1,-0.140474
7,1,-0.0537146
1,2,0.360509
2,2,1
3,2,0.0237402
4,2,-0.644246
5,2,-0.536627
6,2,-0.267427
7,2,-0.0999846
1,3,-0.581674
2,3,0.0237402
3,3,1
4,3,0.284247
5,3,-0.370741
6,3,-0.298961
7,3,-0.101024
1,4,-0.500301
2,4,-0.644246
3,4,0.284247
4,4,1
5,4,0.244306
6,4,-0.29026
7,4,-0.130748
1,5,-0.281421
2,5,-0.536627
3,5,-0.370741
4,5,0.244306
5,5,1
6,5,0.118711
7,5,-0.168388
1,6,-0.140474
2,6,-0.267427
3,6,-0.298961
4,6,-0.29026
5,6,0.118711
6,6,1
7,6,0.12349
1,7,-0.0537146
2,7,-0.0999846
3,7,-0.101024
4,7,-0.130748
5,7,-0.168388
6,7,0.12349
7,7,1

