#: table_doi: 10.17182/hepdata.84154.v2/t43
#: name: Table 43
#: description: Absolute statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$.

#: data_file: Table_43.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
m^{t\bar{t}} bin,m^{t\bar{t}} bin,
1,1,1.0
2,1,-0.0717504695472
3,1,-0.154551342579
4,1,0.0228983862774
5,1,0.0149135199059
6,1,-0.00057239187386
7,1,-0.00987065691647
8,1,-0.010550431793
9,1,-0.019274643996
10,1,-2.2769475603e-05
11,1,0.0136524171994
1,2,-0.0717504695472
2,2,1.0
3,2,-0.112874199063
4,2,-0.139225225057
5,2,0.0217573606821
6,2,0.0185988465987
7,2,-0.00227357801573
8,2,-0.0080284403417
9,2,-0.00942509500701
10,2,2.95468572572e-05
11,2,0.0275971100957
1,3,-0.154551342579
2,3,-0.112874199063
3,3,1.0
4,3,-0.0569703772427
5,3,-0.162818639801
6,3,0.0374794318943
7,3,0.0300889247962
8,3,-0.0169243477165
9,3,-0.0211364066121
10,3,0.0155097330931
11,3,-0.0133093985345
1,4,0.0228983862774
2,4,-0.139225225057
3,4,-0.0569703772427
4,4,1.0
5,4,-0.0410034603244
6,4,-0.164629232085
7,4,0.019043902909
8,4,0.0181133881315
9,4,0.00600539393359
10,4,-0.0103734456013
11,4,-0.011578502969
1,5,0.0149135199059
2,5,0.0217573606821
3,5,-0.162818639801
4,5,-0.0410034603244
5,5,1.0
6,5,-0.0244018370147
7,5,-0.158994627064
8,5,0.0372339156983
9,5,0.0184409440041
10,5,-0.0193132501845
11,5,0.00620582963809
1,6,-0.00057239187386
2,6,0.0185988465987
3,6,0.0374794318943
4,6,-0.164629232085
5,6,-0.0244018370147
6,6,1.0
7,6,-0.0389526090879
8,6,-0.142799690626
9,6,0.0323800519433
10,6,0.00428523344472
11,6,-0.00974250481589
1,7,-0.00987065691647
2,7,-0.00227357801573
3,7,0.0300889247962
4,7,0.019043902909
5,7,-0.158994627064
6,7,-0.0389526090879
7,7,1.0
8,7,-0.0415705301557
9,7,-0.134917380116
10,7,0.0234892847455
11,7,0.0105875805106
1,8,-0.010550431793
2,8,-0.0080284403417
3,8,-0.0169243477165
4,8,0.0181133881315
5,8,0.0372339156983
6,8,-0.142799690626
7,8,-0.0415705301557
8,8,1.0
9,8,-0.0280961898028
10,8,-0.158778233782
11,8,0.0093644057616
1,9,-0.019274643996
2,9,-0.00942509500701
3,9,-0.0211364066121
4,9,0.00600539393359
5,9,0.0184409440041
6,9,0.0323800519433
7,9,-0.134917380116
8,9,-0.0280961898028
9,9,1.0
10,9,-0.00480308515691
11,9,-0.0870062469198
1,10,-2.2769475603e-05
2,10,2.95468572572e-05
3,10,0.0155097330931
4,10,-0.0103734456013
5,10,-0.0193132501845
6,10,0.00428523344472
7,10,0.0234892847455
8,10,-0.158778233782
9,10,-0.00480308515691
10,10,1.0
11,10,-0.142468818629
1,11,0.0136524171994
2,11,0.0275971100957
3,11,-0.0133093985345
4,11,-0.011578502969
5,11,0.00620582963809
6,11,-0.00974250481589
7,11,0.0105875805106
8,11,0.0093644057616
9,11,-0.0870062469198
10,11,-0.142468818629
11,11,1.0

