#: table_doi: 10.17182/hepdata.84154.v2/t6
#: name: Table 6
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the $t\bar{t$}$ system absolute rapidity $|y^{t\bar{t}}|$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_6.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DABSRAPIDITY_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSRAPIDITY_TTBAR,ABSRAPIDITY_TTBAR LOW,ABSRAPIDITY_TTBAR HIGH,1/SIG*DSIG/DABSRAPIDITY_TTBAR,stat +,stat -,sys +,sys -
0.05,0.0,0.1,1.12831,0.841%,-0.841%,0.537%,-1.388%
0.15000000000000002,0.1,0.2,1.1302,0.77%,-0.77%,0.779%,-0.824%
0.25,0.2,0.3,1.06551,0.806%,-0.806%,0.865%,-0.733%
0.35,0.3,0.4,1.00837,0.83%,-0.83%,1.142%,-1.108%
0.45,0.4,0.5,0.957307,0.86%,-0.86%,1.083%,-0.748%
0.55,0.5,0.6,0.876413,0.906%,-0.906%,1.022%,-0.696%
0.6499999999999999,0.6,0.7,0.766013,0.966%,-0.966%,0.982%,-1.462%
0.75,0.7,0.8,0.675167,1.02%,-1.02%,0.938%,-0.698%
0.8500000000000001,0.8,0.9,0.578464,1.12%,-1.12%,0.783%,-0.691%
0.95,0.9,1.0,0.468233,1.261%,-1.261%,0.599%,-1.098%
1.05,1.0,1.1,0.369969,1.44%,-1.44%,1.312%,-1.395%
1.15,1.1,1.2,0.293234,1.615%,-1.615%,2.015%,-1.953%
1.25,1.2,1.3,0.228467,1.893%,-1.893%,2.73%,-2.707%
1.35,1.3,1.4,0.165811,2.228%,-2.228%,2.84%,-3.196%
1.45,1.4,1.5,0.114778,2.677%,-2.677%,2.575%,-3.07%
1.55,1.5,1.6,0.0794494,3.435%,-3.435%,3.053%,-2.995%
1.7000000000000002,1.6,1.8,0.0362531,4.089%,-4.089%,6.178%,-5.093%
2.15,1.8,2.5,0.0031134,8.229%,-8.229%,6.506%,-6.228%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSRAPIDITY_TTBAR,ABSRAPIDITY_TTBAR LOW,ABSRAPIDITY_TTBAR HIGH,DSIG/DABSRAPIDITY_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
0.05,0.0,0.1,1.12831,0.841%,-0.841%,0.021%,-0.021%,0.029%,-0.032%,-0.241%,0.241%,-0.308%,0.265%,0.028%,-0.028%,-0.036%,0.036%,0.032%,-0.048%,-0.093%,0.06%,0.0%,-0.053%,0.002%,-0.04%,0.292%,-0.292%,0.007%,0.0%,-0.098%,0.056%,-0.006%,0.005%,0.022%,-0.041%,-0.013%,0.011%,-0.004%,0.032%,-0.184%,0.184%,0.008%,-0.009%,0.056%,-0.056%,-0.094%,0.094%,0.013%,-0.013%,0.021%,-0.023%,-0.003%,0.003%,0.0%,-0.026%,0.0%,-0.109%,-0.004%,0.008%,0.005%,-0.003%,0.0%,-0.019%,-0.057%,0.056%,0.0%,-0.039%,0.011%,0.0%,0.0%,-0.001%,0.064%,0.0%,-0.023%,0.02%,0.048%,-0.048%,0.0%,-0.016%,-0.009%,0.009%,-0.008%,0.008%,0.038%,-1.256%,0.013%,-0.013%,0.017%,-0.017%,0.0%,-0.063%,0.03%,-0.03%,-0.016%,0.016%,0.007%,-0.006%,0.019%,-0.021%,0.019%,-0.006%,-0.006%,0.03%,-0.014%,0.012%,0.0%,-0.061%,0.005%,-0.001%,0.205%,-0.205%,0.023%,-0.02%,0.0%,-0.067%
0.15000000000000002,0.1,0.2,1.1302,0.77%,-0.77%,0.017%,-0.015%,-0.002%,0.001%,-0.256%,0.256%,-0.158%,0.265%,-0.003%,0.024%,-0.021%,0.021%,0.032%,-0.016%,-0.043%,0.082%,0.0%,-0.054%,-0.009%,0.011%,0.422%,-0.422%,-0.011%,0.005%,0.064%,0.0%,0.0%,-0.002%,0.053%,0.0%,-0.013%,0.012%,0.01%,-0.031%,0.438%,-0.438%,-0.034%,0.033%,0.039%,-0.039%,-0.097%,0.097%,0.002%,-0.002%,0.013%,-0.015%,-0.002%,0.002%,0.023%,0.0%,-0.1%,0.092%,0.02%,-0.019%,0.005%,-0.007%,-0.037%,0.03%,-0.055%,0.056%,0.032%,0.0%,-0.014%,0.002%,0.0%,-0.001%,0.02%,-0.062%,0.042%,-0.019%,0.041%,-0.041%,0.034%,0.0%,0.011%,-0.011%,-0.002%,0.002%,0.11%,-0.393%,-0.025%,0.025%,0.12%,-0.12%,0.056%,-0.061%,0.014%,-0.014%,0.013%,-0.013%,0.011%,0.0%,0.018%,-0.019%,-0.012%,0.033%,0.017%,-0.017%,0.0%,-0.002%,0.096%,0.0%,0.015%,-0.014%,0.194%,-0.194%,0.005%,0.0%,-0.049%,0.105%
0.25,0.2,0.3,1.06551,0.806%,-0.806%,0.022%,-0.017%,0.007%,-0.004%,-0.199%,0.199%,-0.212%,0.168%,0.0%,-0.022%,0.0%,-0.0%,0.04%,-0.047%,-0.066%,0.077%,0.0%,-0.046%,0.028%,-0.028%,0.018%,-0.018%,0.002%,-0.004%,-0.097%,0.036%,0.006%,0.0%,0.028%,0.0%,-0.01%,0.013%,0.0%,-0.024%,0.38%,-0.38%,-0.004%,0.007%,0.026%,-0.026%,-0.08%,0.08%,-0.008%,0.008%,0.02%,-0.018%,0.01%,-0.01%,0.005%,-0.005%,-0.002%,0.185%,0.011%,-0.001%,-0.016%,0.013%,0.0%,-0.037%,-0.049%,0.053%,0.043%,-0.004%,0.008%,0.0%,0.001%,0.0%,0.0%,-0.086%,-0.04%,0.036%,0.049%,-0.049%,0.025%,0.0%,0.019%,-0.019%,-0.003%,0.003%,0.424%,0.0%,0.011%,-0.011%,-0.509%,0.509%,0.149%,0.0%,0.046%,-0.046%,0.031%,-0.031%,-0.012%,0.005%,0.019%,-0.017%,0.021%,0.0%,-0.033%,0.02%,0.003%,-0.001%,0.062%,0.0%,-0.009%,0.012%,0.2%,-0.2%,0.0%,-0.007%,0.066%,0.0%
0.35,0.3,0.4,1.00837,0.83%,-0.83%,0.026%,-0.016%,0.019%,-0.01%,-0.127%,0.127%,-0.13%,0.174%,0.01%,0.0%,0.008%,-0.008%,0.053%,-0.031%,-0.099%,0.071%,0.006%,-0.046%,0.078%,-0.024%,0.415%,-0.415%,-0.018%,0.009%,-0.019%,0.078%,-0.001%,0.003%,0.0%,-0.028%,-0.005%,0.013%,-0.013%,0.002%,0.429%,-0.429%,-0.007%,0.015%,0.107%,-0.107%,-0.075%,0.075%,0.009%,-0.009%,0.028%,-0.02%,0.009%,-0.009%,-0.009%,0.02%,0.106%,0.0%,0.015%,-0.002%,-0.001%,0.001%,0.042%,0.0%,-0.04%,0.049%,-0.059%,0.043%,-0.004%,0.004%,0.004%,0.0%,0.111%,0.0%,-0.045%,0.071%,0.074%,-0.074%,0.021%,-0.034%,-0.009%,0.009%,-0.003%,0.003%,0.13%,0.0%,0.004%,-0.004%,-0.887%,0.887%,-0.001%,0.08%,-0.021%,0.021%,-0.009%,0.009%,-0.041%,0.024%,0.019%,-0.011%,0.0%,-0.011%,-0.037%,0.063%,0.008%,0.0%,0.027%,0.0%,-0.016%,0.008%,0.203%,-0.203%,0.016%,-0.003%,0.053%,0.0%
0.45,0.4,0.5,0.957307,0.86%,-0.86%,0.001%,0.0%,0.017%,-0.018%,-0.092%,0.092%,-0.13%,0.165%,0.02%,-0.02%,-0.039%,0.039%,0.074%,-0.003%,0.0%,-0.022%,0.005%,-0.054%,-0.017%,0.038%,-0.679%,0.679%,0.01%,-0.004%,-0.026%,0.042%,0.002%,0.0%,0.0%,-0.034%,-0.008%,0.008%,-0.012%,0.024%,0.041%,-0.041%,-0.018%,0.018%,0.012%,-0.012%,-0.029%,0.029%,-0.02%,0.02%,0.013%,-0.013%,0.004%,-0.004%,0.013%,0.0%,0.0%,-0.106%,0.01%,0.0%,0.002%,-0.002%,0.023%,0.0%,-0.038%,0.039%,0.0%,-0.013%,-0.002%,0.01%,0.0%,-0.0%,0.009%,-0.057%,0.043%,-0.017%,-0.024%,0.024%,0.0%,-0.039%,0.008%,-0.008%,-0.025%,0.025%,0.802%,0.0%,0.013%,-0.013%,0.037%,-0.037%,0.0%,-0.117%,-0.088%,0.088%,-0.015%,0.015%,0.03%,-0.017%,0.012%,-0.012%,-0.022%,0.018%,0.032%,0.0%,-0.006%,0.005%,0.0%,-0.049%,-0.003%,0.004%,0.209%,-0.209%,0.027%,-0.004%,0.0%,-0.125%
0.55,0.5,0.6,0.876413,0.906%,-0.906%,-0.008%,0.008%,0.05%,-0.051%,-0.128%,0.128%,-0.068%,0.104%,0.022%,0.0%,-0.039%,0.039%,0.08%,-0.038%,0.037%,0.0%,0.0%,-0.023%,0.017%,-0.012%,-0.469%,0.469%,0.009%,0.0%,-0.026%,0.01%,0.004%,0.0%,0.047%,-0.013%,-0.008%,0.007%,0.021%,0.0%,0.105%,-0.105%,0.005%,-0.005%,-0.025%,0.025%,-0.034%,0.034%,0.001%,-0.001%,0.003%,-0.004%,0.002%,-0.002%,-0.012%,0.032%,-0.019%,0.1%,0.007%,0.0%,-0.006%,0.013%,0.014%,0.0%,-0.031%,0.032%,0.04%,0.0%,-0.007%,0.009%,0.0%,-0.0%,-0.008%,0.023%,-0.028%,0.015%,-0.102%,0.102%,-0.032%,0.038%,0.002%,-0.002%,-0.022%,0.022%,0.706%,0.0%,0.013%,-0.013%,-0.446%,0.446%,0.153%,-0.042%,0.007%,-0.007%,-0.004%,0.004%,0.015%,0.0%,0.008%,-0.009%,0.012%,-0.003%,0.0%,-0.018%,0.012%,-0.012%,-0.081%,0.085%,-0.004%,0.02%,0.221%,-0.221%,-0.018%,0.022%,-0.033%,0.112%
0.6499999999999999,0.6,0.7,0.766013,0.966%,-0.966%,0.015%,-0.019%,0.001%,-0.006%,-0.109%,0.109%,0.0%,-0.104%,0.0%,-0.027%,-0.016%,0.016%,0.005%,-0.066%,0.0%,-0.079%,0.0%,-0.018%,0.0%,-0.023%,-0.649%,0.649%,0.0%,-0.018%,0.011%,-0.035%,0.008%,0.0%,-0.079%,0.017%,-0.007%,0.003%,0.0%,-0.047%,0.019%,-0.019%,0.0%,-0.004%,-0.041%,0.041%,-0.04%,0.04%,0.019%,-0.019%,-0.01%,0.005%,-0.001%,0.001%,0.006%,-0.017%,0.048%,0.0%,-0.039%,0.011%,-0.01%,0.004%,0.0%,-0.013%,-0.016%,0.012%,0.0%,-0.057%,0.0%,-0.025%,0.0%,-0.002%,-0.148%,0.109%,-0.069%,0.031%,-0.126%,0.126%,0.0%,-0.05%,-0.025%,0.025%,-0.053%,0.053%,0.0%,-1.048%,-0.011%,0.011%,-0.693%,0.693%,0.0%,-0.076%,0.083%,-0.083%,-0.023%,0.023%,0.003%,-0.02%,0.0%,-0.004%,0.049%,-0.072%,-0.066%,0.004%,-0.007%,0.003%,0.0%,-0.086%,0.0%,-0.008%,0.235%,-0.235%,0.0%,-0.041%,0.0%,-0.028%
0.75,0.7,0.8,0.675167,1.02%,-1.02%,-0.011%,0.008%,-0.041%,0.038%,-0.022%,0.022%,0.036%,-0.129%,0.025%,0.0%,0.012%,-0.012%,0.0%,-0.074%,0.074%,-0.147%,0.0%,-0.014%,0.037%,0.0%,0.624%,-0.624%,0.017%,0.0%,0.048%,0.0%,-0.005%,0.002%,-0.038%,0.059%,-0.004%,0.001%,0.044%,0.0%,-0.039%,0.039%,-0.011%,0.009%,-0.05%,0.05%,-0.072%,0.072%,0.002%,-0.002%,-0.014%,0.012%,-0.012%,0.012%,0.001%,-0.031%,0.061%,-0.133%,-0.036%,0.012%,0.014%,-0.006%,0.022%,-0.021%,0.006%,-0.009%,-0.043%,0.009%,0.023%,0.0%,0.0%,-0.001%,0.117%,-0.062%,0.004%,0.0%,0.045%,-0.045%,0.032%,0.0%,0.027%,-0.027%,0.007%,-0.007%,0.658%,0.0%,0.024%,-0.024%,-0.022%,0.022%,-0.038%,0.024%,0.009%,-0.009%,0.047%,-0.047%,0.0%,-0.018%,-0.015%,0.013%,0.0%,-0.036%,-0.02%,0.0%,-0.007%,0.004%,0.043%,0.0%,0.009%,-0.006%,0.249%,-0.249%,0.018%,0.0%,-0.065%,0.01%
0.8500000000000001,0.8,0.9,0.578464,1.12%,-1.12%,-0.037%,0.03%,-0.044%,0.04%,0.065%,-0.065%,0.179%,-0.091%,0.021%,-0.008%,0.034%,-0.034%,-0.036%,0.031%,0.04%,-0.016%,0.0%,-0.012%,0.024%,0.0%,0.488%,-0.488%,0.0%,-0.016%,0.048%,-0.075%,0.01%,-0.018%,0.121%,-0.005%,0.0%,-0.004%,0.047%,0.0%,-0.225%,0.225%,0.003%,-0.007%,-0.017%,0.017%,0.056%,-0.056%,-0.02%,0.02%,-0.032%,0.029%,-0.025%,0.025%,-0.007%,0.02%,-0.095%,0.04%,-0.021%,0.005%,-0.012%,0.003%,0.0%,-0.013%,0.023%,-0.027%,0.094%,0.0%,0.01%,-0.005%,0.0%,-0.002%,0.13%,0.0%,0.024%,-0.009%,0.054%,-0.054%,0.046%,0.0%,0.004%,-0.004%,-0.009%,0.009%,0.253%,0.0%,0.008%,-0.008%,0.358%,-0.358%,0.027%,0.0%,-0.098%,0.098%,0.073%,-0.073%,0.021%,-0.011%,-0.02%,0.016%,0.018%,0.0%,-0.008%,0.036%,0.004%,-0.008%,0.078%,0.0%,0.0%,-0.019%,0.275%,-0.275%,0.029%,0.0%,0.074%,0.0%
0.95,0.9,1.0,0.468233,1.261%,-1.261%,-0.012%,0.011%,-0.037%,0.038%,0.241%,-0.241%,0.214%,-0.281%,0.0%,-0.052%,0.036%,-0.036%,-0.081%,0.072%,0.124%,-0.067%,0.039%,-0.001%,0.0%,-0.114%,-0.102%,0.102%,-0.027%,0.014%,0.0%,-0.105%,0.005%,-0.003%,0.0%,-0.083%,0.008%,-0.007%,0.019%,-0.031%,-0.316%,0.316%,0.009%,-0.009%,-0.081%,0.081%,0.102%,-0.102%,-0.01%,0.01%,-0.018%,0.019%,-0.007%,0.007%,0.0%,-0.047%,0.045%,-0.008%,0.028%,-0.042%,0.0%,-0.002%,0.0%,-0.034%,0.052%,-0.052%,0.055%,-0.102%,0.0%,-0.027%,0.001%,0.0%,0.0%,-0.122%,0.016%,-0.068%,0.012%,-0.012%,0.0%,-0.087%,-0.032%,0.032%,-0.065%,0.065%,0.0%,-0.842%,-0.024%,0.024%,-0.243%,0.243%,0.0%,-0.115%,-0.024%,0.024%,-0.11%,0.11%,-0.03%,0.002%,-0.025%,0.027%,-0.027%,0.009%,0.077%,-0.066%,0.004%,-0.003%,0.0%,-0.135%,0.0%,-0.007%,0.301%,-0.301%,0.0%,-0.023%,0.095%,-0.146%
