#: table_doi: 10.17182/hepdata.84154.v2/t93
#: name: Table 93
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system transverse momentum $p_{T}^{t\bar{t}}$.

#: data_file: Table_93.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t\bar{t}} bin,p_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,0.928363445623
3,1,0.862563746634
4,1,0.788649741294
5,1,0.701959497816
6,1,0.623411122349
1,2,0.928363445623
2,2,1.0
3,2,0.956895609474
4,2,0.830607321791
5,2,0.665600882304
6,2,0.558791043098
1,3,0.862563746634
2,3,0.956895609474
3,3,1.0
4,3,0.946440058603
5,3,0.813637142606
6,3,0.710442952093
1,4,0.788649741294
2,4,0.830607321791
3,4,0.946440058603
4,4,1.0
5,4,0.952202840493
6,4,0.877907388348
1,5,0.701959497816
2,5,0.665600882304
3,5,0.813637142606
4,5,0.952202840493
5,5,1.0
6,5,0.976773535571
1,6,0.623411122349
2,6,0.558791043098
3,6,0.710442952093
4,6,0.877907388348
5,6,0.976773535571
6,6,1.0

