#: table_doi: 10.17182/hepdata.84154.v2/t44
#: name: Table 44
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$.

#: data_file: Table_44.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
m^{t\bar{t}} bin,m^{t\bar{t}} bin,
1,1,1.0
2,1,-0.210802203154
3,1,-0.286611609226
4,1,-0.0719724881293
5,1,-0.0573762592376
6,1,-0.0611117486036
7,1,-0.0557070206619
8,1,-0.0422298936897
9,1,-0.0415954126442
10,1,-0.0155426046489
11,1,-0.00714273709935
1,2,-0.210802203154
2,2,1.0
3,2,-0.338294939638
4,2,-0.33611168657
5,2,-0.103466609063
6,2,-0.0875357342646
7,2,-0.0851389520893
8,2,-0.0651078286588
9,2,-0.0493476607182
10,2,-0.0290748982235
11,2,-0.0117613340072
1,3,-0.286611609226
2,3,-0.338294939638
3,3,1.0
4,3,-0.210417490994
5,3,-0.289717259329
6,3,-0.0510131922342
7,3,-0.0372689988037
8,3,-0.0660080414518
9,3,-0.0559178149119
10,3,-0.00835689601142
11,3,-0.0523584540857
1,4,-0.0719724881293
2,4,-0.33611168657
3,4,-0.210417490994
4,4,1.0
5,4,-0.136243416447
6,4,-0.257501511725
7,4,-0.0393072428839
8,4,-0.0212077620102
9,4,-0.0216690322167
10,4,-0.0324240799569
11,4,-0.0446030900302
1,5,-0.0573762592376
2,5,-0.103466609063
3,5,-0.289717259329
4,5,-0.136243416447
5,5,1.0
6,5,-0.0844661869869
7,5,-0.211260348614
8,5,0.00847961001832
9,5,-0.00173292689821
10,5,-0.0360333411864
11,5,-0.0180227796793
1,6,-0.0611117486036
2,6,-0.0875357342646
3,6,-0.0510131922342
4,6,-0.257501511725
5,6,-0.0844661869869
6,6,1.0
7,6,-0.0784557401653
8,6,-0.173107718034
9,6,0.0155216777535
10,6,-0.0091212632286
11,6,-0.0300603628525
1,7,-0.0557070206619
2,7,-0.0851389520893
3,7,-0.0372689988037
4,7,-0.0393072428839
5,7,-0.211260348614
6,7,-0.0784557401653
7,7,1.0
8,7,-0.0619240672733
9,7,-0.150782412055
10,7,0.013711568852
11,7,-0.00423845239275
1,8,-0.0422298936897
2,8,-0.0651078286588
3,8,-0.0660080414518
4,8,-0.0212077620102
5,8,0.00847961001832
6,8,-0.173107718034
7,8,-0.0619240672733
8,8,1.0
9,8,-0.0375962351221
10,8,-0.167108854955
11,8,-0.000958905425219
1,9,-0.0415954126442
2,9,-0.0493476607182
3,9,-0.0559178149119
4,9,-0.0216690322167
5,9,-0.00173292689821
6,9,0.0155216777535
7,9,-0.150782412055
8,9,-0.0375962351221
9,9,1.0
10,9,-0.00963050964164
11,9,-0.0947549863124
1,10,-0.0155426046489
2,10,-0.0290748982235
3,10,-0.00835689601142
4,10,-0.0324240799569
5,10,-0.0360333411864
6,10,-0.0091212632286
7,10,0.013711568852
8,10,-0.167108854955
9,10,-0.00963050964164
10,10,1.0
11,10,-0.148316574902
1,11,-0.00714273709935
2,11,-0.0117613340072
3,11,-0.0523584540857
4,11,-0.0446030900302
5,11,-0.0180227796793
6,11,-0.0300603628525
7,11,-0.00423845239275
8,11,-0.000958905425219
9,11,-0.0947549863124
10,11,-0.148316574902
11,11,1.0

