#: table_doi: 10.17182/hepdata.84154.v2/t88
#: name: Table 88
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$.

#: data_file: Table_88.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
m^{t\bar{t}} bin,m^{t\bar{t}} bin,
1,1,1.0
2,1,0.164874907955
3,1,-0.708942597357
4,1,-0.533688459412
5,1,-0.291910028566
6,1,-0.151836272664
7,1,-0.0654255518491
1,2,0.164874907955
2,2,1.0
3,2,0.00583011246749
4,2,-0.637877508578
5,2,-0.523911970359
6,2,-0.280432081579
7,2,-0.106692004914
1,3,-0.708942597357
2,3,0.00583011246749
3,3,1.0
4,3,0.357353843065
5,3,-0.232901840765
6,3,-0.201877907458
7,3,-0.0730500102222
1,4,-0.533688459412
2,4,-0.637877508578
3,4,0.357353843065
4,4,1.0
5,4,0.330424840543
6,4,-0.177440629088
7,4,-0.0979554670889
1,5,-0.291910028566
2,5,-0.523911970359
3,5,-0.232901840765
4,5,0.330424840543
5,5,1.0
6,5,0.1778056627
7,5,-0.149986835327
1,6,-0.151836272664
2,6,-0.280432081579
3,6,-0.201877907458
4,6,-0.177440629088
5,6,0.1778056627
6,6,1.0
7,6,0.131358019294
1,7,-0.0654255518491
2,7,-0.106692004914
3,7,-0.0730500102222
4,7,-0.0979554670889
5,7,-0.149986835327
6,7,0.131358019294
7,7,1.0

