#: table_doi: 10.17182/hepdata.84154.v2/t14
#: name: Table 14
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_14.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DDELTAPHI_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
DELTAPHI_TTBAR,DELTAPHI_TTBAR LOW,DELTAPHI_TTBAR HIGH,1/SIG*DSIG/DDELTAPHI_TTBAR,stat +,stat -,sys +,sys -
0.7,0.0,1.4,0.0421008,1.339%,-1.339%,3.913%,-3.913%
1.8,1.4,2.2,0.102161,1.092%,-1.092%,3.985%,-3.639%
2.45,2.2,2.7,0.323988,0.751%,-0.751%,2.722%,-2.359%
2.925,2.7,3.15,1.54963,0.212%,-0.212%,1.134%,-1.248%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
DELTAPHI_TTBAR,DELTAPHI_TTBAR LOW,DELTAPHI_TTBAR HIGH,DSIG/DDELTAPHI_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
0.7,0.0,1.4,0.0421008,1.339%,-1.339%,-0.029%,0.039%,0.172%,-0.165%,-0.274%,0.274%,0.384%,-0.328%,0.116%,-0.127%,-0.007%,0.007%,-0.105%,0.076%,-0.08%,0.014%,-0.003%,0.01%,0.591%,-0.551%,-3.479%,3.479%,-0.026%,0.027%,0.065%,-0.064%,0.016%,0.0%,-0.061%,0.076%,-0.009%,0.017%,-0.045%,0.032%,0.176%,-0.176%,0.108%,-0.102%,0.029%,-0.029%,-0.096%,0.096%,-0.07%,0.07%,0.082%,-0.078%,-0.011%,0.011%,0.02%,0.0%,1.047%,-0.819%,0.01%,-0.027%,0.01%,0.0%,-0.079%,0.144%,0.053%,-0.046%,-0.387%,0.429%,0.027%,-0.01%,0.004%,0.0%,0.15%,0.0%,0.1%,-0.068%,-0.049%,0.049%,0.138%,-0.17%,0.007%,-0.007%,0.04%,-0.04%,0.0%,-0.823%,0.112%,-0.112%,-0.598%,0.598%,-0.637%,0.696%,0.094%,-0.094%,0.003%,-0.003%,0.044%,-0.046%,-0.045%,0.055%,-0.054%,0.073%,0.067%,0.0%,-0.33%,0.343%,0.204%,-0.247%,0.033%,-0.029%,0.331%,-0.331%,0.121%,-0.174%,0.308%,-0.218%
1.8,1.4,2.2,0.102161,1.092%,-1.092%,-0.019%,0.038%,0.124%,-0.107%,-0.249%,0.249%,0.598%,-0.558%,0.052%,-0.036%,0.0%,-0.0%,-0.111%,0.15%,0.019%,-0.001%,0.0%,-0.007%,1.03%,-1.019%,-2.267%,2.267%,-0.057%,0.058%,0.038%,-0.021%,-0.001%,0.009%,-0.105%,0.184%,-0.004%,0.023%,0.039%,0.0%,0.765%,-0.765%,0.138%,-0.118%,-0.008%,0.008%,-0.034%,0.034%,0.004%,-0.004%,0.13%,-0.115%,-0.004%,0.004%,0.039%,0.0%,1.584%,-1.586%,0.09%,-0.08%,0.015%,0.0%,-0.148%,0.119%,0.041%,-0.023%,-0.196%,0.167%,0.01%,-0.004%,0.009%,0.0%,0.167%,0.0%,-0.054%,0.028%,-0.003%,0.003%,0.476%,-0.441%,0.004%,-0.004%,-0.036%,0.036%,1.601%,0.0%,0.179%,-0.179%,-0.54%,0.54%,-1.026%,1.017%,0.121%,-0.121%,0.016%,-0.016%,-0.059%,0.073%,-0.028%,0.048%,-0.199%,0.211%,0.067%,-0.054%,-0.34%,0.367%,0.806%,-0.761%,0.028%,0.0%,0.27%,-0.27%,0.151%,-0.08%,0.965%,-1.058%
2.45,2.2,2.7,0.323988,0.751%,-0.751%,-0.017%,0.027%,0.006%,0.0%,-0.027%,0.027%,0.397%,-0.385%,0.064%,-0.059%,0.01%,-0.01%,-0.157%,0.185%,-0.057%,0.004%,0.0%,-0.005%,1.198%,-1.094%,-0.571%,0.571%,-0.035%,0.043%,0.026%,-0.03%,-0.001%,0.008%,-0.034%,0.073%,-0.005%,0.015%,-0.026%,0.008%,0.306%,-0.306%,0.149%,-0.142%,0.038%,-0.038%,-0.022%,0.022%,-0.058%,0.058%,0.126%,-0.12%,0.001%,-0.001%,-0.006%,0.006%,1.081%,-1.032%,0.083%,-0.077%,-0.018%,0.017%,-0.083%,0.075%,0.022%,-0.013%,-0.138%,0.108%,0.007%,0.0%,0.005%,0.0%,0.23%,0.0%,-0.203%,0.209%,0.003%,-0.003%,0.389%,-0.352%,-0.003%,0.003%,-0.06%,0.06%,-0.361%,1.159%,0.1%,-0.1%,-0.967%,0.967%,-0.622%,0.688%,0.068%,-0.068%,0.004%,-0.004%,-0.067%,0.062%,-0.022%,0.032%,-0.143%,0.163%,-0.053%,0.096%,-0.247%,0.264%,0.612%,-0.577%,-0.042%,0.04%,0.182%,-0.182%,0.094%,-0.124%,0.773%,-0.742%
2.925,2.7,3.15,1.54963,0.212%,-0.212%,0.008%,-0.013%,-0.028%,0.024%,0.056%,-0.056%,-0.186%,0.174%,-0.029%,0.027%,-0.002%,0.002%,0.056%,-0.064%,0.017%,-0.002%,0.002%,0.0%,-0.428%,0.401%,0.658%,-0.658%,0.016%,-0.018%,-0.015%,0.014%,0.0%,-0.003%,0.024%,-0.043%,0.002%,-0.007%,0.005%,-0.007%,-0.167%,0.167%,-0.057%,0.053%,-0.01%,0.01%,0.016%,-0.016%,0.018%,-0.018%,-0.049%,0.046%,0.001%,-0.001%,0.001%,-0.007%,-0.501%,0.472%,-0.029%,0.028%,0.002%,-0.006%,0.041%,-0.041%,-0.014%,0.009%,0.084%,-0.077%,-0.005%,0.001%,0.0%,-0.002%,0.0%,-0.076%,0.043%,-0.044%,0.004%,-0.004%,-0.151%,0.141%,0.0%,-0.0%,0.014%,-0.014%,0.017%,-0.428%,-0.051%,0.051%,0.323%,-0.323%,0.304%,-0.322%,-0.036%,0.036%,-0.003%,0.003%,0.018%,-0.018%,0.012%,-0.017%,0.058%,-0.066%,0.0%,-0.016%,0.119%,-0.127%,-0.242%,0.233%,0.006%,-0.01%,0.05%,-0.05%,-0.047%,0.05%,-0.304%,0.3%

