#: table_doi: 10.17182/hepdata.84154.v2/t104
#: name: Table 104
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the hadronic top-quark absolute rapidity $|y^{t}|$.

#: data_file: Table_104.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t}| bin,|y^{t}| bin,
1,1,1.0
2,1,-0.188454037499
3,1,-0.37466517921
4,1,-0.271172239912
5,1,-0.307982994444
1,2,-0.188454037499
2,2,1.0
3,2,-0.110735604762
4,2,-0.314852511256
5,2,-0.337668148597
1,3,-0.37466517921
2,3,-0.110735604762
3,3,1.0
4,3,-0.100389634383
5,3,-0.319005319574
1,4,-0.271172239912
2,4,-0.314852511256
3,4,-0.100389634383
4,4,1.0
5,4,-0.147093330861
1,5,-0.307982994444
2,5,-0.337668148597
3,5,-0.319005319574
4,5,-0.147093330861
5,5,1.0

