#: table_doi: 10.17182/hepdata.84154.v2/t66
#: name: Table 66
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system out-of-plane momentum $|p_{out}^{t\bar{t}}|$.

#: data_file: Table_66.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|p_{out}^{t\bar{t}}| bin,|p_{out}^{t\bar{t}}| bin,
1,1,1.0
2,1,-0.956992547817
3,1,-0.826318278228
4,1,-0.453889192454
5,1,-0.397932432037
6,1,0.126420706621
1,2,-0.956992547817
2,2,1.0
3,2,0.642773321075
4,2,0.237261950248
5,2,0.320156479754
6,2,-0.384502165843
1,3,-0.826318278228
2,3,0.642773321075
3,3,1.0
4,3,0.622372361432
5,3,0.310047259129
6,3,0.339873203747
1,4,-0.453889192454
2,4,0.237261950248
3,4,0.622372361432
4,4,1.0
5,4,0.275898318484
6,4,0.480569379609
1,5,-0.397932432037
2,5,0.320156479754
3,5,0.310047259129
4,5,0.275898318484
5,5,1.0
6,5,0.293750461149
1,6,0.126420706621
2,6,-0.384502165843
3,6,0.339873203747
4,6,0.480569379609
5,6,0.293750461149
6,6,1.0

