#: table_doi: 10.17182/hepdata.84154.v2/t56
#: name: Table 56
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the hadronic top-quark transverse momentum $p_{T}^{t}$.

#: data_file: Table_56.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t} bin,p_{T}^{t} bin,
1,1,1.0
2,1,-0.186570685524
3,1,-0.169377280029
4,1,-0.0463680002658
5,1,-0.0467004065356
6,1,-0.0501093585543
7,1,-0.044800675263
8,1,-0.0271246593488
9,1,-0.0416763058829
10,1,-0.0113569997656
11,1,-0.000374129585018
12,1,-0.00749643797082
13,1,-0.00574031665514
14,1,-0.02107720039
15,1,0.0177067510373
1,2,-0.186570685524
2,2,1.0
3,2,-0.216332079308
4,2,-0.196286622324
5,2,-0.0880506250122
6,2,-0.0665674511116
7,2,-0.0624899382455
8,2,-0.0691633366722
9,2,-0.0273267726957
10,2,-0.0459581732787
11,2,-0.028676046891
12,2,-0.0328519323107
13,2,-0.0224381749525
14,2,0.00532014241062
15,2,-0.0168147508066
1,3,-0.169377280029
2,3,-0.216332079308
3,3,1.0
4,3,-0.257624954821
5,3,-0.206849424892
6,3,-0.0863188436187
7,3,-0.0777644897138
8,3,-0.0651804133323
9,3,-0.0563843863022
10,3,-0.0332824621062
11,3,-0.0318346497767
12,3,-0.0217381115636
13,3,-0.020447316014
14,3,-0.00932357814243
15,3,-0.0298139080879
1,4,-0.0463680002658
2,4,-0.196286622324
3,4,-0.257624954821
4,4,1.0
5,4,-0.306158393787
6,4,-0.206496424637
7,4,-0.0604191293039
8,4,-0.0583832136371
9,4,-0.0646115280876
10,4,-0.0305967663722
11,4,-0.0491426539161
12,4,-0.0409394372215
13,4,-0.0141024498388
14,4,-0.0035398670208
15,4,-0.0200850118613
1,5,-0.0467004065356
2,5,-0.0880506250122
3,5,-0.206849424892
4,5,-0.306158393787
5,5,1.0
6,5,-0.222409896049
7,5,-0.180655848177
8,5,-0.0357275163235
9,5,-0.0277948800269
10,5,-0.0536397501511
11,5,-0.0379761501122
12,5,-0.0210433941769
13,5,-0.0299505887097
14,5,-0.0337146369879
15,5,-0.0121471615324
1,6,-0.0501093585543
2,6,-0.0665674511116
3,6,-0.0863188436187
4,6,-0.206496424637
5,6,-0.222409896049
6,6,1.0
7,6,-0.13118041162
8,6,-0.185885967036
9,6,-0.0399150323691
10,6,-0.00593598155691
11,6,-0.0183761888586
12,6,-0.0252614658699
13,6,-0.00172749298461
14,6,-0.0216943711674
15,6,-0.0137663102674
1,7,-0.044800675263
2,7,-0.0624899382455
3,7,-0.0777644897138
4,7,-0.0604191293039
5,7,-0.180655848177
6,7,-0.13118041162
7,7,1.0
8,7,-0.127221666482
9,7,-0.161512840183
10,7,-0.0170806546097
11,7,-0.0132364504872
12,7,-0.0175411248378
13,7,-0.0227961778222
14,7,0.00470998388855
15,7,-0.0277332278982
1,8,-0.0271246593488
2,8,-0.0691633366722
3,8,-0.0651804133323
4,8,-0.0583832136371
5,8,-0.0357275163235
6,8,-0.185885967036
7,8,-0.127221666482
8,8,1.0
9,8,-0.0826477948261
10,8,-0.164687185278
11,8,-0.0160498721434
12,8,-0.00650726644157
13,8,-0.0248593973007
14,8,-0.0111575387139
15,8,-0.000179991495947
1,9,-0.0416763058829
2,9,-0.0273267726957
3,9,-0.0563843863022
4,9,-0.0646115280876
5,9,-0.0277948800269
6,9,-0.0399150323691
7,9,-0.161512840183
8,9,-0.0826477948261
9,9,1.0
10,9,-0.059607955468
11,9,-0.161318577821
12,9,0.017293822746
13,9,0.0205420379135
14,9,-0.00626088288351
15,9,-0.0138808758547
1,10,-0.0113569997656
2,10,-0.0459581732787
3,10,-0.0332824621062
4,10,-0.0305967663722
5,10,-0.0536397501511
6,10,-0.00593598155691
7,10,-0.0170806546097
8,10,-0.164687185278
9,10,-0.059607955468
10,10,1.0
11,10,-0.0963468784381
12,10,-0.115078633121
13,10,0.0170105422101
14,10,0.023639709398
15,10,-0.0217540491828
1,11,-0.000374129585018
2,11,-0.028676046891
3,11,-0.0318346497767
4,11,-0.0491426539161
5,11,-0.0379761501122
6,11,-0.0183761888586
7,11,-0.0132364504872
8,11,-0.0160498721434
9,11,-0.161318577821
10,11,-0.0963468784381
11,11,1.0
12,11,-0.110263970211
13,11,-0.105492515545
14,11,0.0035276202913
15,11,-0.00313002913338
1,12,-0.00749643797082
2,12,-0.0328519323107
3,12,-0.0217381115636
4,12,-0.0409394372215
5,12,-0.0210433941769
6,12,-0.0252614658699
7,12,-0.0175411248378
8,12,-0.00650726644157
9,12,0.017293822746
10,12,-0.115078633121
11,12,-0.110263970211
12,12,1.0
13,12,-0.0981814863652
14,12,-0.110960816673
15,12,0.0195578546548
1,13,-0.00574031665514
2,13,-0.0224381749525
3,13,-0.020447316014
4,13,-0.0141024498388
5,13,-0.0299505887097
6,13,-0.00172749298461
7,13,-0.0227961778222
8,13,-0.0248593973007
9,13,0.0205420379135
10,13,0.0170105422101
11,13,-0.105492515545
12,13,-0.0981814863652
13,13,1.0
14,13,-0.0382345748144
15,13,-0.0986499730483
1,14,-0.02107720039
2,14,0.00532014241062
3,14,-0.00932357814243
4,14,-0.0035398670208
5,14,-0.0337146369879
6,14,-0.0216943711674
7,14,0.00470998388855
8,14,-0.0111575387139
9,14,-0.00626088288351
10,14,0.023639709398
11,14,0.0035276202913
12,14,-0.110960816673
13,14,-0.0382345748144
14,14,1.0
15,14,-0.132165779381
1,15,0.0177067510373
2,15,-0.0168147508066
3,15,-0.0298139080879
4,15,-0.0200850118613
5,15,-0.0121471615324
6,15,-0.0137663102674
7,15,-0.0277332278982
8,15,-0.000179991495947
9,15,-0.0138808758547
10,15,-0.0217540491828
11,15,-0.00313002913338
12,15,0.0195578546548
13,15,-0.0986499730483
14,15,-0.132165779381
15,15,1.0

