#: table_doi: 10.17182/hepdata.84154.v2/t179
#: name: Table 179
#: description: Statistical correlation matrix between $m^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $m^{t\bar{t}}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from absolute spectra through the Bootstrap Method. The binning is the following: Rows: [345-400, 400-470, 470-550, 550-650, 650-800, 800-1100, 1100-1600] GeV Columns: [345-400, 400-470, 470-550, 550-650, 650-800, 800-1100, 1100-1600] GeV

#: data_file: Table_179.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_M_TTBAR_4J2B_M_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,0.52057
3,1,-0.254831
4,1,-0.249305
5,1,-0.10418
6,1,-0.0214541
7,1,0.000815721
1,2,0.52057
2,2,1
3,2,0.298679
4,2,-0.250712
5,2,-0.221548
6,2,-0.0669809
7,2,-0.010135
1,3,-0.254831
2,3,0.298679
3,3,1
4,3,0.409987
5,3,-0.163016
6,3,-0.142808
7,3,-0.0315226
1,4,-0.249305
2,4,-0.250712
3,4,0.409987
4,4,1
5,4,0.334172
6,4,-0.169248
7,4,-0.0742702
1,5,-0.10418
2,5,-0.221548
3,5,-0.163016
4,5,0.334172
5,5,1
6,5,0.184151
7,5,-0.122152
1,6,-0.0214541
2,6,-0.0669809
3,6,-0.142808
4,6,-0.169248
5,6,0.184151
6,6,1
7,6,0.145869
1,7,0.000815721
2,7,-0.010135
3,7,-0.0315226
4,7,-0.0742702
5,7,-0.122152
6,7,0.145869
7,7,1

