#: table_doi: 10.17182/hepdata.84154.v2/t102
#: name: Table 102
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the hadronic top-quark transverse momentum $p_{T}^{t}$.

#: data_file: Table_102.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t} bin,p_{T}^{t} bin,
1,1,1.0
2,1,-0.532476673301
3,1,-0.915638325279
4,1,-0.147588630686
5,1,-0.13602795121
6,1,0.241299884053
7,1,0.298663901896
8,1,0.321891725562
1,2,-0.532476673301
2,2,1.0
3,2,0.689488059044
4,2,-0.746511414814
5,2,-0.704109944659
6,2,-0.844123526212
7,2,-0.827236915614
8,2,-0.787603427346
1,3,-0.915638325279
2,3,0.689488059044
3,3,1.0
4,3,-0.10538505318
5,3,-0.213300913008
6,3,-0.560396103957
7,3,-0.620407615385
8,3,-0.652645224902
1,4,-0.147588630686
2,4,-0.746511414814
3,4,-0.10538505318
4,4,1.0
5,4,0.918862960514
6,4,0.765451809841
7,4,0.70613726325
8,4,0.659301257776
1,5,-0.13602795121
2,5,-0.704109944659
3,5,-0.213300913008
4,5,0.918862960514
5,5,1.0
6,5,0.904333471343
7,5,0.863491749267
8,5,0.829898393883
1,6,0.241299884053
2,6,-0.844123526212
3,6,-0.560396103957
4,6,0.765451809841
5,6,0.904333471343
6,6,1.0
7,6,0.985727767765
8,6,0.949078578249
1,7,0.298663901896
2,7,-0.827236915614
3,7,-0.620407615385
4,7,0.70613726325
5,7,0.863491749267
6,7,0.985727767765
7,7,1.0
8,7,0.977861108745
1,8,0.321891725562
2,8,-0.787603427346
3,8,-0.652645224902
4,8,0.659301257776
5,8,0.829898393883
6,8,0.949078578249
7,8,0.977861108745
8,8,1.0

