#: table_doi: 10.17182/hepdata.84154.v2/t76
#: name: Table 76
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the longitudinal boost $y_{boost}^{t\bar{t}}$.

#: data_file: Table_76.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
y_{boost}^{t\bar{t}} bin,y_{boost}^{t\bar{t}} bin,
1,1,1.0
2,1,-0.18938647784
3,1,-0.339738832854
4,1,-0.110296846503
5,1,-0.0584603720586
6,1,-0.0685008213093
7,1,-0.076936300765
8,1,-0.0786662831956
9,1,-0.0665595029392
10,1,-0.0469556610971
11,1,-0.0570469694007
12,1,-0.0478854554903
13,1,-0.0400028174375
14,1,-0.0229041898138
15,1,-0.00771907908615
16,1,-0.0354112970301
1,2,-0.18938647784
2,2,1.0
3,2,0.0531142993616
4,2,-0.319799334148
5,2,-0.11564088019
6,2,-0.0583909562757
7,2,-0.0645171879366
8,2,-0.0777474505005
9,2,-0.0641309546993
10,2,-0.064425896653
11,2,-0.0480641050755
12,2,-0.0605197216667
13,2,-0.0583230218799
14,2,-0.0558119281684
15,2,-0.0425806358936
16,2,-0.0616283781044
1,3,-0.339738832854
2,3,0.0531142993616
3,3,1.0
4,3,0.0349889552598
5,3,-0.309408781406
6,3,-0.116793471681
7,3,-0.055529551014
8,3,-0.058728154705
9,3,-0.0544811783752
10,3,-0.063647602034
11,3,-0.064035721647
12,3,-0.0605984890604
13,3,-0.0404071780121
14,3,-0.0412735054724
15,3,-0.0378422434306
16,3,-0.0194509611812
1,4,-0.110296846503
2,4,-0.319799334148
3,4,0.0349889552598
4,4,1.0
5,4,0.037599714907
6,4,-0.3132076758
7,4,-0.124204564084
8,4,-0.0287713256435
9,4,-0.0597505425077
10,4,-0.0638518397414
11,4,-0.0419587558738
12,4,-0.0390015841605
13,4,-0.0285460834973
14,4,-0.0338248001139
15,4,-0.0312801846554
16,4,-0.0252751029069
1,5,-0.0584603720586
2,5,-0.11564088019
3,5,-0.309408781406
4,5,0.037599714907
5,5,1.0
6,5,0.0542128396639
7,5,-0.312843612974
8,5,-0.145378359403
9,5,-0.0292675414706
10,5,-0.0280554840584
11,5,-0.0418705170965
12,5,-0.0349511394785
13,5,-0.0511001119457
14,5,-0.0359060345235
15,5,-0.0298005530512
16,5,-0.0362690406842
1,6,-0.0685008213093
2,6,-0.0583909562757
