#: table_doi: 10.17182/hepdata.84154.v2/t52
#: name: Table 52
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t$}$ system absolute rapidity $|y^{t\bar{t}}|$.

#: data_file: Table_52.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t\bar{t}}| bin,|y^{t\bar{t}}| bin,
1,1,1.0
2,1,-0.194859107894
3,1,-0.362714195192
4,1,-0.0988475341289
5,1,-0.0311984430363
6,1,-0.0982250491432
7,1,-0.083506362994
8,1,-0.0445948502435
9,1,-0.0612756201188
10,1,-0.071164839532
11,1,-0.0634528206664
12,1,-0.0245375511751
13,1,-0.0463186062388
14,1,-0.0587283637943
15,1,-0.0323649570225
16,1,-0.0171081549608
17,1,0.000451136214857
18,1,-0.0354166310791
1,2,-0.194859107894
2,2,1.0
3,2,0.0758611645421
4,2,-0.339755741306
5,2,-0.13676647992
6,2,-0.0482231292676
7,2,-0.0936616024989
8,2,-0.0830216779021
9,2,-0.0647415287977
10,2,-0.0633824887726
11,2,-0.0519916059621
12,2,-0.068359475513
13,2,-0.0305246302558
14,2,-0.0345750951544
15,2,-0.0186099765802
16,2,-0.0154353565732
17,2,-0.0445588574947
18,2,-0.000116574991183
1,3,-0.362714195192
2,3,0.0758611645421
3,3,1.0
4,3,0.0651876100144
5,3,-0.340855103066
6,3,-0.115398594137
7,3,-0.050644499767
8,3,-0.0550983992208
9,3,-0.0781251412181
10,3,-0.0546682598445
11,3,-0.0545651376444
12,3,-0.0586607504023
13,3,-0.0326178835126
14,3,-0.016847366656
15,3,-0.0317436549781
16,3,-0.0256289705013
17,3,-0.0272362461098
18,3,-0.00973868116969
1,4,-0.0988475341289
2,4,-0.339755741306
3,4,0.0651876100144
4,4,1.0
5,4,0.0598328550328
6,4,-0.322075252653
7,4,-0.12414699936
8,4,-0.036342749335
9,4,-0.0445382136148
10,4,-0.0678820951491
11,4,-0.0603204405605
12,4,-0.0442824778235
13,4,-0.0371423048505
14,4,-0.0163212581819
15,4,-0.0301664619894
16,4,-0.0482087069448
17,4,-0.0294338802795
18,4,-0.0245458973686
1,5,-0.0311984430363
2,5,-0.13676647992
3,5,-0.340855103066
4,5,0.0598328550328
5,5,1.0
6,5,0.0850571129844
7,5,-0.306377548324
8,5,-0.143425869331
9,5,-0.0316255526724
10,5,-0.0564998793206
11,5,-0.0577661057848
12,5,-0.042665673571
13,5,-0.0591086372812
14,5,-0.0399012684093
15,5,-0.0356181672437
16,5,-0.0339245023484
17,5,-0.0177982054506
18,5,-0.0232038441712
1,6,-0.0982250491432
2,6,-0.0482231292676
3,6,-0.115398594137
4,6,-0.322075252653
5,6,0.0850571129844
6,6,1.0
7,6,0.0893477244652
8,6,-0.320837527981
9,6,-0.127218979312
10,6,-0.0448866588296
11,6,-0.039867256096
12,6,-0.0468950897989
13,6,-0.0412270558462
14,6,-0.037038304032
15,6,-0.037821087697
16,6,-0.0234272471371
17,6,-0.00953699524552
18,6,-0.00427533480441
1,7,-0.083506362994
2,7,-0.0936616024989
3,7,-0.050644499767
4,7,-0.12414699936
5,7,-0.306377548324
6,7,0.0893477244652
7,7,1.0
8,7,0.114248772758
9,7,-0.297958676376
10,7,-0.106234574274
11,7,-0.0150243490338
12,7,-0.0347775865353
13,7,-0.0392922771934
14,7,-0.0459305510665
15,7,-0.0251923861561
16,7,-0.0114517842818
17,7,-0.00977698563947
18,7,-0.00452650643948
1,8,-0.0445948502435
2,8,-0.0830216779021
3,8,-0.0550983992208
4,8,-0.036342749335
5,8,-0.143425869331
6,8,-0.320837527981
7,8,0.114248772758
8,8,1.0
9,8,0.121671958352
10,8,-0.282375675708
11,8,-0.114145831642
12,8,-0.024235045495
13,8,-0.0295261917866
14,8,-0.0325521863061
15,8,-0.0336882340133
16,8,-0.0195402532495
17,8,-0.0179319415071
18,8,-0.0122293471173
1,9,-0.0612756201188
2,9,-0.0647415287977
3,9,-0.0781251412181
4,9,-0.0445382136148
5,9,-0.0316255526724
6,9,-0.127218979312
7,9,-0.297958676376
8,9,0.121671958352
9,9,1.0
10,9,0.123518028138
11,9,-0.289518313819
12,9,-0.114202326959
13,9,-0.0183442560351
14,9,-0.0123329293695
15,9,-0.0269969620375
16,9,-0.0117887322125
17,9,-0.0194882226015
18,9,-0.00211405339572
1,10,-0.071164839532
2,10,-0.0633824887726
3,10,-0.0546682598445
4,10,-0.0678820951491
5,10,-0.0564998793206
6,10,-0.0448866588296
7,10,-0.106234574274
8,10,-0.282375675708
9,10,0.123518028138
10,10,1.0
11,10,0.171264146269
12,10,-0.247954377804
13,10,-0.0927117147378
14,10,-0.00744239282589
15,10,-0.00939280525388
16,10,-0.0175852820266
17,10,-0.037182572092
18,10,-0.00553538289625
1,11,-0.0634528206664
2,11,-0.0519916059621
3,11,-0.0545651376444
4,11,-0.0603204405605
5,11,-0.0577661057848
6,11,-0.039867256096
7,11,-0.0150243490338
8,11,-0.114145831642
9,11,-0.289518313819
10,11,0.171264146269
11,11,1.0
12,11,0.167292764744
13,11,-0.256614502861
14,11,-0.087463474269
15,11,-0.00315779976779
16,11,0.001039434092
17,11,-0.0305279240631
18,11,-0.00341901089257
1,12,-0.0245375511751
2,12,-0.068359475513
3,12,-0.0586607504023
4,12,-0.0442824778235
5,12,-0.042665673571
6,12,-0.0468950897989
7,12,-0.0347775865353
8,12,-0.024235045495
9,12,-0.114202326959
10,12,-0.247954377804
11,12,0.167292764744
12,12,1.0
13,12,0.145072542034
14,12,-0.25021334892
15,12,-0.0649383907368
16,12,0.00194732903178
17,12,-0.0201630814289
18,12,-0.0124365925682
1,13,-0.0463186062388
2,13,-0.0305246302558
3,13,-0.0326178835126
4,13,-0.0371423048505
5,13,-0.0591086372812
6,13,-0.0412270558462
7,13,-0.0392922771934
8,13,-0.0295261917866
9,13,-0.0183442560351
10,13,-0.0927117147378
11,13,-0.256614502861
12,13,0.145072542034
13,13,1.0
14,13,0.160216519377
15,13,-0.246050903954
16,13,-0.0801898712398
17,13,0.00807330554187
18,13,-0.0086948566838
1,14,-0.0587283637943
2,14,-0.0345750951544
3,14,-0.016847366656
4,14,-0.0163212581819
5,14,-0.0399012684093
