#: table_doi: 10.17182/hepdata.84154.v2/t72
#: name: Table 72
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$.

#: data_file: Table_72.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
H_{T}^{t\bar{t}} bin,H_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,-0.202916734312
3,1,-0.299835684449
4,1,-0.0602204169283
5,1,-0.0629364532157
6,1,-0.0686850043123
7,1,-0.0606217895779
8,1,-0.043980459877
9,1,-0.0390510522482
10,1,-0.00940405161264
11,1,-0.0240119412305
12,1,-0.0242687614434
13,1,-0.0271639114872
14,1,-0.0169227051309
15,1,-0.0118434657467
1,2,-0.202916734312
2,2,1.0
3,2,-0.12398102019
4,2,-0.361151588389
5,2,-0.0645964480866
6,2,-0.0676746860586
7,2,-0.0868948864432
8,2,-0.0498883505308
9,2,-0.0409974872605
10,2,-0.0426203750915
11,2,-0.0162680069235
12,2,-0.00716138355419
13,2,0.00461113914205
14,2,-0.00773159221653
15,2,-0.0227711079539
1,3,-0.299835684449
2,3,-0.12398102019
3,3,1.0
4,3,-0.203540123967
5,3,-0.33607501911
6,3,-0.0687019943468
7,3,-0.0453443917651
8,3,-0.07204945375
9,3,-0.046359164643
10,3,-0.0296514557337
11,3,-0.0392499753516
12,3,-0.0160391626987
13,3,-0.00848786813064
14,3,-0.013045432379
15,3,-0.0287804664858
1,4,-0.0602204169283
2,4,-0.361151588389
3,4,-0.203540123967
4,4,1.0
5,4,-0.196441587611
6,4,-0.289248292986
7,4,-0.0527400611395
8,4,-0.0452634928441
9,4,-0.0358486319089
10,4,-0.0338562143733
11,4,-0.018560798284
12,4,-0.0461752503409
13,4,-0.0207479762073
14,4,-0.00501934088436
15,4,-0.0162152041567
1,5,-0.0629364532157
2,5,-0.0645964480866
3,5,-0.33607501911
4,5,-0.196441587611
5,5,1.0
6,5,-0.105261760691
7,5,-0.258507006721
8,5,-0.0355782464505
9,5,-0.0243595865713
10,5,-0.0519705597875
11,5,-0.0337003453071
12,5,-0.0142006028029
13,5,-0.0127544496834
14,5,-0.0205251093697
15,5,-0.0109759665065
1,6,-0.0686850043123
2,6,-0.0676746860586
3,6,-0.0687019943468
4,6,-0.289248292986
5,6,-0.105261760691
6,6,1.0
7,6,-0.0360937060256
8,6,-0.220511918445
9,6,-0.0117812194352
10,6,-0.0154842790131
11,6,-0.033137350047
12,6,-0.0224196141931
13,6,-0.0156482729828
14,6,-0.011755678228
15,6,-0.000354714905724
