#: table_doi: 10.17182/hepdata.84154.v2/t57
#: name: Table 57
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the hadronic top-quark transverse momentum $p_{T}^{t}$.

#: data_file: Table_57.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t} bin,p_{T}^{t} bin,
1,1,1.0
2,1,0.99297219738
3,1,0.995584696823
4,1,0.984976383835
5,1,0.988203742891
6,1,0.97640827217
7,1,0.952589469628
8,1,0.976713268566
9,1,0.966023987803
10,1,0.93329645307
11,1,0.918892547486
12,1,0.96618972514
13,1,0.910361174581
14,1,0.71562099822
15,1,0.873125972915
1,2,0.99297219738
2,2,1.0
3,2,0.998321584797
4,2,0.997563061918
5,2,0.994844957488
6,2,0.987712278593
7,2,0.975784966434
8,2,0.98791407512
9,2,0.980949562035
10,2,0.958840756369
11,2,0.945275034942
12,2,0.967260820394
13,2,0.928846762863
14,2,0.756692761197
15,2,0.863892473881
1,3,0.995584696823
2,3,0.998321584797
3,3,1.0
4,3,0.993984733095
5,3,0.994659003549
6,3,0.985271570572
7,3,0.969157269099
8,3,0.98555144961
9,3,0.976290865321
10,3,0.948877449095
11,3,0.932363765968
12,3,0.965169243604
13,3,0.917075719598
14,3,0.734590135489
15,3,0.86931163206
1,4,0.984976383835
2,4,0.997563061918
3,4,0.993984733095
4,4,1.0
5,4,0.996632140453
6,4,0.994038866412
7,4,0.986824304731
8,4,0.993416141451
9,4,0.989037083625
10,4,0.972265409463
11,4,0.960339602134
12,4,0.969416730929
13,4,0.939626992789
14,4,0.781268270631
15,4,0.853394569186
1,5,0.988203742891
2,5,0.994844957488
3,5,0.994659003549
4,5,0.996632140453
5,5,1.0
6,5,0.996962398416
7,5,0.984314263887
8,5,0.995526217777
9,5,0.988633470806
10,5,0.967127588147
11,5,0.952835190401
12,5,0.975060501929
13,5,0.932583067473
14,5,0.76893564339
15,5,0.863897500895
1,6,0.97640827217
2,6,0.987712278593
3,6,0.985271570572
4,6,0.994038866412
5,6,0.996962398416
6,6,1.0
7,6,0.992349180827
8,6,0.998173460142
9,6,0.994745910208
10,6,0.979663956586
11,6,0.969117150851
12,6,0.977389773322
13,6,0.946418243953
14,6,0.800351740072
15,6,0.854838529382
1,7,0.952589469628
2,7,0.975784966434
3,7,0.969157269099
4,7,0.986824304731
5,7,0.984314263887
6,7,0.992349180827
7,7,1.0
8,7,0.993084093087
9,7,0.994730492599
10,7,0.992889897315
11,7,0.98478018683
12,7,0.96954217679
13,7,0.961641019257
14,7,0.852853681914
15,7,0.854858378846
1,8,0.976713268566
2,8,0.98791407512
3,8,0.98555144961
4,8,0.993416141451
5,8,0.995526217777
6,8,0.998173460142
7,8,0.993084093087
8,8,1.0
9,8,0.997583854712
10,8,0.984558421706
11,8,0.973617540555
12,8,0.984960047182
13,8,0.957672527633
14,8,0.814409073016
15,8,0.875678438528
1,9,0.966023987803
2,9,0.980949562035
3,9,0.976290865321
4,9,0.989037083625
5,9,0.988633470806
6,9,0.994745910208
7,9,0.994730492599
8,9,0.997583854712
9,9,1.0
10,9,0.990682470819
11,9,0.983223435638
12,9,0.983005331118
13,9,0.968311468187
14,9,0.839455220629
15,9,0.86827883664
1,10,0.93329645307
2,10,0.958840756369
3,10,0.948877449095
4,10,0.972265409463
5,10,0.967127588147
6,10,0.979663956586
7,10,0.992889897315
8,10,0.984558421706
9,10,0.990682470819
10,10,1.0
11,10,0.994753767084
12,10,0.974363980645
13,10,0.982975768558
14,10,0.892250065408
15,10,0.865707294367
1,11,0.918892547486
2,11,0.945275034942
3,11,0.932363765968
4,11,0.960339602134
5,11,0.952835190401
6,11,0.969117150851
7,11,0.98478018683
8,11,0.973617540555
9,11,0.983223435638
10,11,0.994753767084
11,11,1.0
12,11,0.964811574195
13,11,0.985901351345
14,11,0.900625056851
15,11,0.838935223166
1,12,0.96618972514
2,12,0.967260820394
3,12,0.965169243604
4,12,0.969416730929
5,12,0.975060501929
6,12,0.977389773322
7,12,0.96954217679
8,12,0.984960047182
9,12,0.983005331118
10,12,0.974363980645
11,12,0.964811574195
12,12,1.0
13,12,0.972259586922
14,12,0.836306301254
15,12,0.922534213863
1,13,0.910361174581
2,13,0.928846762863
3,13,0.917075719598
4,13,0.939626992789
5,13,0.932583067473
6,13,0.946418243953
7,13,0.961641019257
8,13,0.957672527633
9,13,0.968311468187
10,13,0.982975768558
11,13,0.985901351345
12,13,0.972259586922
13,13,1.0
14,13,0.920446566478
15,13,0.890037949353
1,14,0.71562099822
2,14,0.756692761197
3,14,0.734590135489
4,14,0.781268270631
5,14,0.76893564339
6,14,0.800351740072
7,14,0.852853681914
8,14,0.814409073016
9,14,0.839455220629
10,14,0.892250065408
11,14,0.900625056851
12,14,0.836306301254
13,14,0.920446566478
14,14,1.0
15,14,0.798706480901
1,15,0.873125972915
2,15,0.863892473881
3,15,0.86931163206
4,15,0.853394569186
5,15,0.863897500895
6,15,0.854838529382
7,15,0.854858378846
8,15,0.875678438528
9,15,0.86827883664
10,15,0.865707294367
11,15,0.838935223166
12,15,0.922534213863
13,15,0.890037949353
14,15,0.798706480901
15,15,1.0

