#: table_doi: 10.17182/hepdata.84154.v2/t19
#: name: Table 19
#: description: Fiducial phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for $\chi^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_19.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DCHI_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
CHI_TTBAR,CHI_TTBAR LOW,CHI_TTBAR HIGH,DSIG/DCHI_TTBAR,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
1.2,1.0,1.4,20.5828,0.548%,-0.548%,20.68%,-20.868%,2.8%,-2.8%
1.65,1.4,1.9,13.1566,0.669%,-0.669%,21.08%,-21.064%,2.8%,-2.8%
2.2,1.9,2.5,7.84336,0.769%,-0.769%,20.839%,-20.731%,2.8%,-2.8%
2.85,2.5,3.2,4.75239,0.895%,-0.895%,20.364%,-20.551%,2.8%,-2.8%
3.7,3.2,4.2,2.54141,1.04%,-1.04%,21.614%,-21.643%,2.8%,-2.8%
4.85,4.2,5.5,1.3912,1.256%,-1.256%,21.093%,-21.15%,2.8%,-2.8%
6.35,5.5,7.2,0.655313,1.6%,-1.6%,21.314%,-21.316%,2.8%,-2.8%
8.25,7.2,9.3,0.309909,2.089%,-2.089%,19.322%,-19.955%,2.8%,-2.8%
10.65,9.3,12.0,0.131333,2.933%,-2.933%,18.431%,-18.662%,2.8%,-2.8%
16.0,12.0,20.0,0.0338643,3.387%,-3.387%,20.587%,-21.05%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
CHI_TTBAR,CHI_TTBAR LOW,CHI_TTBAR HIGH,DSIG/DCHI_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
1.2,1.0,1.4,20.5828,0.548%,-0.548%,0.326%,-0.204%,0.383%,-0.29%,0.07%,-0.07%,0.297%,-0.209%,-0.005%,0.094%,-0.002%,0.002%,-0.062%,0.178%,-0.078%,0.493%,0.073%,0.0%,0.054%,0.0%,0.331%,-0.331%,-0.015%,0.117%,0.08%,-0.048%,0.046%,0.0%,-0.529%,0.634%,0.285%,-0.192%,0.054%,0.0%,-0.481%,0.481%,0.554%,-0.46%,0.39%,-0.39%,0.214%,-0.214%,-0.003%,0.003%,1.096%,-1.005%,0.08%,-0.08%,0.086%,0.0%,1.873%,-1.836%,0.232%,-0.118%,0.082%,0.0%,-0.67%,0.656%,1.295%,-1.202%,0.585%,-0.492%,0.065%,0.0%,0.046%,0.0%,0.032%,0.0%,0.239%,-0.123%,0.31%,-0.31%,0.95%,-0.836%,0.048%,-0.048%,0.046%,-0.046%,-5.065%,3.612%,0.552%,-0.552%,-19.123%,19.123%,-1.131%,1.175%,0.296%,-0.296%,0.058%,-0.058%,-0.014%,0.12%,1.363%,-1.27%,-0.318%,0.439%,0.367%,-0.232%,4.237%,-4.064%,1.771%,-1.659%,0.076%,0.0%,0.133%,-0.133%,0.162%,-0.056%,2.329%,-2.284%,2.8%,-2.8%
1.65,1.4,1.9,13.1566,0.669%,-0.669%,0.317%,-0.193%,0.4%,-0.307%,0.122%,-0.122%,0.379%,-0.283%,0.061%,0.0%,-0.016%,0.016%,-0.123%,0.202%,-0.067%,0.415%,0.121%,0.0%,0.057%,0.0%,0.421%,-0.421%,-0.018%,0.128%,0.127%,-0.09%,0.051%,0.0%,-0.599%,0.683%,0.287%,-0.193%,0.052%,0.0%,-0.451%,0.451%,0.561%,-0.466%,0.392%,-0.392%,0.212%,-0.212%,-0.005%,0.005%,1.065%,-0.972%,0.083%,-0.083%,0.07%,0.0%,1.882%,-1.793%,0.232%,-0.138%,0.08%,0.0%,-0.647%,0.67%,1.298%,-1.204%,0.562%,-0.471%,0.054%,0.0%,0.047%,0.0%,0.076%,0.0%,0.241%,-0.136%,0.313%,-0.313%,0.929%,-0.857%,0.04%,-0.04%,0.056%,-0.056%,-4.813%,4.38%,0.566%,-0.566%,-19.406%,19.406%,-1.108%,1.197%,0.342%,-0.342%,0.05%,-0.05%,-0.017%,0.115%,1.368%,-1.274%,-0.316%,0.431%,0.342%,-0.244%,4.26%,-4.085%,1.69%,-1.628%,0.062%,0.0%,0.158%,-0.158%,0.188%,-0.085%,2.238%,-2.233%,2.8%,-2.8%
2.2,1.9,2.5,7.84336,0.769%,-0.769%,0.328%,-0.217%,0.444%,-0.364%,0.185%,-0.185%,0.437%,-0.311%,0.088%,0.0%,0.001%,-0.001%,-0.154%,0.266%,0.506%,0.0%,0.074%,0.0%,0.059%,0.0%,-1.026%,1.026%,-0.038%,0.133%,0.106%,-0.057%,0.047%,0.0%,-0.506%,0.759%,0.284%,-0.204%,0.036%,0.0%,-0.474%,0.474%,0.551%,-0.47%,0.404%,-0.404%,0.245%,-0.245%,-0.004%,0.004%,1.004%,-0.925%,0.077%,-0.077%,0.053%,0.0%,2.071%,-1.817%,0.237%,-0.159%,0.076%,0.0%,-0.644%,0.645%,1.297%,-1.217%,0.537%,-0.444%,0.062%,0.0%,0.04%,0.0%,0.094%,0.0%,0.227%,-0.145%,0.314%,-0.314%,0.996%,-0.835%,0.045%,-0.045%,0.06%,-0.06%,-4.074%,3.719%,0.525%,-0.525%,-19.185%,19.185%,-1.111%,1.281%,0.263%,-0.263%,0.018%,-0.018%,-0.038%,0.128%,1.364%,-1.284%,-0.357%,0.448%,0.358%,-0.265%,4.303%,-4.14%,1.822%,-1.59%,0.075%,0.0%,0.185%,-0.185%,0.182%,-0.104%,2.439%,-2.222%,2.8%,-2.8%
2.85,2.5,3.2,4.75239,0.895%,-0.895%,0.328%,-0.214%,0.467%,-0.387%,0.321%,-0.321%,0.58%,-0.38%,-0.006%,0.066%,-0.019%,0.019%,-0.115%,0.279%,-0.048%,0.446%,0.076%,0.0%,0.071%,0.0%,0.144%,-0.144%,-0.049%,0.108%,0.075%,-0.035%,0.039%,0.0%,-0.621%,0.747%,0.288%,-0.207%,0.049%,0.0%,-0.248%,0.248%,0.575%,-0.493%,0.427%,-0.427%,0.323%,-0.323%,-0.024%,0.024%,0.93%,-0.85%,0.094%,-0.094%,0.057%,0.0%,2.027%,-1.882%,0.243%,-0.144%,0.07%,-0.002%,-0.706%,0.64%,1.307%,-1.227%,0.635%,-0.505%,0.053%,0.0%,0.04%,0.0%,0.123%,0.0%,0.233%,-0.154%,0.264%,-0.264%,1.007%,-0.831%,0.045%,-0.045%,0.047%,-0.047%,-5.142%,3.49%,0.555%,-0.555%,-18.709%,18.709%,-1.163%,1.284%,0.247%,-0.247%,0.041%,-0.041%,-0.035%,0.102%,1.365%,-1.284%,-0.333%,0.455%,0.357%,-0.255%,4.364%,-4.197%,1.92%,-1.74%,0.061%,0.0%,0.22%,-0.22%,0.195%,-0.099%,2.497%,-2.282%,2.8%,-2.8%
3.7,3.2,4.2,2.54141,1.04%,-1.04%,0.33%,-0.227%,0.494%,-0.424%,0.377%,-0.377%,0.534%,-0.605%,-0.03%,0.058%,0.033%,-0.033%,-0.146%,0.198%,0.426%,0.0%,0.07%,0.0%,0.0%,-0.047%,-0.96%,0.96%,-0.041%,0.117%,0.112%,-0.146%,0.034%,0.0%,-0.583%,0.592%,0.286%,-0.217%,0.038%,0.0%,-0.465%,0.465%,0.575%,-0.504%,0.427%,-0.427%,0.296%,-0.296%,-0.02%,0.02%,0.847%,-0.778%,0.097%,-0.097%,0.107%,0.0%,1.815%,-1.898%,0.221%,-0.156%,0.065%,0.0%,-0.709%,0.591%,1.312%,-1.242%,0.495%,-0.567%,0.043%,0.0%,0.035%,0.0%,0.0%,-0.044%,0.231%,-0.154%,0.378%,-0.378%,0.896%,-0.834%,0.031%,-0.031%,0.038%,-0.038%,-4.228%,3.815%,0.513%,-0.513%,-20.063%,20.063%,-1.159%,1.172%,0.251%,-0.251%,0.02%,-0.02%,-0.039%,0.118%,1.361%,-1.292%,-0.35%,0.415%,0.355%,-0.28%,4.422%,-4.265%,1.728%,-1.647%,0.054%,0.0%,0.249%,-0.249%,0.181%,-0.097%,2.238%,-2.366%,2.8%,-2.8%
4.85,4.2,5.5,1.3912,1.256%,-1.256%,0.332%,-0.236%,0.455%,-0.393%,0.684%,-0.684%,0.582%,-0.599%,0.053%,0.0%,0.049%,-0.049%,-0.184%,0.273%,0.394%,0.0%,0.167%,0.0%,0.047%,0.0%,1.356%,-1.356%,-0.022%,0.115%,0.194%,-0.202%,0.039%,0.0%,-0.471%,0.541%,0.288%,-0.226%,0.1%,0.0%,-0.16%,0.16%,0.549%,-0.488%,0.421%,-0.421%,0.384%,-0.384%,0.002%,-0.002%,0.754%,-0.693%,0.082%,-0.082%,-0.025%,0.05%,1.806%,-1.957%,0.216%,-0.068%,0.069%,0.0%,-0.688%,0.627%,1.328%,-1.266%,0.527%,-0.402%,0.058%,0.0%,0.031%,0.0%,-0.114%,0.028%,0.277%,-0.168%,0.464%,-0.464%,0.867%,-0.875%,0.028%,-0.028%,-0.001%,0.001%,-4.011%,3.401%,0.483%,-0.483%,-19.557%,19.557%,-1.224%,1.181%,0.249%,-0.249%,0.021%,-0.021%,-0.009%,0.091%,1.35%,-1.288%,-0.329%,0.369%,0.334%,-0.284%,4.444%,-4.292%,1.664%,-1.619%,0.067%,0.0%,0.31%,-0.31%,0.173%,-0.088%,2.192%,-2.237%,2.8%,-2.8%
6.35,5.5,7.2,0.655313,1.6%,-1.6%,0.349%,-0.242%,0.602%,-0.529%,0.905%,-0.905%,0.804%,-0.678%,0.05%,0.0%,0.043%,-0.043%,-0.321%,0.192%,0.456%,0.0%,0.081%,0.0%,0.185%,0.0%,0.84%,-0.84%,-0.041%,0.105%,0.16%,-0.257%,0.037%,0.0%,-0.584%,0.645%,0.301%,-0.228%,0.028%,-0.038%,-0.61%,0.61%,0.591%,-0.518%,0.414%,-0.414%,0.471%,-0.471%,-0.019%,0.019%,0.696%,-0.624%,0.097%,-0.097%,0.026%,0.0%,2.023%,-1.702%,0.207%,-0.156%,0.061%,-0.008%,-0.626%,0.661%,1.37%,-1.297%,0.569%,-0.467%,0.071%,-0.027%,0.036%,0.0%,0.0%,-0.105%,0.226%,-0.108%,0.378%,-0.378%,0.925%,-0.916%,0.029%,-0.029%,0.012%,-0.012%,-4.249%,3.365%,0.573%,-0.573%,-19.712%,19.712%,-1.045%,1.267%,0.209%,-0.209%,0.049%,-0.049%,-0.041%,0.095%,1.355%,-1.282%,-0.338%,0.436%,0.363%,-0.242%,4.475%,-4.311%,1.822%,-1.734%,0.049%,0.0%,0.393%,-0.393%,0.162%,-0.121%,2.422%,-2.158%,2.8%,-2.8%
8.25,7.2,9.3,0.309909,2.089%,-2.089%,0.303%,-0.207%,0.542%,-0.484%,0.652%,-0.652%,0.952%,-0.941%,0.102%,0.0%,0.017%,-0.017%,-0.23%,0.386%,1.335%,0.0%,0.079%,0.0%,-0.033%,0.02%,-1.405%,1.405%,-0.069%,0.093%,0.194%,-0.193%,0.038%,0.0%,-0.638%,0.652%,0.3%,-0.241%,0.074%,0.0%,-0.477%,0.477%,0.539%,-0.481%,0.147%,-0.147%,0.444%,-0.444%,-0.021%,0.021%,0.66%,-0.603%,0.078%,-0.078%,0.055%,0.0%,1.959%,-2.18%,0.185%,-0.215%,0.093%,-0.044%,-0.67%,0.49%,1.397%,-1.338%,0.536%,-0.538%,0.09%,-0.026%,0.029%,0.0%,0.19%,0.0%,0.248%,-0.213%,0.531%,-0.531%,0.897%,-0.889%,0.022%,-0.022%,-0.011%,0.011%,-5.539%,1.863%,0.425%,-0.425%,-17.731%,17.731%,-1.38%,1.209%,0.072%,-0.072%,0.013%,-0.013%,-0.059%,0.075%,1.335%,-1.277%,-0.357%,0.376%,0.345%,-0.27%,4.501%,-4.349%,1.751%,-1.733%,0.084%,-0.051%,0.528%,-0.528%,0.164%,-0.107%,2.336%,-2.445%,2.8%,-2.8%
10.65,9.3,12.0,0.131333,2.933%,-2.933%,0.397%,-0.271%,0.77%,-0.683%,1.087%,-1.087%,1.538%,-1.059%,-0.016%,0.132%,0.135%,-0.135%,-0.155%,0.499%,2.058%,0.0%,0.198%,0.0%,0.098%,0.0%,1.725%,-1.725%,0.059%,0.0%,0.406%,-0.342%,0.086%,0.0%,-0.759%,0.422%,0.325%,-0.238%,0.065%,-0.018%,-1.384%,1.384%,0.543%,-0.453%,0.548%,-0.548%,0.59%,-0.59%,-0.112%,0.112%,0.677%,-0.591%,0.104%,-0.104%,-0.039%,0.178%,1.953%,-2.061%,0.144%,-0.156%,0.065%,0.0%,-0.747%,0.663%,1.472%,-1.385%,0.522%,-0.487%,0.122%,0.0%,0.043%,0.0%,-0.109%,0.122%,0.233%,-0.35%,1.085%,-1.085%,0.974%,-0.922%,0.13%,-0.13%,-0.054%,0.054%,-5.054%,3.104%,0.456%,-0.456%,-16.272%,16.272%,-1.212%,1.354%,-0.157%,0.157%,0.136%,-0.136%,0.087%,0.0%,1.323%,-1.236%,-0.417%,0.366%,0.425%,-0.48%,4.512%,-4.331%,1.624%,-1.672%,0.089%,0.0%,0.718%,-0.718%,0.047%,0.0%,2.328%,-2.495%,2.8%,-2.8%
16.0,12.0,20.0,0.0338643,3.387%,-3.387%,0.256%,-0.191%,1.104%,-1.075%,2.265%,-2.265%,1.011%,-1.164%,-0.055%,0.025%,-0.084%,0.084%,-0.499%,0.518%,0.913%,0.0%,0.089%,0.0%,0.0%,-0.056%,2.309%,-2.309%,-0.054%,0.128%,0.402%,-0.405%,-0.011%,0.037%,-0.539%,0.753%,0.32%,-0.291%,0.084%,-0.099%,-1.31%,1.31%,0.524%,-0.493%,0.498%,-0.498%,1.541%,-1.541%,0.041%,-0.041%,0.524%,-0.496%,0.092%,-0.092%,-0.009%,0.012%,2.03%,-1.463%,0.279%,-0.084%,0.045%,0.0%,-0.705%,0.602%,1.524%,-1.495%,0.588%,-0.672%,0.067%,-0.075%,0.015%,0.0%,0.108%,-0.099%,0.21%,-0.246%,0.486%,-0.486%,0.81%,-0.995%,-0.087%,0.087%,-0.072%,0.072%,-5.034%,1.429%,0.559%,-0.559%,-18.825%,18.825%,-0.965%,1.216%,0.233%,-0.233%,0.011%,-0.011%,-0.04%,0.103%,1.308%,-1.279%,-0.297%,0.418%,0.264%,-0.374%,4.466%,-4.344%,1.725%,-1.925%,0.046%,0.0%,0.851%,-0.851%,0.097%,-0.067%,2.217%,-2.139%,2.8%,-2.8%
