#: table_doi: 10.17182/hepdata.84154.v2/t87
#: name: Table 87
#: description: Absolute statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$.

#: data_file: Table_87.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
m^{t\bar{t}} bin,m^{t\bar{t}} bin,
1,1,1.0
2,1,0.510461467266
3,1,-0.251364724313
4,1,-0.242630025761
5,1,-0.104838999943
6,1,-0.0283877747567
7,1,0.00405314000883
1,2,0.510461467266
2,2,1.0
3,2,0.313897547988
4,2,-0.255661663996
5,2,-0.240682114328
6,2,-0.100846717988
7,2,-0.00616442427296
1,3,-0.251364724313
2,3,0.313897547988
3,3,1.0
4,3,0.396200921709
5,3,-0.175568411474
6,3,-0.149241243881
7,3,-0.0241456145471
1,4,-0.242630025761
2,4,-0.255661663996
3,4,0.396200921709
4,4,1.0
5,4,0.330081921016
6,4,-0.166767092051
7,4,-0.0703440551035
1,5,-0.104838999943
2,5,-0.240682114328
3,5,-0.175568411474
4,5,0.330081921016
5,5,1.0
6,5,0.179820172812
7,5,-0.13167105679
1,6,-0.0283877747567
2,6,-0.100846717988
3,6,-0.149241243881
4,6,-0.166767092051
5,6,0.179820172812
6,6,1.0
7,6,0.143917693549
1,7,0.00405314000883
2,7,-0.00616442427296
3,7,-0.0241456145471
4,7,-0.0703440551035
5,7,-0.13167105679
6,7,0.143917693549
7,7,1.0

