#: table_doi: 10.17182/hepdata.84154.v2/t182
#: name: Table 182
#: description: Statistical correlation matrix between |$p_{out}^{t\bar{t}}$| (rows) in the 4-jet inclusive configuration and |$p_{out}^{t\bar{t}}$| (columns) in the 4-jet inclusive configuration, obtained at parton level from relative spectra through the Bootstrap Method. The binning is the following: Rows: [0-40, 40-80, 80-120, 120-170, 170-230, 230-600] GeV Columns: [0-40, 40-80, 80-120, 120-170, 170-230, 230-600] GeV

#: data_file: Table_182.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_ABS_POUT_TTBAR_4J2B_ABS_POUT_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,-0.598977
3,1,-0.853104
4,1,-0.700084
5,1,-0.436587
6,1,-0.214048
1,2,-0.598977
2,2,1
3,2,0.526104
4,2,0.00256026
5,2,-0.195512
6,2,-0.165756
1,3,-0.853104
2,3,0.526104
3,3,1
4,3,0.619088
5,3,0.113544
6,3,-0.0734897
1,4,-0.700084
2,4,0.00256026
3,4,0.619088
4,4,1
5,4,0.537068
6,4,0.0264471
1,5,-0.436587
2,5,-0.195512
3,5,0.113544
4,5,0.537068
5,5,1
6,5,0.326854
1,6,-0.214048
2,6,-0.165756
3,6,-0.0734897
4,6,0.0264471
5,6,0.326854
6,6,1

