#: table_doi: 10.17182/hepdata.84154.v2/t101
#: name: Table 101
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the hadronic top-quark transverse momentum $p_{T}^{t}$.

#: data_file: Table_101.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t} bin,p_{T}^{t} bin,
1,1,1.0
2,1,0.926012730897
3,1,0.927910222047
4,1,0.939667197471
5,1,0.91986875709
6,1,0.905478239716
7,1,0.857095806228
8,1,0.644551075844
1,2,0.926012730897
2,2,1.0
3,2,0.991999303296
4,2,0.94605461396
5,2,0.927516239293
6,2,0.870853708305
7,2,0.793711537082
8,2,0.538097790896
1,3,0.927910222047
2,3,0.991999303296
3,3,1.0
4,3,0.973564370424
5,3,0.956918795894
6,3,0.905400807195
7,3,0.832001315792
8,3,0.584805082434
1,4,0.939667197471
2,4,0.94605461396
3,4,0.973564370424
4,4,1.0
5,4,0.994784867179
6,4,0.970928094259
7,4,0.924452787175
8,4,0.731604083353
1,5,0.91986875709
2,5,0.927516239293
3,5,0.956918795894
4,5,0.994784867179
5,5,1.0
6,5,0.9867926052
7,5,0.952079982199
8,5,0.785129695439
1,6,0.905478239716
2,6,0.870853708305
3,6,0.905400807195
4,6,0.970928094259
5,6,0.9867926052
6,6,1.0
7,6,0.986670767
8,6,0.859796249411
1,7,0.857095806228
2,7,0.793711537082
3,7,0.832001315792
4,7,0.924452787175
5,7,0.952079982199
6,7,0.986670767
7,7,1.0
8,7,0.927008453681
1,8,0.644551075844
2,8,0.538097790896
3,8,0.584805082434
4,8,0.731604083353
5,8,0.785129695439
6,8,0.859796249411
7,8,0.927008453681
8,8,1.0

