#: table_doi: 10.17182/hepdata.84154.v2/t62
#: name: Table 62
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the hadronic top-quark absolute rapidity $|y^{t}|$.

#: data_file: Table_62.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t}| bin,|y^{t}| bin,
1,1,1.0
2,1,-0.38791766521
3,1,0.778245638575
4,1,-0.702507570391
5,1,0.566010381009
6,1,0.842438755802
7,1,-0.742765373796
8,1,0.224328650763
9,1,0.706062897729
10,1,-0.764139228808
11,1,-0.752305316269
12,1,0.387350646146
13,1,-0.291212190962
14,1,-0.693052696955
15,1,0.337337070669
16,1,-0.768501324671
17,1,0.304828580016
18,1,0.228511808902
1,2,-0.38791766521
2,2,1.0
3,2,-0.412781547372
4,2,0.777814778016
5,2,-0.124904810318
6,2,-0.702163828351
7,2,0.738032895073
8,2,-0.391047130089
9,2,-0.753925866669
10,2,0.770907212961
11,2,0.696802874615
12,2,-0.568676279078
13,2,-0.399882033076
14,2,0.241029649103
15,2,-0.775569776354
16,2,-0.0191415247314
17,2,-0.902787964657
18,2,-0.877171596708
1,3,0.778245638575
2,3,-0.412781547372
3,3,1.0
4,3,-0.551162026338
5,3,0.837532926247
6,3,0.560128022792
7,3,-0.87826545182
8,3,0.193026968131
9,3,0.465301147299
10,3,-0.636056884235
11,3,-0.511218357721
12,3,0.727317651233
13,3,-0.130410436234
14,3,-0.884285358005
15,3,0.228757703321
16,3,-0.51292442262
17,3,0.263643138943
18,3,0.218077959954
1,4,-0.702507570391
2,4,0.777814778016
3,4,-0.551162026338
4,4,1.0
5,4,-0.302888671369
6,4,-0.903360318785
7,4,0.691382973876
8,4,-0.0518218019319
9,4,-0.892586440204
10,4,0.770011808196
11,4,0.775832164425
12,4,-0.456812593443
13,4,-0.186391643059
14,4,0.420136553861
15,4,-0.705926795321
16,4,0.3086295605
17,4,-0.671275755089
18,4,-0.621522682857
1,5,0.566010381009
2,5,-0.124904810318
3,5,0.837532926247
4,5,-0.302888671369
5,5,1.0
6,5,0.225091996299
7,5,-0.664541033075
8,5,-0.190658448965
9,5,0.167143291918
10,5,-0.231534917934
11,5,-0.104395934906
12,5,0.721568451066
13,5,-0.233721237848
14,5,-0.970991805967
15,5,-0.0340799349956
16,5,-0.338266416398
17,5,-0.0174088262097
18,5,-0.100684298872
1,6,0.842438755802
2,6,-0.702163828351
3,6,0.560128022792
4,6,-0.903360318785
5,6,0.225091996299
6,6,1.0
7,6,-0.705487267224
8,6,0.29207178449
9,6,0.910288799275
10,6,-0.870951883001
11,6,-0.903185485429
12,6,0.320407446198
13,6,-0.0104209113295
14,6,-0.39294256771
15,6,0.646823443449
16,6,-0.54825978595
17,6,0.629763265247
18,6,0.55151297522
1,7,-0.742765373796
2,7,0.738032895073
3,7,-0.87826545182
4,7,0.691382973876
5,7,-0.664541033075
6,7,-0.705487267224
7,7,1.0
8,7,-0.387718109549
9,7,-0.661883978658
10,7,0.826658030132
11,7,0.684638173705
12,7,-0.801719956784
13,7,-0.028185194578
14,7,0.760074327194
15,7,-0.505168248672
16,7,0.378693677168
17,7,-0.641334695305
18,7,-0.590777279879
1,8,0.224328650763
2,8,-0.391047130089
3,8,0.193026968131
4,8,-0.0518218019319
5,8,-0.190658448965
6,8,0.29207178449
7,8,-0.387718109549
8,8,1.0
9,8,0.267727485404
10,8,-0.610134587749
11,8,-0.572766056813
12,8,0.0779193084156
13,8,0.143151921647
14,8,0.0829634641696
15,8,0.369546994763
16,8,-0.289499533602
17,8,0.361387270552
18,8,0.471733896872
1,9,0.706062897729
2,9,-0.753925866669
3,9,0.465301147299
4,9,-0.892586440204
5,9,0.167143291918
6,9,0.910288799275
7,9,-0.661883978658
8,9,0.267727485404
9,9,1.0
10,9,-0.857181765576
11,9,-0.900710748457
12,9,0.457614527033
13,9,-0.0542700615686
14,9,-0.345237859424
15,9,0.593453509395
16,9,-0.482992056638
17,9,0.669415097901
18,9,0.625119241326
1,10,-0.764139228808
2,10,0.770907212961
3,10,-0.636056884235
4,10,0.770011808196
5,10,-0.231534917934
6,10,-0.870951883001
7,10,0.826658030132
8,10,-0.610134587749
9,10,-0.857181765576
10,10,1.0
11,10,0.930972286224
12,10,-0.498337818994
