#: table_doi: 10.17182/hepdata.84154.v2/t74
#: name: Table 74
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$.

#: data_file: Table_74.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
H_{T}^{t\bar{t}} bin,H_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,0.93734326939
3,1,0.892574542141
4,1,0.371012145299
5,1,-0.900732730382
6,1,-0.935410542137
7,1,-0.883671930074
8,1,-0.800260091918
9,1,-0.65712811855
10,1,-0.388990468056
11,1,-0.559456903107
12,1,-0.6162941412
13,1,-0.602201907032
14,1,-0.309598181296
15,1,-0.199815209553
1,2,0.93734326939
2,2,1.0
3,2,0.948870326876
4,2,0.37605503251
5,2,-0.872065512472
6,2,-0.92970806432
7,2,-0.923771830893
8,2,-0.891198105995
9,2,-0.656149039045
10,2,-0.543080328654
11,2,-0.631187488606
12,2,-0.676149884982
13,2,-0.665544192708
14,2,-0.393403131841
15,2,-0.329940685774
1,3,0.892574542141
2,3,0.948870326876
3,3,1.0
4,3,0.354113020763
5,3,-0.884438129175
6,3,-0.89788798935
7,3,-0.924560218758
8,3,-0.947729706638
9,3,-0.565422766509
10,3,-0.480443245538
11,3,-0.586645100351
12,3,-0.612030727807
13,3,-0.632947999344
14,3,-0.389354316973
15,3,-0.327899492684
1,4,0.371012145299
2,4,0.37605503251
3,4,0.354113020763
4,4,1.0
5,4,-0.0521649380586
6,4,-0.595134271107
7,4,-0.604981361959
8,4,-0.319244739496
9,4,-0.841745729497
10,4,-0.420707170056
11,4,-0.701342039299
12,4,-0.829607592738
13,4,-0.806889734476
14,4,-0.602000985373
15,4,-0.452678270083
1,5,-0.900732730382
2,5,-0.872065512472
3,5,-0.884438129175
4,5,-0.0521649380586
5,5,1.0
6,5,0.801846690487
7,5,0.76681403693
8,5,0.797117699479
9,5,0.322413297688
10,5,0.19991067562
11,5,0.293620423081
12,5,0.315124509515
13,5,0.3275481285
14,5,0.0587373296047
15,5,0.033211874342
1,6,-0.935410542137
2,6,-0.92970806432
3,6,-0.89788798935
4,6,-0.595134271107
5,6,0.801846690487
6,6,1.0
7,6,0.957978362983
8,6,0.794693933026
9,6,0.771992287027
10,6,0.406598960856
11,6,0.643257999518
12,6,0.736018920796
13,6,0.745236728141
14,6,0.38299063135
15,6,0.260065254076
1,7,-0.883671930074
2,7,-0.923771830893
3,7,-0.924560218758
4,7,-0.604981361959
5,7,0.76681403693
6,7,0.957978362983
7,7,1.0
8,7,0.895968684508
9,7,0.709534104895
10,7,0.469784571454
11,7,0.613234265364
12,7,0.720472221173
13,7,0.724591936915
14,7,0.409194545033
15,7,0.307841597928
1,8,-0.800260091918
2,8,-0.891198105995
3,8,-0.947729706638
4,8,-0.319244739496
5,8,0.797117699479
6,8,0.794693933026
7,8,0.895968684508
8,8,1.0
9,8,0.474410084081
10,8,0.501892400474
11,8,0.49602881202
12,8,0.545465775798
13,8,0.554294651772
14,8,0.340645145815
15,8,0.302736856974
1,9,-0.65712811855
2,9,-0.656149039045
3,9,-0.565422766509
4,9,-0.841745729497
5,9,0.322413297688
6,9,0.771992287027
7,9,0.709534104895
8,9,0.474410084081
9,9,1.0
10,9,0.572011805467
11,9,0.865888809784
12,9,0.947975805216
13,9,0.908335464104
14,9,0.652988768103
15,9,0.465618541319
1,10,-0.388990468056
