#: table_doi: 10.17182/hepdata.84154.v2/t100
#: name: Table 100
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the hadronic top-quark transverse momentum $p_{T}^{t}$.

#: data_file: Table_100.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t} bin,p_{T}^{t} bin,
1,1,1.0
2,1,0.158695437754
3,1,-0.636043578794
4,1,-0.495343772517
5,1,-0.257277689111
6,1,-0.102947975249
7,1,-0.0744354433067
8,1,-0.0349008968975
1,2,0.158695437754
2,2,1.0
3,2,-0.204859631352
4,2,-0.582507761747
5,2,-0.358535031938
6,2,-0.149503817802
7,2,-0.0985131151451
8,2,-0.0478988851844
1,3,-0.636043578794
2,3,-0.204859631352
3,3,1.0
4,3,0.130560658772
5,3,-0.236918726003
6,3,-0.140468503499
7,3,-0.0358454893193
8,3,-0.0493719813162
1,4,-0.495343772517
2,4,-0.582507761747
3,4,0.130560658772
4,4,1.0
5,4,0.204856964141
6,4,-0.116217337556
7,4,-0.0565538538222
8,4,-0.00965042671118
1,5,-0.257277689111
2,5,-0.358535031938
3,5,-0.236918726003
4,5,0.204856964141
5,5,1.0
6,5,0.173396226969
7,5,-0.0822297043758
8,5,-0.0358432990402
1,6,-0.102947975249
2,6,-0.149503817802
3,6,-0.140468503499
4,6,-0.116217337556
5,6,0.173396226969
6,6,1.0
7,6,0.122940506591
8,6,-0.0695893280316
1,7,-0.0744354433067
2,7,-0.0985131151451
3,7,-0.0358454893193
4,7,-0.0565538538222
5,7,-0.0822297043758
6,7,0.122940506591
7,7,1.0
8,7,0.0487402395378
1,8,-0.0349008968975
2,8,-0.0478988851844
3,8,-0.0493719813162
4,8,-0.00965042671118
5,8,-0.0358432990402
6,8,-0.0695893280316
7,8,0.0487402395378
8,8,1.0

