#: table_doi: 10.17182/hepdata.84154.v2/t201
#: name: Table 201
#: description: Statistical correlation matrix between $\Delta\phi^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $\Delta\phi^{t\bar{t}}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from relative spectra through the Bootstrap Method. The binning is the following: Rows: [0.0-2.0, 2.0-2.75, 2.75-3.0, 3.0-3.15] Columns: [0.0-2.0, 2.0-2.75, 2.75-3.0, 3.0-3.15]

#: data_file: Table_201.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_DPHI_TTBAR_4J2B_DPHI_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,0.224112
3,1,-0.711815
4,1,-0.651058
1,2,0.224112
2,2,1
3,2,-0.0803836
4,2,-0.822809
1,3,-0.711815
2,3,-0.0803836
3,3,1
4,3,0.193471
1,4,-0.651058
2,4,-0.822809
3,4,0.193471
4,4,1

