#: table_doi: 10.17182/hepdata.84154.v2/t37
#: name: Table 37
#: description: Full phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_37.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DHT_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
HT_TTBAR [GeV],HT_TTBAR [GeV] LOW,HT_TTBAR [GeV] HIGH,DSIG/DHT_TTBAR,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
45.0,0.0,90.0,0.343137,1.048%,-1.048%,9.036%,-10.227%,2.8%,-2.8%
115.0,90.0,140.0,0.887685,0.678%,-0.678%,12.904%,-13.651%,2.8%,-2.8%
167.5,140.0,195.0,0.974709,0.551%,-0.551%,13.85%,-14.496%,2.8%,-2.8%
225.0,195.0,255.0,0.827819,0.56%,-0.56%,14.073%,-14.275%,2.8%,-2.8%
287.5,255.0,320.0,0.588166,0.656%,-0.656%,13.22%,-12.816%,2.8%,-2.8%
352.5,320.0,385.0,0.360229,0.819%,-0.819%,11.323%,-11.239%,2.8%,-2.8%
420.0,385.0,455.0,0.20201,1.002%,-1.002%,10.305%,-10.452%,2.8%,-2.8%
492.5,455.0,530.0,0.107343,1.3%,-1.3%,10.14%,-9.74%,2.8%,-2.8%
570.0,530.0,610.0,0.0534788,1.769%,-1.769%,10.6%,-10.195%,2.8%,-2.8%
652.5,610.0,695.0,0.0269368,2.398%,-2.398%,11.011%,-11.821%,2.8%,-2.8%
737.5,695.0,780.0,0.013262,3.401%,-3.401%,11.407%,-10.669%,2.8%,-2.8%
822.5,780.0,865.0,0.0065186,4.969%,-4.969%,11.86%,-12.599%,2.8%,-2.8%
907.5,865.0,950.0,0.00350399,6.664%,-6.664%,15.093%,-15.096%,2.8%,-2.8%
995.5,950.0,1041.0,0.00194947,9.55%,-9.55%,11.669%,-11.226%,2.8%,-2.8%
1270.5,1041.0,1500.0,0.000452863,13.245%,-13.245%,17.982%,-19.269%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
HT_TTBAR [GeV],HT_TTBAR [GeV] LOW,HT_TTBAR [GeV] HIGH,DSIG/DHT_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
45.0,0.0,90.0,0.343137,1.048%,-1.048%,0.304%,-0.264%,0.665%,-0.665%,-0.234%,0.234%,-0.166%,0.147%,0.468%,-0.456%,0.082%,-0.082%,-0.078%,0.107%,-0.081%,0.36%,-0.006%,0.02%,-0.261%,0.235%,-0.058%,0.058%,-0.145%,0.15%,0.153%,-0.269%,-0.012%,0.013%,-0.378%,0.368%,0.215%,-0.215%,-0.001%,0.011%,0.0%,-0.0%,0.52%,-0.519%,0.445%,-0.445%,0.05%,-0.05%,-0.079%,0.079%,1.071%,-1.071%,-0.143%,0.143%,-0.061%,0.058%,1.054%,-1.078%,0.171%,-0.17%,-0.069%,0.064%,-1.03%,0.883%,1.346%,-1.346%,-0.183%,0.123%,0.031%,-0.037%,0.0%,-0.0%,0.0%,-0.071%,-0.634%,0.641%,0.15%,-0.15%,0.831%,-0.807%,-0.002%,0.002%,-0.105%,0.105%,-7.936%,6.306%,-1.536%,1.536%,-1.719%,1.719%,-0.276%,0.265%,0.407%,-0.407%,0.0%,-0.0%,-0.101%,0.106%,1.237%,-1.236%,-0.3%,0.335%,-0.392%,0.419%,4.143%,-4.065%,0.861%,-0.871%,-0.101%,0.089%,0.26%,-0.26%,0.574%,-0.551%,0.787%,-0.914%,2.8%,-2.8%
115.0,90.0,140.0,0.887685,0.678%,-0.678%,0.286%,-0.248%,0.586%,-0.586%,-0.114%,0.114%,0.038%,0.0%,0.395%,-0.363%,0.006%,-0.006%,-0.09%,0.149%,-0.147%,0.444%,-0.006%,0.021%,-0.045%,0.059%,-5.618%,5.618%,-0.133%,0.152%,0.128%,-0.223%,-0.014%,0.018%,-0.445%,0.482%,0.218%,-0.218%,-0.006%,0.027%,0.0%,-0.0%,0.556%,-0.554%,0.477%,-0.477%,0.087%,-0.087%,-0.074%,0.074%,1.103%,-1.104%,-0.153%,0.153%,-0.05%,0.056%,1.359%,-1.349%,0.209%,-0.191%,-0.041%,0.054%,-1.013%,0.852%,1.325%,-1.325%,-0.023%,0.032%,0.028%,-0.033%,0.0%,-0.0%,0.0%,-0.006%,-0.525%,0.569%,0.132%,-0.132%,0.96%,-0.906%,0.0%,-0.0%,-0.234%,0.234%,-7.906%,6.459%,-1.594%,1.594%,-7.22%,7.22%,-0.48%,0.526%,0.419%,-0.419%,0.007%,-0.007%,-0.111%,0.129%,1.249%,-1.249%,-0.352%,0.393%,-0.265%,0.319%,4.071%,-3.996%,1.188%,-1.096%,-0.082%,0.092%,0.165%,-0.165%,0.533%,-0.5%,1.234%,-1.301%,2.8%,-2.8%
167.5,140.0,195.0,0.974709,0.551%,-0.551%,0.266%,-0.232%,0.469%,-0.469%,0.062%,-0.062%,0.197%,-0.163%,0.239%,-0.229%,-0.045%,0.045%,-0.157%,0.172%,-0.142%,0.468%,-0.002%,0.033%,0.043%,-0.027%,-6.766%,6.766%,-0.115%,0.127%,0.094%,-0.177%,-0.01%,0.017%,-0.513%,0.555%,0.224%,-0.224%,-0.009%,0.03%,0.0%,-0.0%,0.566%,-0.564%,0.451%,-0.451%,0.149%,-0.149%,-0.073%,0.073%,1.098%,-1.099%,-0.131%,0.131%,-0.039%,0.041%,1.662%,-1.644%,0.217%,-0.208%,-0.013%,0.021%,-0.953%,0.807%,1.296%,-1.296%,0.209%,-0.188%,0.022%,-0.024%,0.0%,-0.0%,0.01%,0.0%,-0.346%,0.383%,0.253%,-0.253%,1.03%,-0.977%,0.0%,-0.0%,-0.332%,0.332%,-7.914%,6.58%,-1.436%,1.436%,-7.713%,7.713%,-0.752%,0.8%,0.363%,-0.363%,0.0%,-0.0%,-0.119%,0.125%,1.27%,-1.27%,-0.388%,0.411%,-0.095%,0.131%,4.009%,-3.937%,1.456%,-1.406%,-0.056%,0.064%,0.137%,-0.137%,0.401%,-0.39%,1.736%,-1.745%,2.8%,-2.8%
225.0,195.0,255.0,0.827819,0.56%,-0.56%,0.259%,-0.23%,0.356%,-0.357%,0.265%,-0.265%,0.421%,-0.442%,0.0%,-0.006%,-0.078%,0.078%,-0.218%,0.197%,0.444%,0.0%,0.042%,0.0%,0.055%,-0.061%,-7.147%,7.147%,-0.086%,0.097%,0.065%,-0.128%,-0.01%,0.01%,-0.649%,0.657%,0.236%,-0.236%,0.0%,-0.021%,0.0%,-0.0%,0.536%,-0.535%,0.387%,-0.387%,0.216%,-0.216%,-0.06%,0.06%,1.038%,-1.04%,-0.079%,0.079%,-0.027%,0.023%,1.988%,-2.015%,0.229%,-0.219%,0.016%,-0.013%,-0.851%,0.712%,1.264%,-1.264%,0.55%,-0.547%,0.017%,-0.017%,0.0%,-0.0%,0.0%,-0.044%,-0.029%,0.029%,0.38%,-0.38%,1.036%,-1.02%,0.003%,-0.003%,-0.418%,0.418%,-7.64%,7.262%,-1.073%,1.073%,-6.81%,6.81%,-1.172%,1.109%,0.239%,-0.239%,-0.003%,0.003%,-0.116%,0.118%,1.303%,-1.303%,-0.419%,0.438%,0.173%,-0.173%,3.995%,-3.923%,1.821%,-1.848%,-0.016%,0.014%,0.136%,-0.136%,0.188%,-0.172%,2.406%,-2.472%,2.8%,-2.8%
287.5,255.0,320.0,0.588166,0.656%,-0.656%,0.262%,-0.234%,0.292%,-0.292%,0.425%,-0.425%,0.66%,-0.625%,-0.246%,0.259%,-0.086%,0.086%,-0.196%,0.24%,0.466%,0.0%,0.034%,0.0%,0.069%,-0.046%,-5.973%,5.973%,-0.061%,0.073%,0.048%,-0.093%,0.0%,-0.011%,-0.755%,0.811%,0.251%,-0.251%,0.018%,-0.007%,0.0%,-0.0%,0.506%,-0.505%,0.356%,-0.356%,0.274%,-0.274%,-0.045%,0.045%,0.935%,-0.936%,-0.052%,0.052%,-0.02%,0.016%,2.333%,-2.319%,0.25%,-0.207%,0.057%,-0.044%,-0.653%,0.549%,1.239%,-1.239%,0.892%,-0.861%,0.013%,-0.013%,0.0%,-0.0%,0.019%,0.0%,0.393%,-0.342%,0.445%,-0.445%,1.03%,-1.014%,0.0%,-0.0%,-0.474%,0.474%,-6.781%,7.403%,-0.737%,0.737%,-5.193%,5.193%,-1.53%,1.529%,0.128%,-0.128%,-0.003%,0.003%,-0.099%,0.113%,1.342%,-1.342%,-0.435%,0.466%,0.542%,-0.503%,4.068%,-3.994%,2.23%,-2.146%,0.043%,-0.024%,0.162%,-0.162%,-0.024%,0.056%,3.124%,-3.095%,2.8%,-2.8%
352.5,320.0,385.0,0.360229,0.819%,-0.819%,0.282%,-0.254%,0.292%,-0.292%,0.466%,-0.466%,0.697%,-0.762%,-0.375%,0.347%,-0.072%,0.072%,-0.212%,0.239%,0.486%,0.0%,0.031%,0.0%,0.006%,-0.054%,-3.844%,3.844%,-0.035%,0.045%,0.038%,-0.073%,0.004%,-0.013%,-0.724%,0.759%,0.265%,-0.265%,0.015%,-0.057%,0.0%,-0.0%,0.504%,-0.504%,0.348%,-0.348%,0.368%,-0.368%,-0.036%,0.036%,0.816%,-0.817%,-0.042%,0.042%,-0.019%,0.018%,2.286%,-2.379%,0.212%,-0.191%,0.079%,-0.089%,-0.454%,0.418%,1.228%,-1.228%,0.914%,-0.945%,0.01%,-0.011%,0.0%,-0.0%,0.033%,-0.021%,0.62%,-0.656%,0.389%,-0.389%,0.908%,-0.923%,-0.003%,0.003%,-0.51%,0.51%,-6.026%,6.217%,-0.586%,0.586%,-3.984%,3.984%,-1.752%,1.663%,0.098%,-0.098%,-0.003%,0.003%,-0.071%,0.075%,1.37%,-1.37%,-0.419%,0.425%,0.693%,-0.695%,4.241%,-4.161%,2.194%,-2.203%,0.071%,-0.08%,0.197%,-0.197%,-0.183%,0.159%,3.169%,-3.225%,2.8%,-2.8%
420.0,385.0,455.0,0.20201,1.002%,-1.002%,0.301%,-0.273%,0.293%,-0.293%,0.543%,-0.543%,0.699%,-0.667%,-0.379%,0.373%,-0.048%,0.048%,-0.182%,0.197%,0.367%,0.0%,0.115%,0.0%,0.009%,-0.006%,-2.608%,2.608%,0.0%,-0.008%,0.041%,-0.069%,0.023%,-0.015%,-0.646%,0.702%,0.276%,-0.276%,0.029%,-0.001%,0.0%,-0.0%,0.471%,-0.471%,0.27%,-0.27%,0.478%,-0.478%,-0.019%,0.019%,0.718%,-0.719%,-0.03%,0.03%,-0.024%,0.016%,2.249%,-2.041%,0.113%,-0.145%,0.094%,-0.122%,-0.328%,0.325%,1.226%,-1.226%,0.868%,-0.869%,0.011%,-0.009%,0.0%,-0.0%,0.073%,0.0%,0.818%,-0.846%,0.291%,-0.291%,0.735%,-0.716%,-0.004%,0.004%,-0.595%,0.595%,-5.912%,5.289%,-0.509%,0.509%,-3.519%,3.519%,-1.627%,1.735%,0.093%,-0.093%,0.005%,-0.005%,0.0%,-0.006%,1.387%,-1.387%,-0.33%,0.316%,0.809%,-0.795%,4.513%,-4.421%,2.034%,-1.921%,0.136%,-0.157%,0.246%,-0.246%,-0.235%,0.209%,2.945%,-2.741%,2.8%,-2.8%
492.5,455.0,530.0,0.107343,1.3%,-1.3%,0.323%,-0.297%,0.258%,-0.258%,0.478%,-0.478%,0.698%,-0.624%,-0.333%,0.325%,-0.01%,0.01%,-0.164%,0.139%,0.203%,0.0%,0.116%,0.0%,-0.082%,0.05%,-2.131%,2.131%,0.023%,-0.032%,0.041%,-0.09%,0.042%,0.0%,-0.622%,0.608%,0.285%,-0.285%,0.041%,0.0%,0.0%,-0.0%,0.424%,-0.424%,0.119%,-0.119%,0.389%,-0.389%,-0.019%,0.019%,0.633%,-0.634%,-0.041%,0.041%,-0.019%,0.015%,1.906%,-1.919%,0.06%,-0.07%,0.107%,-0.091%,-0.304%,0.233%,1.229%,-1.229%,0.748%,-0.817%,0.006%,-0.01%,0.0%,-0.0%,-0.019%,0.036%,1.002%,-1.01%,0.203%,-0.203%,0.489%,-0.612%,-0.002%,0.002%,-0.561%,0.561%,-5.167%,5.733%,-0.417%,0.417%,-2.867%,2.867%,-1.58%,1.618%,0.103%,-0.103%,0.001%,-0.001%,0.047%,-0.051%,1.401%,-1.401%,-0.268%,0.263%,0.868%,-0.886%,4.924%,-4.814%,1.778%,-1.746%,0.159%,-0.173%,0.315%,-0.315%,-0.248%,0.217%,2.574%,-2.425%,2.8%,-2.8%
570.0,530.0,610.0,0.0534788,1.769%,-1.769%,0.35%,-0.324%,0.353%,-0.353%,0.219%,-0.219%,0.66%,-0.793%,-0.406%,0.315%,0.027%,-0.027%,-0.227%,0.129%,0.122%,0.0%,0.098%,0.0%,-0.008%,0.034%,0.175%,-0.175%,0.057%,-0.057%,0.032%,-0.061%,0.02%,-0.039%,-0.676%,0.507%,0.293%,-0.293%,0.0%,-0.09%,0.0%,-0.0%,0.417%,-0.415%,0.061%,-0.061%,0.221%,-0.221%,-0.004%,0.004%,0.562%,-0.563%,-0.036%,0.036%,-0.014%,0.004%,1.745%,-2.022%,0.016%,-0.031%,0.14%,-0.159%,-0.254%,0.137%,1.229%,-1.229%,0.749%,-0.825%,0.005%,-0.008%,0.0%,-0.0%,0.0%,-0.047%,1.453%,-1.563%,0.161%,-0.161%,0.412%,-0.494%,0.003%,-0.003%,-0.535%,0.535%,-4.913%,5.974%,-0.356%,0.356%,-3.872%,3.872%,-1.813%,1.689%,0.102%,-0.102%,-0.003%,0.003%,0.152%,-0.171%,1.416%,-1.416%,-0.29%,0.218%,1.103%,-1.23%,5.461%,-5.325%,1.602%,-1.768%,0.265%,-0.276%,0.414%,-0.414%,-0.253%,0.224%,2.348%,-2.581%,2.8%,-2.8%
652.5,610.0,695.0,0.0269368,2.398%,-2.398%,0.338%,-0.31%,0.458%,-0.458%,0.16%,-0.16%,0.586%,-0.609%,-0.326%,0.292%,0.051%,-0.051%,-0.14%,0.092%,0.279%,0.0%,0.167%,0.0%,-0.026%,0.053%,-3.011%,3.011%,0.014%,-0.065%,0.03%,-0.023%,0.035%,-0.071%,-0.312%,0.323%,0.297%,-0.297%,0.064%,-0.126%,0.0%,-0.0%,0.448%,-0.447%,0.011%,-0.011%,0.37%,-0.37%,0.012%,-0.012%,0.541%,-0.542%,-0.061%,0.061%,-0.016%,0.016%,1.625%,-1.619%,0.0%,-0.078%,0.174%,-0.154%,-0.076%,0.076%,1.227%,-1.227%,0.753%,-0.75%,0.01%,0.0%,0.0%,-0.0%,0.056%,-0.034%,1.698%,-1.598%,0.119%,-0.119%,0.31%,-0.415%,-0.005%,0.005%,-0.419%,0.419%,-6.496%,4.865%,-0.408%,0.408%,-4.648%,4.648%,-1.763%,1.656%,0.187%,-0.187%,0.001%,-0.001%,0.159%,-0.137%,1.418%,-1.418%,-0.253%,0.152%,1.176%,-1.182%,6.025%,-5.858%,1.437%,-1.666%,0.308%,-0.275%,0.549%,-0.549%,-0.246%,0.225%,2.127%,-2.383%,2.8%,-2.8%
