#: table_doi: 10.17182/hepdata.84154.v2/t94
#: name: Table 94
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system transverse momentum $p_{T}^{t\bar{t}}$.

#: data_file: Table_94.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t\bar{t}} bin,p_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,-0.0212559889283
3,1,-0.899953685728
4,1,-0.798281307831
5,1,-0.460615717741
6,1,-0.404428764781
1,2,-0.0212559889283
2,2,1.0
3,2,0.404834628668
4,2,-0.56518248277
5,2,-0.869801420525
6,2,-0.829969242579
1,3,-0.899953685728
2,3,0.404834628668
3,3,1.0
4,3,0.514072317659
5,3,0.0515717846103
6,3,-0.0209550097717
1,4,-0.798281307831
2,4,-0.56518248277
3,4,0.514072317659
4,4,1.0
5,4,0.867902363746
6,4,0.757468248722
1,5,-0.460615717741
2,5,-0.869801420525
3,5,0.0515717846103
4,5,0.867902363746
5,5,1.0
6,5,0.959468545458
1,6,-0.404428764781
2,6,-0.829969242579
3,6,-0.0209550097717
4,6,0.757468248722
5,6,0.959468545458
6,6,1.0

