#: table_doi: 10.17182/hepdata.84154.v2/t54
#: name: Table 54
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t$}$ system absolute rapidity $|y^{t\bar{t}}|$.

#: data_file: Table_54.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t\bar{t}}| bin,|y^{t\bar{t}}| bin,
1,1,1.0
2,1,0.332512867147
3,1,0.44235045405
4,1,0.634454006397
5,1,-0.39004488132
6,1,0.398462824873
7,1,0.534722643016
8,1,0.302057875215
9,1,-0.418796437038
10,1,0.282506400595
11,1,-0.775927307448
12,1,-0.583911693762
13,1,-0.574644992239
14,1,-0.785992660649
15,1,-0.512312071426
16,1,-0.632633835417
17,1,-0.68699774527
18,1,-0.252373874992
1,2,0.332512867147
2,2,1.0
3,2,0.261210601977
4,2,0.217010831672
5,2,-0.102339154013
6,2,0.046996417692
7,2,-0.232676022515
8,2,0.282263507338
9,2,0.165735273742
10,2,-0.463268727477
11,2,-0.357122823173
12,2,-0.0949208897531
13,2,0.0104735599864
14,2,-0.395568374321
15,2,-0.788742187287
16,2,-0.710429203168
17,2,-0.12914932836
18,2,-0.677692885505
1,3,0.44235045405
2,3,0.261210601977
3,3,1.0
4,3,0.872400312081
5,3,-0.0593152307062
6,3,0.731924429993
7,3,0.665414571771
8,3,0.484447756837
9,3,-0.761552019549
10,3,0.4976701862
11,3,-0.849489754555
12,3,-0.905994426157
13,3,-0.910114373594
14,3,-0.836460708257
15,3,-0.678636264136
16,3,-0.564776816579
17,3,-0.889473888144
18,3,-0.117419305249
1,4,0.634454006397
2,4,0.217010831672
3,4,0.872400312081
4,4,1.0
5,4,-0.358454671028
6,4,0.551145057542
7,4,0.697228619006
8,4,0.560520719016
9,4,-0.712935152479
10,4,0.524799873472
11,4,-0.902624258198
12,4,-0.848591479828
13,4,-0.862048323505
14,4,-0.895702987299
15,4,-0.653920467516
16,4,-0.56921432225
17,4,-0.875598670204
18,4,-0.175851511325
1,5,-0.39004488132
2,5,-0.102339154013
3,5,-0.0593152307062
4,5,-0.358454671028
5,5,1.0
6,5,0.379640102821
7,5,-0.159784524981
8,5,-0.410189170967
9,5,-0.0360736002664
10,5,-0.412440776673
11,5,0.258865918964
12,5,-0.00268729353077
13,5,0.0613363961346
14,5,0.323945306771
15,5,0.0189139189424
16,5,0.106081535935
17,5,0.111199371291
18,5,0.139031715027
1,6,0.398462824873
2,6,0.046996417692
3,6,0.731924429993
4,6,0.551145057542
5,6,0.379640102821
6,6,1.0
7,6,0.666832963569
8,6,0.0918424685959
9,6,-0.746580576602
10,6,0.326634247717
11,6,-0.686595685579
12,6,-0.852268924941
13,6,-0.818247790115
14,6,-0.616808073464
15,6,-0.499046713856
16,6,-0.317199309009
17,6,-0.810196393706
18,6,0.185802603116
1,7,0.534722643016
2,7,-0.232676022515
3,7,0.665414571771
4,7,0.697228619006
5,7,-0.159784524981
6,7,0.666832963569
7,7,1.0
8,7,-0.0156344749045
9,7,-0.920707898381
10,7,0.751552116149
11,7,-0.653230628039
12,7,-0.846372801747
13,7,-0.872668257096
14,7,-0.578239473832
15,7,-0.225702227578
16,7,-0.172007525823
17,7,-0.853257927975
18,7,0.254115882276
1,8,0.302057875215
2,8,0.282263507338
3,8,0.484447756837
4,8,0.560520719016
5,8,-0.410189170967
6,8,0.0918424685959
7,8,-0.0156344749045
8,8,1.0
9,8,0.00283080293894
10,8,0.229634384486
11,8,-0.525850238352
12,8,-0.263887686678
13,8,-0.339553185226
14,8,-0.657894042992
15,8,-0.428360831244
16,8,-0.514614190812
17,8,-0.35533846638
18,8,-0.375145793806
1,9,-0.418796437038
2,9,0.165735273742
3,9,-0.761552019549
4,9,-0.712935152479
5,9,-0.0360736002664
6,9,-0.746580576602
7,9,-0.920707898381
8,9,0.00283080293894
9,9,1.0
10,9,-0.632247520136
11,9,0.647523733602
12,9,0.907328755032
13,9,0.896351505529
14,9,0.557766042607
15,9,0.300118831603
16,9,0.162489617067
17,9,0.842958766121
18,9,-0.301813798928
1,10,0.282506400595
2,10,-0.463268727477
3,10,0.4976701862
4,10,0.524799873472
5,10,-0.412440776673
6,10,0.326634247717
7,10,0.751552116149
8,10,0.229634384486
9,10,-0.632247520136
10,10,1.0
11,10,-0.424876981652
12,10,-0.56631339766
13,10,-0.669942084057
14,10,-0.429765403567
15,10,0.126223269229
16,10,0.0819064236462
17,10,-0.620322132906
18,10,0.325838732101
1,11,-0.775927307448
2,11,-0.357122823173
3,11,-0.849489754555
4,11,-0.902624258198
5,11,0.258865918964
6,11,-0.686595685579
7,11,-0.653230628039
8,11,-0.525850238352
9,11,0.647523733602
10,11,-0.424876981652
11,11,1.0
12,11,0.859263824146
13,11,0.849067122291
14,11,0.959280591034
15,11,0.732582814553
16,11,0.639325699608
17,11,0.900934100283
18,11,0.161691015749
1,12,-0.583911693762
2,12,-0.0949208897531
3,12,-0.905994426157
4,12,-0.848591479828
5,12,-0.00268729353077
6,12,-0.852268924941
7,12,-0.846372801747
8,12,-0.263887686678
9,12,0.907328755032
10,12,-0.56631339766
11,12,0.859263824146
12,12,1.0
13,12,0.971511911082
14,12,0.801932101179
15,12,0.558252225812
16,12,0.430977516528
17,12,0.965042461529
18,12,-0.0930977828148
1,13,-0.574644992239
2,13,0.0104735599864
3,13,-0.910114373594
4,13,-0.862048323505
5,13,0.0613363961346
6,13,-0.818247790115
7,13,-0.872668257096
8,13,-0.339553185226
9,13,0.896351505529
10,13,-0.669942084057
11,13,0.849067122291
12,13,0.971511911082
13,13,1.0
14,13,0.815782268539
15,13,0.49070815026
16,13,0.427203841007
17,13,0.970446854286
18,13,-0.0905723383413
1,14,-0.785992660649
2,14,-0.395568374321
3,14,-0.836460708257
4,14,-0.895702987299
5,14,0.323945306771
6,14,-0.616808073464
7,14,-0.578239473832
8,14,-0.657894042992
9,14,0.557766042607
10,14,-0.429765403567
11,14,0.959280591034
12,14,0.801932101179
13,14,0.815782268539
14,14,1.0
15,14,0.738072267799
16,14,0.724513282962
17,14,0.881489388103
18,14,0.277986657321
1,15,-0.512312071426
2,15,-0.788742187287
3,15,-0.678636264136
4,15,-0.653920467516
5,15,0.0189139189424
6,15,-0.499046713856
7,15,-0.225702227578
8,15,-0.428360831244
9,15,0.300118831603
10,15,0.126223269229
11,15,0.732582814553
12,15,0.558252225812
13,15,0.49070815026
14,15,0.738072267799
15,15,1.0
16,15,0.813310837807
17,15,0.592280451569
18,15,0.558916131391
1,16,-0.632633835417
2,16,-0.710429203168
3,16,-0.564776816579
4,16,-0.56921432225
5,16,0.106081535935
6,16,-0.317199309009
7,16,-0.172007525823
8,16,-0.514614190812
9,16,0.162489617067
10,16,0.0819064236462
11,16,0.639325699608
12,16,0.430977516528
13,16,0.427203841007
14,16,0.724513282962
15,16,0.813310837807
16,16,1.0
17,16,0.526982430708
18,16,0.755507263313
1,17,-0.68699774527
2,17,-0.12914932836
3,17,-0.889473888144
4,17,-0.875598670204
5,17,0.111199371291
6,17,-0.810196393706
7,17,-0.853257927975
8,17,-0.35533846638
9,17,0.842958766121
10,17,-0.620322132906
11,17,0.900934100283
12,17,0.965042461529
13,17,0.970446854286
14,17,0.881489388103
15,17,0.592280451569
16,17,0.526982430708
17,17,1.0
18,17,0.0364280699608
1,18,-0.252373874992
2,18,-0.677692885505
3,18,-0.117419305249
4,18,-0.175851511325
5,18,0.139031715027
6,18,0.185802603116
7,18,0.254115882276
8,18,-0.375145793806
9,18,-0.301813798928
10,18,0.325838732101
11,18,0.161691015749
12,18,-0.0930977828148
13,18,-0.0905723383413
14,18,0.277986657321
15,18,0.558916131391
16,18,0.755507263313
17,18,0.0364280699608
18,18,1.0

