#: table_doi: 10.17182/hepdata.84154.v2/t96
#: name: Table 96
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t$}$ system absolute rapidity $|y^{t\bar{t}}|$.

#: data_file: Table_96.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t\bar{t}}| bin,|y^{t\bar{t}}| bin,
1,1,1.0
2,1,-0.162820615109
3,1,-0.39609485503
4,1,-0.230106062791
5,1,-0.25840724501
1,2,-0.162820615109
2,2,1.0
3,2,0.0699671607461
4,2,-0.407605689593
5,2,-0.328609041559
1,3,-0.39609485503
2,3,0.0699671607461
3,3,1.0
4,3,-0.00818213992475
5,3,-0.44095326646
1,4,-0.230106062791
2,4,-0.407605689593
3,4,-0.00818213992475
4,4,1.0
5,4,-0.279585859951
1,5,-0.25840724501
2,5,-0.328609041559
3,5,-0.44095326646
4,5,-0.279585859951
5,5,1.0

