#: table_doi: 10.17182/hepdata.84154.v2/t18
#: name: Table 18
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for $y_{boost}^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_18.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DYBOOST_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
YBOOST_TTBAR,YBOOST_TTBAR LOW,YBOOST_TTBAR HIGH,1/SIG*DSIG/DYBOOST_TTBAR,stat +,stat -,sys +,sys -
0.05,0.0,0.1,1.13917,0.826%,-0.826%,0.721%,-1.067%
0.15000000000000002,0.1,0.2,1.11985,0.78%,-0.78%,1.226%,-1.245%
0.25,0.2,0.3,1.06371,0.817%,-0.817%,1.003%,-0.975%
0.35,0.3,0.4,1.01881,0.835%,-0.835%,1.46%,-1.386%
0.45,0.4,0.5,0.957028,0.864%,-0.864%,1.002%,-0.531%
0.55,0.5,0.6,0.863205,0.919%,-0.919%,0.657%,-0.545%
0.6499999999999999,0.6,0.7,0.765865,0.985%,-0.985%,1.24%,-1.493%
0.75,0.7,0.8,0.674906,1.062%,-1.062%,1.129%,-0.88%
0.8500000000000001,0.8,0.9,0.576843,1.136%,-1.136%,1.292%,-1.145%
0.95,0.9,1.0,0.461389,1.301%,-1.301%,0.711%,-1.078%
1.05,1.0,1.1,0.375845,1.44%,-1.44%,1.627%,-1.376%
1.15,1.1,1.2,0.295077,1.655%,-1.655%,2.512%,-3.018%
1.25,1.2,1.3,0.228642,1.905%,-1.905%,1.877%,-1.745%
1.35,1.3,1.4,0.167957,2.206%,-2.206%,1.735%,-2.118%
1.45,1.4,1.5,0.120359,2.872%,-2.872%,3.429%,-3.771%
1.75,1.5,2.0,0.0342691,2.5%,-2.5%,3.649%,-3.088%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
YBOOST_TTBAR,YBOOST_TTBAR LOW,YBOOST_TTBAR HIGH,DSIG/DYBOOST_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
0.05,0.0,0.1,1.13917,0.826%,-0.826%,0.029%,-0.026%,0.031%,-0.03%,-0.249%,0.249%,-0.228%,0.229%,0.016%,0.0%,-0.039%,0.039%,0.027%,-0.02%,-0.078%,0.054%,0.0%,-0.048%,0.0%,-0.02%,-0.021%,0.021%,0.004%,0.0%,-0.055%,0.072%,0.001%,0.0%,0.079%,-0.045%,-0.012%,0.013%,0.004%,0.0%,-0.056%,0.056%,0.007%,-0.006%,0.076%,-0.076%,-0.112%,0.112%,0.031%,-0.031%,0.018%,-0.018%,-0.002%,0.002%,-0.014%,0.028%,-0.112%,0.026%,0.023%,-0.019%,0.009%,-0.007%,0.004%,-0.015%,-0.056%,0.058%,-0.023%,0.009%,0.0%,0.011%,0.0%,-0.0%,-0.01%,0.027%,0.014%,-0.006%,0.044%,-0.044%,0.0%,-0.016%,0.011%,-0.011%,-0.012%,0.012%,0.547%,-0.947%,-0.012%,0.012%,0.211%,-0.211%,0.0%,-0.067%,0.097%,-0.097%,-0.004%,0.004%,0.005%,0.0%,0.02%,-0.021%,-0.019%,0.019%,0.011%,-0.017%,-0.019%,0.019%,0.0%,-0.041%,0.0%,-0.005%,0.207%,-0.207%,0.022%,-0.001%,-0.082%,0.001%
0.15000000000000002,0.1,0.2,1.11985,0.78%,-0.78%,0.01%,-0.007%,0.0%,-0.001%,-0.213%,0.213%,-0.207%,0.206%,0.006%,-0.003%,-0.018%,0.018%,0.044%,-0.072%,-0.083%,0.054%,0.0%,-0.056%,0.008%,-0.05%,1.132%,-1.132%,-0.005%,0.004%,0.0%,-0.039%,0.004%,0.0%,0.004%,-0.002%,-0.013%,0.012%,0.007%,-0.009%,0.196%,-0.196%,-0.032%,0.031%,-0.016%,0.016%,-0.091%,0.091%,-0.012%,0.012%,0.012%,-0.013%,0.001%,-0.001%,0.0%,-0.027%,-0.106%,0.079%,0.004%,-0.003%,-0.003%,0.003%,-0.059%,0.009%,-0.055%,0.056%,0.046%,-0.007%,0.0%,-0.004%,0.0%,-0.0%,0.012%,-0.053%,-0.009%,0.016%,-0.008%,0.008%,-0.017%,0.079%,0.002%,-0.002%,0.004%,-0.004%,0.062%,-0.166%,0.045%,-0.045%,0.214%,-0.214%,0.048%,-0.03%,0.017%,-0.017%,0.022%,-0.022%,-0.007%,0.002%,0.019%,-0.02%,0.028%,0.0%,-0.013%,0.05%,-0.003%,0.002%,-0.032%,0.041%,0.001%,0.0%,0.191%,-0.191%,-0.009%,0.004%,0.0%,-0.102%
0.25,0.2,0.3,1.06371,0.817%,-0.817%,0.026%,-0.023%,-0.003%,0.003%,-0.158%,0.158%,-0.147%,0.188%,0.011%,0.0%,0.009%,-0.009%,0.029%,-0.029%,-0.03%,0.108%,0.0%,-0.052%,0.047%,0.0%,0.0%,-0.0%,0.002%,0.0%,-0.025%,0.093%,-0.01%,0.005%,0.082%,0.0%,-0.011%,0.011%,-0.01%,0.006%,0.521%,-0.521%,-0.004%,0.003%,0.046%,-0.046%,-0.062%,0.062%,-0.012%,0.012%,0.009%,-0.009%,-0.002%,0.002%,0.043%,-0.002%,0.139%,0.0%,0.014%,0.0%,0.0%,-0.001%,0.04%,0.0%,-0.051%,0.052%,-0.022%,0.064%,-0.023%,0.01%,0.0%,-0.0%,0.109%,0.0%,-0.003%,0.056%,0.043%,-0.043%,0.058%,0.0%,0.006%,-0.006%,0.018%,-0.018%,-0.451%,0.338%,-0.003%,0.003%,-0.64%,0.64%,0.129%,0.0%,0.018%,-0.018%,0.021%,-0.021%,-0.004%,0.012%,0.017%,-0.018%,0.029%,0.0%,-0.013%,0.052%,0.006%,-0.007%,0.128%,0.0%,0.011%,0.0%,0.201%,-0.201%,0.009%,0.0%,0.156%,0.0%
0.35,0.3,0.4,1.01881,0.835%,-0.835%,0.01%,-0.004%,-0.01%,0.014%,-0.18%,0.18%,-0.139%,0.155%,0.0%,-0.031%,0.001%,-0.001%,0.07%,-0.013%,-0.065%,0.062%,0.0%,-0.022%,-0.015%,0.063%,-0.428%,0.428%,0.0%,-0.014%,-0.041%,0.074%,0.01%,0.0%,0.0%,-0.064%,-0.007%,0.012%,0.0%,-0.02%,0.397%,-0.397%,-0.019%,0.023%,0.095%,-0.095%,-0.076%,0.076%,0.001%,-0.001%,0.023%,-0.019%,0.008%,-0.008%,-0.014%,0.022%,-0.052%,0.024%,0.006%,0.0%,0.0%,-0.01%,0.045%,0.0%,-0.044%,0.05%,-0.038%,0.007%,0.018%,0.0%,0.002%,0.0%,0.001%,-0.064%,0.026%,-0.038%,0.108%,-0.108%,0.0%,-0.066%,0.003%,-0.003%,-0.03%,0.03%,0.699%,-0.531%,0.015%,-0.015%,-1.088%,1.088%,0.018%,-0.03%,0.023%,-0.023%,0.01%,-0.01%,0.0%,-0.014%,0.017%,-0.013%,0.0%,-0.03%,0.022%,-0.048%,-0.006%,0.01%,-0.033%,0.038%,0.0%,-0.014%,0.206%,-0.206%,0.006%,-0.025%,-0.016%,0.076%
0.45,0.4,0.5,0.957028,0.864%,-0.864%,0.004%,-0.004%,0.021%,-0.022%,-0.152%,0.152%,-0.093%,0.098%,0.017%,-0.024%,-0.026%,0.026%,0.064%,-0.048%,-0.084%,0.043%,0.0%,-0.048%,0.021%,-0.063%,0.152%,-0.152%,0.015%,0.0%,-0.047%,0.047%,0.0%,-0.005%,0.0%,-0.042%,-0.009%,0.008%,0.017%,0.0%,0.186%,-0.186%,-0.012%,0.011%,0.069%,-0.069%,-0.061%,0.061%,-0.004%,0.004%,0.009%,-0.01%,0.006%,-0.006%,0.001%,-0.026%,0.0%,-0.054%,-0.016%,0.015%,-0.004%,0.014%,-0.016%,0.031%,-0.039%,0.039%,-0.036%,0.026%,0.007%,0.0%,0.0%,-0.0%,0.065%,0.0%,-0.025%,0.039%,-0.019%,0.019%,0.0%,-0.086%,0.003%,-0.003%,-0.01%,0.01%,0.905%,0.0%,-0.007%,0.007%,0.238%,-0.238%,0.0%,-0.079%,-0.062%,0.062%,-0.026%,0.026%,0.018%,0.0%,0.011%,-0.012%,0.009%,-0.019%,-0.012%,0.032%,0.001%,-0.002%,0.0%,-0.191%,-0.002%,0.025%,0.214%,-0.214%,0.011%,0.0%,0.0%,-0.204%
0.55,0.5,0.6,0.863205,0.919%,-0.919%,0.009%,-0.007%,0.015%,-0.014%,-0.108%,0.108%,-0.086%,0.062%,0.034%,0.0%,-0.04%,0.04%,0.044%,-0.034%,0.0%,-0.055%,0.0%,-0.023%,0.016%,-0.051%,-0.337%,0.337%,0.01%,-0.001%,-0.013%,0.001%,0.0%,-0.002%,0.047%,0.0%,-0.007%,0.008%,0.0%,-0.013%,-0.139%,0.139%,-0.002%,0.005%,-0.066%,0.066%,-0.044%,0.044%,-0.005%,0.005%,0.013%,-0.012%,0.004%,-0.004%,0.0%,-0.013%,0.064%,-0.016%,-0.012%,0.02%,0.02%,0.0%,0.0%,-0.018%,-0.026%,0.028%,0.006%,-0.011%,-0.008%,0.002%,0.001%,0.0%,0.0%,-0.12%,-0.055%,0.055%,-0.079%,0.079%,0.015%,0.0%,0.005%,-0.005%,-0.017%,0.017%,-0.316%,0.48%,-0.002%,0.002%,0.027%,-0.027%,0.022%,-0.01%,-0.007%,0.007%,-0.033%,0.033%,0.016%,0.0%,0.007%,-0.006%,0.02%,-0.006%,-0.024%,0.029%,0.008%,-0.007%,0.016%,-0.011%,-0.006%,0.023%,0.225%,-0.225%,0.021%,0.0%,0.134%,0.0%
0.6499999999999999,0.6,0.7,0.765865,0.985%,-0.985%,-0.008%,0.007%,-0.01%,0.008%,-0.109%,0.109%,0.0%,-0.023%,0.0%,-0.006%,-0.041%,0.041%,0.0%,-0.02%,-0.113%,0.049%,0.0%,-0.032%,-0.017%,0.002%,-0.668%,0.668%,0.006%,-0.024%,0.02%,0.0%,0.002%,0.0%,-0.041%,0.105%,-0.006%,0.004%,-0.015%,0.002%,-0.171%,0.171%,-0.001%,0.001%,0.002%,-0.002%,0.0%,-0.0%,0.0%,-0.0%,-0.007%,0.006%,-0.005%,0.005%,0.049%,0.0%,0.015%,-0.024%,-0.016%,0.021%,0.0%,-0.013%,0.025%,-0.036%,-0.012%,0.011%,0.039%,-0.057%,0.0%,-0.013%,0.0%,-0.001%,0.0%,-0.084%,0.007%,-0.032%,-0.086%,0.086%,0.031%,0.0%,-0.005%,0.005%,-0.044%,0.044%,0.0%,-0.819%,-0.01%,0.01%,-1.004%,1.004%,0.0%,-0.058%,-0.014%,0.014%,-0.011%,0.011%,0.007%,-0.018%,-0.005%,0.003%,0.032%,-0.032%,0.0%,-0.052%,0.008%,-0.01%,0.036%,-0.075%,0.0%,-0.021%,0.237%,-0.237%,0.0%,-0.019%,0.088%,-0.066%
0.75,0.7,0.8,0.674906,1.062%,-1.062%,-0.006%,0.003%,0.013%,-0.014%,0.016%,-0.016%,0.036%,0.0%,0.018%,0.0%,0.018%,-0.018%,0.036%,-0.013%,0.119%,-0.156%,0.0%,-0.029%,0.085%,0.0%,0.701%,-0.701%,-0.013%,0.006%,0.006%,-0.02%,0.0%,0.006%,-0.018%,0.02%,-0.003%,0.001%,0.036%,0.0%,-0.038%,0.038%,-0.009%,0.006%,-0.055%,0.055%,-0.04%,0.04%,0.031%,-0.031%,-0.019%,0.018%,-0.011%,0.011%,-0.011%,0.07%,0.033%,0.0%,0.01%,-0.033%,-0.004%,0.005%,-0.001%,0.005%,0.006%,-0.007%,0.094%,0.0%,0.007%,0.0%,0.0%,-0.001%,0.215%,0.0%,-0.008%,0.011%,-0.035%,0.035%,0.046%,0.0%,0.009%,-0.009%,-0.006%,0.006%,0.655%,0.0%,-0.026%,0.026%,-0.475%,0.475%,0.081%,0.0%,0.035%,-0.035%,0.087%,-0.087%,-0.017%,0.009%,-0.013%,0.012%,0.0%,-0.013%,-0.006%,0.019%,-0.009%,0.007%,0.092%,0.0%,0.008%,-0.013%,0.253%,-0.253%,0.003%,-0.022%,-0.096%,0.075%
0.8500000000000001,0.8,0.9,0.576843,1.136%,-1.136%,-0.018%,0.014%,-0.04%,0.039%,0.184%,-0.184%,0.152%,-0.239%,0.0%,-0.019%,0.031%,-0.031%,-0.058%,0.017%,0.313%,-0.097%,0.0%,-0.011%,0.018%,-0.074%,-0.181%,0.181%,0.002%,-0.006%,0.027%,0.0%,0.0%,-0.013%,0.042%,-0.099%,0.003%,-0.004%,-0.027%,0.015%,-0.111%,0.111%,0.004%,-0.005%,-0.077%,0.077%,-0.048%,0.048%,-0.023%,0.023%,-0.032%,0.032%,-0.008%,0.008%,0.0%,-0.044%,0.0%,-0.049%,-0.056%,0.008%,-0.01%,0.004%,0.0%,-0.016%,0.029%,-0.031%,0.0%,-0.041%,0.006%,-0.013%,0.0%,-0.001%,-0.044%,0.028%,0.0%,-0.029%,0.127%,-0.127%,0.0%,-0.13%,-0.028%,0.028%,0.002%,-0.002%,0.602%,0.0%,0.019%,-0.019%,1.032%,-1.032%,0.0%,-0.065%,-0.075%,0.075%,-0.044%,0.044%,0.007%,-0.036%,-0.019%,0.018%,0.0%,-0.058%,-0.031%,0.017%,0.004%,-0.006%,-0.039%,0.007%,0.0%,-0.018%,0.275%,-0.275%,-0.036%,0.013%,-0.017%,0.0%
0.95,0.9,1.0,0.461389,1.301%,-1.301%,-0.021%,0.018%,0.001%,-0.001%,0.18%,-0.18%,0.328%,-0.252%,-0.03%,0.018%,0.043%,-0.043%,-0.107%,0.1%,0.147%,-0.085%,0.029%,-0.023%,-0.129%,0.037%,0.478%,-0.478%,-0.016%,0.002%,0.016%,-0.149%,0.012%,0.0%,0.039%,0.0%,0.009%,-0.008%,0.04%,-0.013%,-0.114%,0.114%,0.012%,-0.01%,-0.082%,0.082%,0.023%,-0.023%,-0.025%,0.025%,-0.003%,0.004%,-0.005%,0.005%,0.015%,-0.084%,0.144%,0.0%,0.014%,-0.014%,0.019%,-0.017%,0.0%,-0.007%,0.053%,-0.054%,0.0%,-0.055%,0.011%,-0.016%,0.0%,-0.0%,0.0%,-0.128%,0.0%,-0.021%,-0.023%,0.023%,0.087%,-0.017%,0.026%,-0.026%,-0.036%,0.036%,0.0%,-0.834%,0.034%,-0.034%,-0.005%,0.005%,-0.031%,0.058%,-0.124%,0.124%,-0.013%,0.013%,-0.036%,0.013%,-0.025%,0.026%,0.025%,0.0%,0.031%,-0.022%,-0.001%,0.002%,0.065%,-0.032%,0.003%,0.0%,0.306%,-0.306%,0.012%,0.0%,0.12%,-0.076%
