#: table_doi: 10.17182/hepdata.84154.v2/t89
#: name: Table 89
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$.

#: data_file: Table_89.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
m^{t\bar{t}} bin,m^{t\bar{t}} bin,
1,1,1.0
2,1,0.923279563969
3,1,0.911021612954
4,1,0.880041399038
5,1,0.784571605565
6,1,0.298706557194
7,1,-0.316059563942
1,2,0.923279563969
2,2,1.0
3,2,0.971839237572
4,2,0.923142552305
5,2,0.773651751338
6,2,0.129037952853
7,2,-0.569626622397
1,3,0.911021612954
2,3,0.971839237572
3,3,1.0
4,3,0.98580198794
5,3,0.884812327734
6,3,0.300065821216
7,3,-0.463729653139
1,4,0.880041399038
2,4,0.923142552305
3,4,0.98580198794
4,4,1.0
5,4,0.94809846465
6,4,0.441320457049
7,4,-0.357353793431
1,5,0.784571605565
2,5,0.773651751338
3,5,0.884812327734
4,5,0.94809846465
5,5,1.0
6,5,0.695715987436
7,5,-0.10110994865
1,6,0.298706557194
2,6,0.129037952853
3,6,0.300065821216
4,6,0.441320457049
5,6,0.695715987436
6,6,1.0
7,6,0.608898003227
1,7,-0.316059563942
2,7,-0.569626622397
3,7,-0.463729653139
4,7,-0.357353793431
5,7,-0.10110994865
6,7,0.608898003227
7,7,1.0

