#: table_doi: 10.17182/hepdata.84154.v2/t95
#: name: Table 95
#: description: Absolute statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t$}$ system absolute rapidity $|y^{t\bar{t}}|$.

#: data_file: Table_95.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t\bar{t}}| bin,|y^{t\bar{t}}| bin,
1,1,1.0
2,1,-0.0287790398298
3,1,-0.271692213403
4,1,-0.066558078122
5,1,0.0148079444498
1,2,-0.0287790398298
2,2,1.0
3,2,0.152670786927
4,2,-0.217373892414
5,2,-0.0343898124097
1,3,-0.271692213403
2,3,0.152670786927
3,3,1.0
4,3,0.103317341575
5,3,-0.182155038325
1,4,-0.066558078122
2,4,-0.217373892414
3,4,0.103317341575
4,4,1.0
5,4,-0.0412380715675
1,5,0.0148079444498
2,5,-0.0343898124097
3,5,-0.182155038325
4,5,-0.0412380715675
5,5,1.0

