#: table_doi: 10.17182/hepdata.84154.v2/t33
#: name: Table 33
#: description: Full phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for the $t\bar{t}$ system absolute out-of-plane momentum $|p_{out}^{t\bar{t}}|$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_33.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DABSPOUT_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSPOUT_TTBAR [GeV],ABSPOUT_TTBAR [GeV] LOW,ABSPOUT_TTBAR [GeV] HIGH,DSIG/DABSPOUT_TTBAR,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
20.0,0.0,40.0,4.98097,0.373%,-0.373%,10.09%,-10.741%,2.8%,-2.8%
60.0,40.0,80.0,1.09606,0.454%,-0.454%,12.904%,-13.814%,2.8%,-2.8%
100.0,80.0,120.0,0.363921,0.781%,-0.781%,15.958%,-16.617%,2.8%,-2.8%
145.0,120.0,170.0,0.132378,1.259%,-1.259%,19.34%,-19.245%,2.8%,-2.8%
200.0,170.0,230.0,0.0445328,2.063%,-2.063%,20.017%,-19.608%,2.8%,-2.8%
415.0,230.0,600.0,0.0037795,3.689%,-3.689%,21.651%,-20.298%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSPOUT_TTBAR [GeV],ABSPOUT_TTBAR [GeV] LOW,ABSPOUT_TTBAR [GeV] HIGH,DSIG/DABSPOUT_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
20.0,0.0,40.0,4.98097,0.373%,-0.373%,0.288%,-0.256%,0.406%,-0.406%,0.231%,-0.231%,0.175%,-0.149%,0.049%,-0.041%,-0.023%,0.023%,-0.106%,0.132%,0.39%,0.0%,0.048%,0.0%,-0.418%,0.41%,-1.439%,1.439%,-0.071%,0.083%,0.072%,-0.139%,-0.003%,0.002%,-0.546%,0.575%,0.244%,-0.244%,-0.003%,0.002%,0.0%,-0.0%,0.467%,-0.466%,0.357%,-0.357%,0.22%,-0.22%,-0.04%,0.04%,0.933%,-0.934%,0.052%,-0.052%,-0.03%,0.028%,1.353%,-1.364%,0.173%,-0.157%,0.016%,-0.016%,-0.774%,0.667%,1.266%,-1.266%,0.477%,-0.467%,0.017%,-0.018%,0.0%,-0.0%,0.0%,-0.084%,0.06%,-0.04%,0.282%,-0.282%,0.816%,-0.796%,0.001%,-0.001%,-0.272%,0.272%,-7.751%,6.754%,0.501%,-0.501%,-3.496%,3.496%,-0.748%,0.748%,0.233%,-0.233%,0.0%,-0.0%,-0.063%,0.07%,1.321%,-1.321%,-0.318%,0.349%,0.182%,-0.156%,4.321%,-4.234%,1.411%,-1.37%,0.003%,-0.004%,0.088%,-0.088%,0.194%,-0.177%,1.813%,-1.828%,2.8%,-2.8%
60.0,40.0,80.0,1.09606,0.454%,-0.454%,0.277%,-0.247%,0.358%,-0.358%,0.203%,-0.203%,0.674%,-0.712%,-0.099%,0.076%,-0.067%,0.067%,-0.284%,0.247%,0.449%,0.0%,0.037%,0.0%,0.671%,-0.671%,-4.678%,4.678%,-0.087%,0.089%,0.074%,-0.132%,-0.002%,0.001%,-0.674%,0.715%,0.246%,-0.246%,0.0%,-0.007%,0.0%,-0.0%,0.589%,-0.588%,0.374%,-0.374%,0.229%,-0.229%,-0.074%,0.074%,0.961%,-0.962%,0.032%,-0.032%,-0.031%,0.032%,2.611%,-2.608%,0.227%,-0.228%,0.041%,-0.042%,-0.673%,0.562%,1.27%,-1.27%,0.549%,-0.566%,0.017%,-0.02%,0.0%,-0.0%,0.132%,0.0%,0.244%,-0.242%,0.33%,-0.33%,1.106%,-1.089%,-0.002%,0.002%,-0.404%,0.404%,-9.156%,7.67%,0.479%,-0.479%,-5.236%,5.236%,-1.691%,1.682%,0.255%,-0.255%,0.002%,-0.002%,-0.098%,0.098%,1.316%,-1.316%,-0.482%,0.47%,0.398%,-0.405%,4.215%,-4.135%,2.173%,-2.155%,0.028%,-0.031%,0.112%,-0.112%,0.111%,-0.121%,2.937%,-2.958%,2.8%,-2.8%
100.0,80.0,120.0,0.363921,0.781%,-0.781%,0.266%,-0.237%,0.375%,-0.375%,0.203%,-0.203%,1.1%,-1.178%,-0.277%,0.26%,-0.089%,0.089%,-0.348%,0.331%,0.494%,0.0%,0.038%,0.0%,1.06%,-1.049%,-9.273%,9.273%,-0.072%,0.059%,0.077%,-0.125%,0.007%,-0.002%,-0.76%,0.736%,0.249%,-0.249%,0.002%,-0.007%,0.0%,-0.0%,0.666%,-0.665%,0.395%,-0.395%,0.236%,-0.236%,-0.08%,0.08%,0.97%,-0.972%,0.017%,-0.017%,-0.031%,0.034%,3.435%,-3.426%,0.231%,-0.25%,0.079%,-0.068%,-0.573%,0.447%,1.272%,-1.272%,0.634%,-0.693%,0.016%,-0.021%,0.0%,-0.0%,0.221%,0.0%,0.519%,-0.551%,0.336%,-0.336%,1.153%,-1.2%,-0.003%,0.003%,-0.079%,0.079%,-8.693%,7.398%,0.493%,-0.493%,-6.285%,6.285%,-2.445%,2.401%,0.225%,-0.225%,0.001%,-0.001%,-0.094%,0.087%,1.315%,-1.315%,-0.559%,0.514%,0.649%,-0.688%,4.097%,-4.026%,2.619%,-2.663%,0.071%,-0.07%,0.197%,-0.197%,-0.056%,0.029%,3.661%,-3.718%,2.8%,-2.8%
145.0,120.0,170.0,0.132378,1.259%,-1.259%,0.268%,-0.241%,0.403%,-0.403%,0.253%,-0.253%,1.286%,-1.315%,-0.379%,0.409%,-0.069%,0.069%,-0.328%,0.397%,0.475%,0.0%,0.14%,0.0%,1.009%,-0.935%,-13.611%,13.611%,-0.019%,0.025%,0.068%,-0.111%,0.026%,-0.004%,-0.829%,0.714%,0.252%,-0.252%,0.071%,-0.008%,0.0%,-0.0%,0.665%,-0.664%,0.361%,-0.361%,0.336%,-0.336%,-0.074%,0.074%,0.953%,-0.957%,0.013%,-0.013%,-0.024%,0.025%,3.427%,-3.415%,0.179%,-0.174%,0.126%,-0.087%,-0.427%,0.33%,1.273%,-1.273%,0.731%,-0.799%,0.014%,-0.017%,0.0%,-0.0%,0.234%,0.0%,0.873%,-0.865%,0.29%,-0.29%,0.971%,-1.001%,-0.003%,0.003%,0.127%,-0.127%,-7.734%,7.929%,0.511%,-0.511%,-7.058%,7.058%,-2.602%,2.588%,0.15%,-0.15%,-0.014%,0.014%,-0.024%,0.025%,1.317%,-1.317%,-0.446%,0.454%,0.888%,-0.854%,4.038%,-3.973%,2.626%,-2.595%,0.138%,-0.112%,0.313%,-0.313%,-0.206%,0.212%,3.691%,-3.721%,2.8%,-2.8%
200.0,170.0,230.0,0.0445328,2.063%,-2.063%,0.28%,-0.256%,0.595%,-0.595%,0.305%,-0.305%,1.413%,-1.103%,-0.324%,0.441%,-0.028%,0.028%,-0.148%,0.377%,0.308%,0.0%,0.116%,0.0%,0.782%,-0.699%,-14.042%,14.042%,0.048%,0.0%,0.079%,-0.086%,0.003%,0.0%,-0.623%,0.837%,0.255%,-0.255%,0.051%,-0.011%,0.0%,-0.0%,0.638%,-0.638%,0.199%,-0.199%,0.705%,-0.705%,-0.015%,0.015%,0.86%,-0.864%,0.008%,-0.008%,-0.016%,0.026%,2.997%,-2.689%,0.152%,-0.099%,0.185%,-0.124%,-0.252%,0.152%,1.27%,-1.27%,0.829%,-0.72%,0.016%,-0.014%,0.0%,-0.0%,0.166%,0.0%,1.288%,-1.278%,0.191%,-0.191%,0.798%,-0.633%,0.006%,-0.006%,0.234%,-0.234%,-7.535%,8.024%,0.585%,-0.585%,-8.182%,8.182%,-2.245%,2.508%,0.166%,-0.166%,-0.017%,0.017%,0.119%,-0.035%,1.318%,-1.318%,-0.237%,0.366%,1.19%,-0.983%,4.121%,-4.057%,2.413%,-2.148%,0.25%,-0.19%,0.507%,-0.507%,-0.197%,0.287%,3.409%,-3.217%,2.8%,-2.8%
415.0,230.0,600.0,0.0037795,3.689%,-3.689%,0.326%,-0.304%,0.77%,-0.77%,0.067%,-0.067%,0.99%,-1.02%,-0.405%,0.371%,0.022%,-0.022%,-0.057%,0.096%,0.346%,0.0%,0.024%,0.0%,0.404%,-0.37%,-16.161%,16.161%,0.068%,-0.058%,0.045%,-0.091%,0.075%,-0.106%,-0.622%,0.633%,0.259%,-0.259%,0.046%,-0.074%,0.0%,-0.0%,0.524%,-0.525%,0.059%,-0.059%,0.429%,-0.429%,0.021%,-0.021%,0.688%,-0.695%,-0.004%,0.004%,-0.038%,0.033%,1.984%,-2.113%,0.059%,-0.031%,0.176%,-0.183%,0.017%,0.0%,1.259%,-1.259%,0.855%,-1.013%,0.017%,-0.003%,0.0%,-0.0%,0.179%,0.0%,1.68%,-1.706%,0.105%,-0.105%,0.376%,-0.362%,0.016%,-0.016%,0.572%,-0.572%,-2.653%,8.157%,0.658%,-0.658%,-9.045%,9.045%,-2.147%,1.818%,0.391%,-0.391%,0.002%,-0.002%,0.194%,-0.178%,1.331%,-1.331%,-0.185%,0.221%,1.284%,-1.288%,4.582%,-4.503%,1.659%,-1.844%,0.372%,-0.309%,0.916%,-0.916%,-0.267%,0.224%,2.626%,-2.767%,2.8%,-2.8%

