#: table_doi: 10.17182/hepdata.78403.v1/t18
#: name: Table 18
#: description: Correlation matrix obtained from the fit combining the ATLAS and CMS data using the generic parameterisation with 23 parameters, $\sigma_i\cdot\mathrm{B}^f$ for each specific channel $i\to H\to f$. Only 20 parameters are shown because the other three, corresponding to the $H\to ZZ$ decay channel for the $WH$, $ZH$, and $ttH$ production processes, are not measured with a meaningful precision.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> HIGGS X
#: keyword observables: CORRELATION
#: keyword phrases: 
#: keyword cmenergies: 7000.0-8000.0
#: SQRT(S) [GEV],7000.0 TO 8000.0
$\sigma_i\cdot\mathrm{B}^f$,$\sigma_j\cdot\mathrm{B}^k$,Correlation
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,1
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.009
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.004
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.254
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.008
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.003
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.004
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.030
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$     ,0.002
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.004
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.136
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.004
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.004
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.013
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.007
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.009
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,1
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.029
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,-0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,-0.006
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,-0.263
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,-0.008
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,-0.005
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.005
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.009
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.005
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.006
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.007
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,-0.083
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,-0.020
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$ ,-0.016
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.004
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.029
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,1
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,-0.010
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.008
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,-0.163
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.004
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,-0.065
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.020
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.003
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,-0.072
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.013
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.014
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$ ,0.005
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$ ,-0.001
