1  345   400    4.36e−3     3.93
2  400   470    4.28e−3     4.52
3  470   550    2.58e−3     2.88
4  550   650    1.30e−3     2.94
5  650   800    5.24e−4     6.13
6  800  1100   1.29e−4    13.3
7  1100 1600  1.60e−5    35.8

    
    
