#: table_doi: 10.17182/hepdata.79410.v1/t14
#: name: Table 14
#: description: Electroweak correction factor to triple-differential dijet cross section
#: data_file: table_14.yaml
#: keyword observables: Electroweak correction factor
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,1.0 <= YSTAR < 2.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,0.0 <= YBOOST < 1.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,EWCORR
143.0,133.0,153.0,0.99778
163.5,153.0,174.0,0.99735
185.0,174.0,196.0,0.99688
208.0,196.0,220.0,0.99636
232.5,220.0,245.0,0.9958
258.5,245.0,272.0,0.99521
286.0,272.0,300.0,0.99458
315.0,300.0,330.0,0.99392
346.0,330.0,362.0,0.99323
378.5,362.0,395.0,0.99253
412.5,395.0,430.0,0.99181
449.0,430.0,468.0,0.9911
487.5,468.0,507.0,0.99038
527.5,507.0,548.0,0.98963
570.0,548.0,592.0,0.98896
615.0,592.0,638.0,0.98818
662.0,638.0,686.0,0.98748
711.5,686.0,737.0,0.98676
763.5,737.0,790.0,0.98605
818.0,790.0,846.0,0.9853
875.5,846.0,905.0,0.98446
936.0,905.0,967.0,0.98354
999.5,967.0,1032.0,0.98262
1066.5,1032.0,1101.0,0.98183
1136.5,1101.0,1172.0,0.98085
1210.0,1172.0,1248.0,0.97995

