#: table_doi: 10.17182/hepdata.80076.v1/t65
#: name: Table 65
#: description: Non-perturbative corrections for the differential cross sections for the production of W<sup>+</sup> bosons and W<sup>-</sup> bosons as a function of the H<sub> T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data65.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: NPC
#: keyword phrases: Inclusive | Non-perturbative Correction | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: ABS(YRAP(JET)),,,< 4.4
#: PT(JET) [GEV],,,> 30
#: SQRT(S) [GEV],,,8000.0
#: RE,,,P P --> W JET(S) X
#: Non-perturbative correction for cross section,,,W+ production
#: PT(LEPTON) [GEV],,,> 25
#: ABS(ETARAP(ELECTRON)),,,< 2.5
$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$c_{NPC}^{W^+}(H_\text{T})$,Stat +,Stat -,NumberOfPartons +,NumberOfPartons -,QFS +,QFS -,CSSKIN +,CSSKIN -,CSSEVO +,CSSEVO -
75.0,50.0,100.0,1.164,0.001,-0.001,-0.002,0.002,-0.006,0.003,0.045,-0.045,0.023,-0.023
125.0,100.0,150.0,1.025,0.0001,-0.0001,-0.002,0.002,-0.001,-0.006,0.007,-0.007,0.006,-0.006
175.0,150.0,200.0,1.035,0.0002,-0.0002,0.0001,-0.0001,-0.0003,-0.024,0.0003,-0.0003,-0.0002,0.0002
225.0,200.0,250.0,1.02,0.0002,-0.0002,-0.002,0.002,-0.0003,-0.015,-0.003,0.003,-0.0004,0.0004
275.0,250.0,300.0,1.007,0.0001,-0.0001,0.001,-0.001,0.007,-0.011,-0.001,0.001,0.004,-0.004
325.0,300.0,350.0,1.002,0.0002,-0.0002,0.007,-0.007,0.002,-0.005,0.003,-0.003,0.002,-0.002
375.0,350.0,400.0,0.9985,0.0003,-0.0003,0.0037,-0.0037,0.0171,-0.0036,0.0019,-0.0019,0.0036,-0.0036
425.0,400.0,450.0,0.9936,0.0008,-0.0008,-0.001,0.001,0.0096,0.0008,0.0075,-0.0075,0.0124,-0.0124
475.0,450.0,500.0,1.009,0.001,-0.001,-0.01,0.01,0.001,-0.021,-0.013,0.013,-0.015,0.015
525.0,500.0,550.0,1.014,0.001,-0.001,-0.003,0.003,-0.011,-0.029,-0.014,0.014,-0.008,0.008
575.0,550.0,600.0,0.9854,0.001,-0.001,0.016,-0.016,0.0121,0.0326,0.0052,-0.0052,0.0264,-0.0264
625.0,600.0,650.0,1.014,0.003,-0.003,-0.011,0.011,-0.032,-0.005,0.003,-0.003,-0.023,0.023
675.0,650.0,700.0,0.9931,0.0035,-0.0035,0.0134,-0.0134,-0.0155,0.0099,0.0326,-0.0326,0.0046,-0.0046
750.0,700.0,800.0,0.9823,0.0021,-0.0021,0.0137,-0.0137,0.0321,0.0155,0.0492,-0.0492,0.034,-0.034
