#: table_doi: 10.17182/hepdata.105912.v1/t17
#: name: Figure 5, $A_L$ for $W^+ \rightarrow e^+$, combined data samples
#: description: Longitudinal single-spin asymmetries, $A_L$, for $W^+$ production as a function of the lepton pseudorapidity, $\eta_e$ for the combined 2011+2012 and 2013 STAR data samples for 25 $< E_T^e <$ 50 GeV.
#: data_file: Fig5-Pos.yaml
#: keyword reactions: P P --> W
#: keyword observables: A_L
#: keyword observables: Longitudinal single-spin asymmetry
#: keyword cmenergies: 510.0
#: keyword phrases: POSITRON | RHIC | STAR
#: $\eta_e$,$W^{+} \rightarrow e^{+}$
$\eta_e$,$A_L$,stat +,stat -,syst +,syst -
-1.22,-0.312,0.145,-0.145,0.012,-0.012
-0.71,-0.251,0.03,-0.03,0.011,-0.011
-0.24,-0.331,0.023,-0.023,0.007,-0.007
0.25,-0.412,0.023,-0.023,0.005,-0.005
0.72,-0.534,0.029,-0.029,0.013,-0.013
1.22,-0.482,0.14,-0.14,0.014,-0.014

