#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#    50000.       60.        1.      0.00    100.00     21000         1         0         1      0.50
#      q2         x       y  thetae  thetaj        f2    sigrNC    nevent estat eunco esyst  etot eelen ethee ehadr radco egamp effic enoisx
       2. 0.00000020  0.8333  176.7    0.7   3.65876   3.65880  0.14E+11  0.10  0.50  1.17  1.27  0.02  0.08  0.17  0.30  1.00  0.50  0.00
       2. 0.00000050  0.3333  178.3    3.3   3.65876   3.65880  0.22E+11  0.10  0.50  0.62  0.80  0.02  0.14  0.15  0.30  0.00  0.50  0.00
       2. 0.00000085  0.1961  178.5    6.2   3.65876   3.65880  0.11E+11  0.10  0.50  0.61  0.79  0.02  0.16  0.09  0.30  0.00  0.50  0.00
       2. 0.00000200  0.0833  178.6   15.4   2.55899   2.55902  0.27E+11  0.10  0.50  0.73  0.88  0.05  0.38  0.21  0.30  0.00  0.50  0.00
       2. 0.00000500  0.0333  178.6   38.3   1.63468   1.63469  0.14E+11  0.10  0.50  0.83  0.97  0.06  0.56  0.18  0.30  0.00  0.50  0.00
       2. 0.00000850  0.0196  178.6   61.5   1.36712   1.36713  0.49E+10  0.10  0.50  0.87  1.01  0.07  0.63  0.15  0.30  0.00  0.50  0.00
       2. 0.00002000  0.0083  178.6  109.2   1.05922   1.05923  0.12E+11  0.10  0.50  1.85  1.92  0.08  0.70  0.13  0.30  0.00  0.50  1.61
       2. 0.00005000  0.0033  178.6  148.4   0.85115   0.85116  0.76E+10  0.10  0.50  2.13  2.18  0.08  0.75  0.11  0.30  0.00  0.50  1.90
       2. 0.00008500  0.0020  178.6  161.1   0.76217   0.76218  0.28E+10  0.10  0.50  2.28  2.34  0.09  0.77  0.10  0.30  0.00  0.50  2.06
       5. 0.00000050  0.8333  174.8    1.0   8.30409   8.30433  0.15E+11  0.10  0.50  1.17  1.28  0.03  0.09  0.18  0.30  1.00  0.50  0.00
       5. 0.00000085  0.4902  177.0    3.1   8.30409   8.30433  0.10E+11  0.10  0.50  0.62  0.80  0.03  0.13  0.18  0.30  0.00  0.50  0.00
       5. 0.00000200  0.2083  177.6    9.1   5.49769   5.49785  0.27E+11  0.10  0.50  0.78  0.93  0.09  0.47  0.20  0.30  0.00  0.50  0.00
       5. 0.00000500  0.0833  177.8   24.2   3.18775   3.18784  0.14E+11  0.10  0.50  0.78  0.92  0.08  0.46  0.20  0.30  0.00  0.50  0.00
       5. 0.00000850  0.0490  177.8   40.7   2.55745   2.55753  0.46E+10  0.10  0.50  0.76  0.91  0.08  0.44  0.19  0.30  0.00  0.50  0.00
       5. 0.00002000  0.0208  177.8   83.0   1.85422   1.85427  0.11E+11  0.10  0.50  0.74  0.89  0.07  0.42  0.16  0.30  0.00  0.50  0.00
       5. 0.00005000  0.0083  177.9  131.6   1.40671   1.40675  0.64E+10  0.10  0.50  1.76  1.83  0.07  0.41  0.13  0.30  0.00  0.50  1.61
       5. 0.00008500  0.0049  177.9  150.5   1.22442   1.22446  0.23E+10  0.10  0.50  1.92  1.98  0.07  0.41  0.12  0.30  0.00  0.50  1.77
       5. 0.00020000  0.0021  177.9  167.2   0.99916   0.99919  0.60E+10  0.10  0.50  2.17  2.23  0.07  0.42  0.11  0.30  0.00  0.50  2.04
      10. 0.00000200  0.4167  176.0    5.5   8.03486   8.03531  0.90E+10  0.10  0.50  0.68  0.85  0.11  0.31  0.12  0.30  0.00  0.50  0.00
      10. 0.00000500  0.1667  176.7   16.4   4.71073   4.71099  0.52E+10  0.10  0.50  0.70  0.86  0.10  0.34  0.16  0.30  0.00  0.50  0.00
      10. 0.00000850  0.0980  176.8   28.6   3.77657   3.77679  0.18E+10  0.10  0.50  0.70  0.86  0.09  0.33  0.16  0.30  0.00  0.50  0.00
      10. 0.00002000  0.0417  176.9   63.5   2.71642   2.71657  0.44E+10  0.10  0.50  0.69  0.85  0.08  0.32  0.16  0.30  0.00  0.50  0.00
      10. 0.00005000  0.0167  177.0  114.9   2.02194   2.02205  0.26E+10  0.10  0.50  0.68  0.84  0.08  0.31  0.14  0.30  0.00  0.50  0.00
      10. 0.00008500  0.0098  177.0  139.0   1.73410   1.73420  0.92E+09  0.10  0.50  1.70  1.77  0.08  0.31  0.13  0.30  0.00  0.50  1.56
      10. 0.00020000  0.0042  177.0  162.0   1.37628   1.37636  0.23E+10  0.10  0.50  1.95  2.01  0.08  0.32  0.13  0.30  0.00  0.50  1.83
      10. 0.00050000  0.0017  177.0  172.8   1.08788   1.08795  0.14E+10  0.10  0.50  2.22  2.28  0.09  0.33  0.12  0.30  0.00  0.50  2.11
      20. 0.00000200  0.8333  169.6    2.1  10.94737  10.94860  0.30E+10  0.10  0.50  1.19  1.29  0.12  0.20  0.12  0.30  1.00  0.50  0.00
      20. 0.00000500  0.3333  174.8   10.4   6.55204   6.55277  0.42E+10  0.10  0.50  0.64  0.81  0.10  0.23  0.09  0.30  0.00  0.50  0.00
      20. 0.00000850  0.1961  175.2   19.3   5.26520   5.26579  0.16E+10  0.10  0.50  0.65  0.82  0.10  0.24  0.12  0.30  0.00  0.50  0.00
      20. 0.00002000  0.0833  175.5   46.4   3.77686   3.77729  0.40E+10  0.10  0.50  0.65  0.82  0.09  0.24  0.14  0.30  0.00  0.50  0.00
      20. 0.00005000  0.0333  175.7   95.4   2.77114   2.77145  0.24E+10  0.10  0.50  0.65  0.82  0.09  0.24  0.14  0.30  0.00  0.50  0.00
      20. 0.00008500  0.0196  175.7  124.0   2.34743   2.34769  0.84E+09  0.10  0.50  0.65  0.82  0.09  0.24  0.14  0.30  0.00  0.50  0.00
      20. 0.00020000  0.0083  175.7  154.7   1.81838   1.81859  0.21E+10  0.10  0.50  1.74  1.81  0.09  0.25  0.14  0.30  0.00  0.50  1.61
      20. 0.00050000  0.0033  175.7  169.8   1.39438   1.39454  0.12E+10  0.10  0.50  2.01  2.07  0.09  0.26  0.14  0.30  0.00  0.50  1.90
      20. 0.00085000  0.0020  175.7  174.0   1.19870   1.19883  0.44E+09  0.10  0.50  2.17  2.22  0.10  0.27  0.14  0.30  0.00  0.50  2.06
      50. 0.00000500  0.8333  163.6    3.3   9.72410   9.72701  0.18E+10  0.10  0.50  1.17  1.27  0.10  0.11  0.05  0.30  1.00  0.50  0.00
      50. 0.00000850  0.4902  170.6    9.8   7.83102   7.83337  0.10E+10  0.10  0.50  0.61  0.79  0.10  0.14  0.03  0.30  0.00  0.50  0.00
      50. 0.00002000  0.2083  172.4   28.3   5.59370   5.59538  0.28E+10  0.10  0.50  0.62  0.79  0.10  0.16  0.08  0.30  0.00  0.50  0.00
      50. 0.00005000  0.0833  173.0   68.2   4.03221   4.03342  0.18E+10  0.10  0.50  0.63  0.80  0.10  0.17  0.13  0.30  0.00  0.50  0.00
      50. 0.00008500  0.0490  173.1   99.1   3.36549   3.36649  0.63E+09  0.10  0.50  0.63  0.81  0.10  0.17  0.14  0.30  0.00  0.50  0.00
      50. 0.00020000  0.0208  173.2  140.7   2.53267   2.53343  0.15E+10  0.10  0.50  0.64  0.81  0.10  0.18  0.15  0.30  0.00  0.50  0.00
      50. 0.00050000  0.0083  173.2  163.8   1.87297   1.87353  0.89E+09  0.10  0.50  1.73  1.80  0.10  0.19  0.16  0.30  0.00  0.50  1.61
      50. 0.00085000  0.0049  173.2  170.5   1.57355   1.57402  0.31E+09  0.10  0.50  1.89  1.95  0.10  0.19  0.16  0.30  0.00  0.50  1.77
      50. 0.00200000  0.0021  173.2  175.9   1.18833   1.18869  0.75E+09  0.10  0.50  2.14  2.20  0.11  0.20  0.16  0.30  0.00  0.50  2.04
     100. 0.00002000  0.4167  167.5   17.4   7.15640   7.16103  0.79E+09  0.10  0.50  0.60  0.78  0.11  0.09  0.02  0.30  0.00  0.50  0.00
     100. 0.00005000  0.1667  169.6   49.1   5.09724   5.10054  0.56E+09  0.10  0.50  0.61  0.79  0.10  0.12  0.09  0.30  0.00  0.50  0.00
     100. 0.00008500  0.0980  170.0   77.8   4.21424   4.21696  0.21E+09  0.10  0.50  0.62  0.80  0.11  0.12  0.13  0.30  0.00  0.50  0.00
     100. 0.00020000  0.0417  170.3  125.9   3.11420   3.11621  0.51E+09  0.10  0.50  0.63  0.80  0.11  0.13  0.15  0.30  0.00  0.50  0.00
     100. 0.00050000  0.0167  170.4  157.2   2.25131   2.25277  0.29E+09  0.10  0.50  0.63  0.81  0.11  0.13  0.17  0.30  0.00  0.50  0.00
     100. 0.00085000  0.0098  170.4  166.5   1.86439   1.86559  0.10E+09  0.10  0.50  1.68  1.75  0.11  0.14  0.17  0.30  0.00  0.50  1.56
     100. 0.00200000  0.0042  170.5  174.3   1.37296   1.37385  0.24E+09  0.10  0.50  1.93  2.00  0.12  0.14  0.18  0.30  0.00  0.50  1.83
     100. 0.00500000  0.0017  170.5  177.7   0.99125   0.99189  0.13E+09  0.10  0.50  2.21  2.26  0.12  0.15  0.17  0.30  0.00  0.50  2.11
     300. 0.00005000  0.5000  156.9   23.1   6.91612   6.93283  0.50E+09  0.10  0.50  1.16  1.27  0.11  0.06  0.02  0.30  1.00  0.50  0.00
     300. 0.00008500  0.2941  160.5   44.8   5.64480   5.65846  0.21E+09  0.10  0.50  0.60  0.78  0.11  0.07  0.07  0.30  0.00  0.50  0.00
     300. 0.00020000  0.1250  162.5   94.4   4.07164   4.08151  0.55E+09  0.10  0.50  0.61  0.79  0.12  0.08  0.12  0.30  0.00  0.50  0.00
     300. 0.00050000  0.0500  163.2  140.9   2.85696   2.86388  0.32E+09  0.10  0.50  0.62  0.80  0.12  0.09  0.17  0.30  0.00  0.50  0.00
     300. 0.00085000  0.0294  163.3  156.6   2.32165   2.32727  0.11E+09  0.10  0.50  0.63  0.80  0.12  0.09  0.18  0.30  0.00  0.50  0.00
     300. 0.00200000  0.0125  163.5  170.0   1.65413   1.65812  0.26E+09  0.10  0.50  0.63  0.81  0.12  0.09  0.19  0.30  0.00  0.50  0.00
     300. 0.00500000  0.0050  163.5  176.0   1.14842   1.15117  0.14E+09  0.10  0.50  1.88  1.94  0.13  0.10  0.19  0.30  0.00  0.50  1.77
     300. 0.00850000  0.0029  163.5  177.7   0.93283   0.93506  0.46E+08  0.10  0.50  2.04  2.10  0.13  0.10  0.19  0.30  0.00  0.50  1.94
    1000. 0.00020000  0.4167  141.9   51.6   5.14369   5.20771  0.11E+09  0.10  0.50  0.60  0.78  0.12  0.04  0.03  0.30  0.00  0.50  0.00
    1000. 0.00050000  0.1667  147.8  110.6   3.51415   3.55796  0.77E+08  0.10  0.50  0.61  0.79  0.13  0.05  0.12  0.30  0.00  0.50  0.00
    1000. 0.00085000  0.0980  149.0  137.2   2.80821   2.84321  0.28E+08  0.10  0.50  0.62  0.80  0.13  0.05  0.16  0.30  0.00  0.50  0.00
    1000. 0.00200000  0.0417  149.9  161.7   1.94285   1.96700  0.64E+08  0.10  0.50  0.63  0.80  0.13  0.05  0.19  0.30  0.00  0.50  0.00
    1000. 0.00500000  0.0167  150.2  172.7   1.30271   1.31881  0.34E+08  0.10  0.50  0.64  0.81  0.13  0.05  0.21  0.30  0.00  0.50  0.00
    1000. 0.00850000  0.0098  150.3  175.7   1.03531   1.04803  0.11E+08  0.10  0.50  1.68  1.75  0.13  0.05  0.21  0.30  0.00  0.50  1.56
