#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#    50000.       60.        1.      0.00    100.00     21000         0         1         1      0.50
#     q2         x       y  thetaj    sigrCC    nevent   estat   eunco   esyst    etot
     100. 0.00002000 0.41667  17.4  17.50410  0.36E+06    0.17    0.50    2.00    2.07
     100. 0.00005000 0.16667  49.1  16.41005  0.27E+06    0.19    0.50    2.00    2.07
     100. 0.00008500 0.09804  77.8  14.65262  0.10E+06    0.31    0.50    2.00    2.09
     100. 0.00020000 0.04167 125.9  11.51781  0.25E+06    0.20    0.50    2.00    2.07
     100. 0.00050000 0.01667 157.2   8.53688  0.14E+06    0.26    0.50    2.00    2.08
     100. 0.00085000 0.00980 166.5   7.10617  0.49E+05    0.45    0.50    2.00    2.11
     100. 0.00200000 0.00417 174.3   5.23541  0.12E+06    0.29    0.50    2.00    2.08
     100. 0.00500000 0.00167 177.7   3.74892  0.63E+05    0.40    0.50    2.00    2.10
     300. 0.00005000 0.50000  23.1  15.53738  0.16E+07    0.08    0.50    2.00    2.06
     300. 0.00008500 0.29412  44.8  15.84097  0.78E+06    0.11    0.50    2.00    2.06
     300. 0.00020000 0.12500  94.4  13.85412  0.22E+07    0.07    0.50    2.00    2.06
     300. 0.00050000 0.05000 140.9  10.56173  0.13E+07    0.09    0.50    2.00    2.06
     300. 0.00085000 0.02941 156.6   8.76267  0.45E+06    0.15    0.50    2.00    2.07
     300. 0.00200000 0.01250 170.0   6.32323  0.10E+07    0.10    0.50    2.00    2.06
     300. 0.00500000 0.00500 176.0   4.37369  0.55E+06    0.14    0.50    2.00    2.07
     300. 0.00850000 0.00294 177.7   3.51651  0.18E+06    0.24    0.50    2.00    2.07
    1000. 0.00020000 0.41667  51.6  12.59817  0.37E+07    0.05    0.50    2.00    2.06
    1000. 0.00050000 0.16667 110.6  11.42530  0.31E+07    0.06    0.50    2.00    2.06
    1000. 0.00085000 0.09804 137.2   9.86500  0.11E+07    0.09    0.50    2.00    2.06
    1000. 0.00200000 0.04167 161.7   7.23858  0.26E+07    0.06    0.50    2.00    2.06
    1000. 0.00500000 0.01667 172.7   4.93202  0.14E+07    0.09    0.50    2.00    2.06
    1000. 0.00850000 0.00980 175.7   3.89881  0.45E+06    0.15    0.50    2.00    2.07
    1000. 0.03000000 0.00278 178.8   2.16795  0.12E+07    0.09    0.50    2.00    2.06
    3000. 0.00050000 0.50000  65.7   9.15765  0.39E+07    0.05    0.50    2.00    2.06
    3000. 0.00085000 0.29412 105.0   9.05540  0.18E+07    0.07    0.50    2.00    2.06
    3000. 0.00200000 0.12500 147.4   7.42173  0.48E+07    0.05    0.50    2.00    2.06
    3000. 0.00500000 0.05000 167.2   5.22304  0.26E+07    0.06    0.50    2.00    2.06
    3000. 0.00850000 0.02941 172.5   4.12522  0.86E+06    0.11    0.50    2.00    2.06
    3000. 0.03000000 0.00833 177.9   2.22867  0.23E+07    0.07    0.50    2.00    2.06
    3000. 0.10000000 0.00250 179.4   1.09047  0.70E+06    0.12    0.50    2.00    2.07
   10000. 0.00200000 0.41667 113.6   5.88339  0.36E+07    0.05    0.50    2.00    2.06
   10000. 0.00500000 0.16667 155.3   4.94506  0.26E+07    0.06    0.50    2.00    2.06
   10000. 0.00850000 0.09804 165.9   4.07137  0.90E+06    0.11    0.50    2.00    2.06
   10000. 0.03000000 0.02778 176.1   2.23593  0.25E+07    0.06    0.50    2.00    2.06
   10000. 0.10000000 0.00833 178.8   1.06161  0.78E+06    0.11    0.50    2.00    2.06
   10000. 0.20000000 0.00417 179.4   0.55576  0.15E+06    0.26    0.50    2.00    2.08
   30000. 0.00500000 0.50000 127.8   3.56161  0.10E+07    0.10    0.50    2.00    2.06
   30000. 0.00850000 0.29412 152.7   3.36727  0.44E+06    0.15    0.50    2.00    2.07
   30000. 0.03000000 0.08333 173.1   2.11906  0.13E+07    0.09    0.50    2.00    2.06
   30000. 0.10000000 0.02500 178.0   1.01703  0.45E+06    0.15    0.50    2.00    2.07
   30000. 0.20000000 0.01250 179.0   0.52364  0.13E+06    0.27    0.50    2.00    2.08
  100000. 0.03000000 0.27778 165.9   1.65528  0.41E+06    0.16    0.50    2.00    2.07
  100000. 0.10000000 0.08333 176.2   0.91083  0.16E+06    0.25    0.50    2.00    2.08
  100000. 0.20000000 0.04167 178.1   0.47517  0.50E+05    0.45    0.50    2.00    2.11
  100000. 0.40000001 0.02083 179.1   0.11256  0.58E+04    1.32    0.50    3.33    3.62
  100000. 0.60000002 0.01389 179.4   0.01239  0.34E+03    5.41    0.50    6.00    8.10
  300000. 0.03000000 0.83333 131.8   0.89207  0.27E+05    0.61    0.50    2.00    2.15
  300000. 0.10000000 0.25000 172.8   0.68100  0.40E+05    0.50    0.50    2.00    2.12
  300000. 0.20000000 0.12500 176.6   0.39325  0.14E+05    0.84    0.50    2.00    2.22
  300000. 0.40000001 0.06250 178.4   0.09617  0.17E+04    2.43    0.50    3.33    4.16
  300000. 0.60000002 0.04167 178.9   0.01046  0.99E+02   10.05    0.50    6.00   11.72
  300000. 0.80000001 0.03125 179.2   0.00018  0.17E+02   24.35    0.50    8.67   25.85
 1000000. 0.10000000 0.83333 152.5   0.26474  0.42E+04    1.55    0.50    2.00    2.58
 1000000. 0.20000000 0.41667 172.5   0.20917  0.25E+04    2.01    0.50    2.00    2.88
 1000000. 0.40000001 0.20833 176.8   0.06563  0.34E+03    5.45    0.50    3.33    6.40
 1000000. 0.60000002 0.13889 177.9   0.00760  0.20E+02   22.12    0.50    6.00   22.93
 2000000. 0.20000000 0.83333 160.3   0.08399  0.51E+03    4.44    0.50    2.00    4.90
 2000000. 0.40000001 0.41667 174.7   0.03769  0.98E+02   10.09    0.50    3.33   10.64
 2000000. 0.60000002 0.27778 176.8   0.00515  0.66E+01   38.83    0.50    6.00   39.30
 3000000. 0.40000001 0.62500 171.9   0.01967  0.15E+02   26.15    0.50    3.33   26.37
