#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#     7000.       60.        1.      0.00    100.00     21000         1         0         1      0.50
#      q2         x       y  thetae  thetaj        f2    sigrNC    nevent estat eunco esyst  etot eelen ethee ehadr radco egamp effic enois
       2. 0.00000200  0.5952  177.9    1.4   2.55899   2.55902  0.15E+11  0.10  0.50  1.19  1.29  0.05  0.27  0.07  0.30  1.00  0.50  0.00
       2. 0.00000500  0.2381  178.5    4.9   1.63468   1.63469  0.11E+11  0.10  0.50  0.78  0.92  0.06  0.50  0.07  0.30  0.00  0.50  0.00
       2. 0.00000850  0.1401  178.5    8.9   1.36712   1.36713  0.44E+10  0.10  0.50  0.84  0.98  0.07  0.60  0.10  0.30  0.00  0.50  0.00
       2. 0.00002000  0.0595  178.6   21.7   1.05922   1.05923  0.12E+11  0.10  0.50  0.90  1.03  0.08  0.68  0.10  0.30  0.00  0.50  0.00
       2. 0.00005000  0.0238  178.6   52.1   0.85115   0.85116  0.74E+10  0.10  0.50  0.95  1.08  0.08  0.74  0.10  0.30  0.00  0.50  0.00
       2. 0.00008500  0.0140  178.6   79.8   0.76217   0.76218  0.28E+10  0.10  0.50  0.97  1.09  0.09  0.77  0.09  0.30  0.00  0.50  0.00
       2. 0.00020000  0.0060  178.6  126.3   0.64789   0.64790  0.75E+10  0.10  0.50  1.98  2.04  0.09  0.79  0.09  0.30  0.00  0.50  1.71
       2. 0.00050000  0.0024  178.6  157.1   0.55182   0.55183  0.49E+10  0.10  0.50  2.24  2.29  0.09  0.80  0.08  0.30  0.00  0.50  2.00
       2. 0.00085000  0.0014  178.6  166.4   0.50554   0.50554  0.16E+10  0.10  0.50  2.38  2.43  0.09  0.78  0.08  0.30  0.00  0.50  2.17
       5. 0.00000500  0.5952  176.6    2.3   3.18775   3.18784  0.81E+10  0.10  0.50  1.20  1.30  0.08  0.32  0.06  0.30  1.00  0.50  0.00
