#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#     7000.       60.       -1.     -0.80   1000.00     21000         0         1         1      0.50
#      q2         x       y  thetaj    sigrCC    nevent   estat   eunco   esyst    etot
     100. 0.00008500 0.70028   7.5  14.46571  0.10E+07    0.10    0.50    2.00    2.06
     100. 0.00020000 0.29762  26.4  15.64713  0.33E+07    0.06    0.50    2.00    2.06
     100. 0.00050000 0.11905  66.6  13.81119  0.23E+07    0.07    0.50    2.00    2.06
     100. 0.00085000 0.07003  97.9  12.08421  0.84E+06    0.11    0.50    2.00    2.06
     100. 0.00200000 0.02976 140.1   9.30688  0.20E+07    0.07    0.50    2.00    2.06
     100. 0.00500000 0.01190 163.6   6.85494  0.12E+07    0.09    0.50    2.00    2.06
     100. 0.00850000 0.00700 170.4   5.74348  0.40E+06    0.16    0.50    2.00    2.07
     100. 0.02000000 0.00298 175.9   4.40496  0.97E+06    0.10    0.50    2.00    2.06
     100. 0.05000000 0.00119 178.4   3.48293  0.43E+06    0.15    0.50    2.00    2.07
     200. 0.00020000 0.59524  14.4  13.83781  0.63E+07    0.04    0.50    2.00    2.06
     200. 0.00050000 0.23810  46.7  14.21788  0.59E+07    0.04    0.50    2.00    2.06
     200. 0.00085000 0.14006  75.9  12.99375  0.23E+07    0.07    0.50    2.00    2.06
     200. 0.00200000 0.05952 125.0  10.25015  0.57E+07    0.04    0.50    2.00    2.06
     200. 0.00500000 0.02381 156.9   7.50187  0.32E+07    0.06    0.50    2.00    2.06
     200. 0.00850000 0.01401 166.4   6.21519  0.11E+07    0.10    0.50    2.00    2.06
     200. 0.02000000 0.00595 174.2   4.65126  0.26E+07    0.06    0.50    2.00    2.06
     200. 0.05000000 0.00238 177.7   3.56519  0.15E+07    0.08    0.50    2.00    2.06
     200. 0.08500000 0.00140 178.6   3.09284  0.80E+06    0.11    0.50    2.00    2.06
     500. 0.00050000 0.59524  22.5  11.72302  0.12E+08    0.03    0.50    2.00    2.06
     500. 0.00085000 0.35014  46.4  12.12837  0.50E+07    0.04    0.50    2.00    2.06
     500. 0.00200000 0.14881  98.2  10.70008  0.13E+08    0.03    0.50    2.00    2.06
     500. 0.00500000 0.05952 143.5   8.08371  0.78E+07    0.04    0.50    2.00    2.06
     500. 0.00850000 0.03501 158.3   6.68273  0.27E+07    0.06    0.50    2.00    2.06
     500. 0.02000000 0.01488 170.8   4.90544  0.63E+07    0.04    0.50    2.00    2.06
     500. 0.05000000 0.00595 176.3   3.64249  0.35E+07    0.05    0.50    2.00    2.06
     500. 0.08500000 0.00350 177.8   3.09440  0.25E+07    0.06    0.50    2.00    2.06
     500. 0.20000000 0.00149 179.1   2.14251  0.10E+07    0.10    0.50    2.00    2.06
    1000. 0.00085000 0.70028  23.3   9.68732  0.64E+07    0.04    0.50    2.00    2.06
    1000. 0.00200000 0.29762  73.2   9.93026  0.20E+08    0.02    0.50    2.00    2.06
    1000. 0.00500000 0.11905 128.6   8.14559  0.13E+08    0.03    0.50    2.00    2.06
    1000. 0.00850000 0.07003 149.2   6.84045  0.44E+07    0.05    0.50    2.00    2.06
    1000. 0.02000000 0.02976 166.9   5.02666  0.10E+08    0.03    0.50    2.00    2.06
    1000. 0.05000000 0.01190 174.8   3.67635  0.57E+07    0.04    0.50    2.00    2.06
    1000. 0.08500000 0.00700 176.9   3.08458  0.39E+07    0.05    0.50    2.00    2.06
    1000. 0.20000000 0.00298 178.7   2.08235  0.19E+07    0.07    0.50    2.00    2.06
    1000. 0.30000001 0.00198 179.1   1.44852  0.89E+06    0.11    0.50    2.00    2.06
    1000. 0.40000001 0.00149 179.4   0.92396  0.43E+06    0.15    0.50    3.33    3.37
    1000. 0.50000000 0.00119 179.5   0.51945  0.11E+06    0.30    0.50    4.67    4.70
    2000. 0.00200000 0.59524  43.4   7.96894  0.24E+08    0.02    0.50    2.00    2.06
    2000. 0.00500000 0.23810 107.6   7.62687  0.20E+08    0.02    0.50    2.00    2.06
    2000. 0.00850000 0.14006 135.9   6.69697  0.74E+07    0.04    0.50    2.00    2.06
    2000. 0.02000000 0.05952 161.3   5.05103  0.18E+08    0.02    0.50    2.00    2.06
    2000. 0.05000000 0.02381 172.6   3.68299  0.98E+07    0.03    0.50    2.00    2.06
    2000. 0.08500000 0.01401 175.7   3.06369  0.66E+07    0.04    0.50    2.00    2.06
    2000. 0.20000000 0.00595 178.2   2.02476  0.32E+07    0.06    0.50    2.00    2.06
    2000. 0.30000001 0.00397 178.8   1.38684  0.15E+07    0.08    0.50    2.00    2.06
    2000. 0.40000001 0.00298 179.1   0.87138  0.68E+06    0.12    0.50    3.33    3.37
    2000. 0.50000000 0.00238 179.3   0.48240  0.30E+06    0.18    0.50    4.67    4.70
    2000. 0.60000002 0.00198 179.4   0.22330  0.12E+06    0.29    0.50    6.00    6.03
    2000. 0.69999999 0.00170 179.5   0.07873  0.20E+05    0.70    0.50    7.33    7.38
    5000. 0.00500000 0.59524  64.4   5.77970  0.24E+08    0.02    0.50    2.00    2.06
    5000. 0.00850000 0.35014 107.2   5.73085  0.98E+07    0.03    0.50    2.00    2.06
    5000. 0.02000000 0.14881 149.4   4.81883  0.25E+08    0.02    0.50    2.00    2.06
    5000. 0.05000000 0.05952 168.1   3.62432  0.14E+08    0.03    0.50    2.00    2.06
    5000. 0.08500000 0.03501 173.1   3.01045  0.97E+07    0.03    0.50    2.00    2.06
    5000. 0.20000000 0.01488 177.1   1.95126  0.47E+07    0.05    0.50    2.00    2.06
    5000. 0.30000001 0.00992 178.1   1.31286  0.21E+07    0.07    0.50    2.00    2.06
    5000. 0.40000001 0.00744 178.5   0.81012  0.96E+06    0.10    0.50    3.33    3.37
    5000. 0.50000000 0.00595 178.8   0.44014  0.42E+06    0.15    0.50    4.67    4.70
    5000. 0.60000002 0.00496 179.0   0.19967  0.16E+06    0.25    0.50    6.00    6.03
    5000. 0.69999999 0.00425 179.2   0.06879  0.49E+05    0.45    0.50    7.33    7.36
    5000. 0.80000001 0.00372 179.3   0.01454  0.10E+05    0.99    0.50    8.67    8.74
   10000. 0.00850000 0.70028  66.2   4.45053  0.67E+07    0.04    0.50    2.00    2.06
   10000. 0.02000000 0.29762 133.8   4.30860  0.19E+08    0.02    0.50    2.00    2.06
   10000. 0.05000000 0.11905 162.7   3.48959  0.12E+08    0.03    0.50    2.00    2.06
   10000. 0.08500000 0.07003 170.0   2.93592  0.83E+07    0.03    0.50    2.00    2.06
   10000. 0.20000000 0.02976 175.8   1.89561  0.40E+07    0.05    0.50    2.00    2.06
   10000. 0.30000001 0.01984 177.2   1.26152  0.17E+07    0.08    0.50    2.00    2.06
   10000. 0.40000001 0.01488 177.9   0.76889  0.79E+06    0.11    0.50    3.33    3.37
   10000. 0.50000000 0.01190 178.4   0.41234  0.34E+06    0.17    0.50    4.67    4.70
   10000. 0.60000002 0.00992 178.6   0.18443  0.13E+06    0.28    0.50    6.00    6.03
   10000. 0.69999999 0.00850 178.8   0.06251  0.38E+05    0.51    0.50    7.33    7.37
   10000. 0.80000001 0.00744 179.0   0.01294  0.78E+04    1.14    0.50    8.67    8.75
   20000. 0.02000000 0.59524 103.1   3.48531  0.12E+08    0.03    0.50    2.00    2.06
   20000. 0.05000000 0.23810 153.9   3.22216  0.92E+07    0.03    0.50    2.00    2.06
   20000. 0.08500000 0.14006 165.4   2.80788  0.66E+07    0.04    0.50    2.00    2.06
   20000. 0.20000000 0.05952 174.0   1.83677  0.32E+07    0.06    0.50    2.00    2.06
   20000. 0.30000001 0.03968 176.1   1.21291  0.14E+07    0.08    0.50    2.00    2.06
   20000. 0.40000001 0.02976 177.1   0.73129  0.63E+06    0.13    0.50    3.33    3.37
   20000. 0.50000000 0.02381 177.7   0.38749  0.27E+06    0.19    0.50    4.67    4.70
   20000. 0.60000002 0.01984 178.1   0.17103  0.99E+05    0.32    0.50    6.00    6.03
   20000. 0.69999999 0.01701 178.3   0.05709  0.29E+05    0.59    0.50    7.33    7.37
   20000. 0.80000001 0.01488 178.5   0.01159  0.58E+04    1.32    0.50    8.67    8.78
   50000. 0.05000000 0.59524 126.7   2.62967  0.53E+07    0.04    0.50    2.00    2.06
   50000. 0.08500000 0.35014 153.8   2.50588  0.42E+07    0.05    0.50    2.00    2.06
   50000. 0.20000000 0.14881 170.1   1.74565  0.21E+07    0.07    0.50    2.00    2.06
   50000. 0.30000001 0.09921 173.6   1.15066  0.90E+06    0.11    0.50    2.00    2.06
   50000. 0.40000001 0.07440 175.2   0.68597  0.40E+06    0.16    0.50    3.33    3.37
   50000. 0.50000000 0.05952 176.2   0.35831  0.17E+06    0.24    0.50    4.67    4.70
   50000. 0.60000002 0.04960 176.9   0.15563  0.62E+05    0.40    0.50    6.00    6.03
   50000. 0.69999999 0.04252 177.3   0.05098  0.18E+05    0.74    0.50    7.33    7.39
   50000. 0.80000001 0.03720 177.7   0.01011  0.35E+04    1.69    0.50    8.67    8.84
  100000. 0.08500000 0.70028 128.2   2.19991  0.17E+07    0.08    0.50    2.00    2.06
  100000. 0.20000000 0.29762 164.7   1.65802  0.90E+06    0.11    0.50    2.00    2.06
  100000. 0.30000001 0.19841 170.4   1.10266  0.40E+06    0.16    0.50    2.00    2.07
  100000. 0.40000001 0.14881 173.0   0.65402  0.18E+06    0.24    0.50    3.33    3.38
  100000. 0.50000000 0.11905 174.5   0.33849  0.73E+05    0.37    0.50    4.67    4.71
  100000. 0.60000002 0.09921 175.5   0.14539  0.27E+05    0.61    0.50    6.00    6.05
  100000. 0.69999999 0.08503 176.1   0.04700  0.76E+04    1.15    0.50    7.33    7.44
  100000. 0.80000001 0.07440 176.6   0.00916  0.14E+04    2.64    0.50    8.67    9.07
  200000. 0.20000000 0.59524 151.8   1.55525  0.46E+06    0.15    0.50    2.00    2.07
  200000. 0.30000001 0.39683 164.4   1.05198  0.21E+06    0.22    0.50    2.00    2.07
  200000. 0.40000001 0.29762 169.1   0.62320  0.92E+05    0.33    0.50    3.33    3.39
  200000. 0.50000000 0.23810 171.6   0.32013  0.38E+05    0.51    0.50    4.67    4.72
  200000. 0.60000002 0.19841 173.2   0.13614  0.14E+05    0.86    0.50    6.00    6.08
