#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#     7000.       60.       -1.      0.80    300.00     21000         1         0         1      0.50
#     q2         x       y  thetae  thetaj        f2    sigrNC    nevent estat eunco esyst  etot eelen ethee ehadr radco egamp effic enois
2. 0.00000200  0.5952  177.9    1.4   2.55899   2.55867  0.45E+11  0.10  0.50  1.19  1.29  0.05  0.27  0.07  0.30  1.00  0.50  0.00
2. 0.00000500  0.2381  178.5    4.9   1.63468   1.63448  0.34E+11  0.10  0.50  0.78  0.92  0.06  0.50  0.07  0.30  0.00  0.50  0.00
2. 0.00000850  0.1401  178.5    8.9   1.36712   1.36695  0.13E+11  0.10  0.50  0.84  0.98  0.07  0.60  0.10  0.30  0.00  0.50  0.00
2. 0.00002000  0.0595  178.6   21.7   1.05922   1.05909  0.35E+11  0.10  0.50  0.90  1.03  0.08  0.68  0.10  0.30  0.00  0.50  0.00
2. 0.00005000  0.0238  178.6   52.1   0.85115   0.85105  0.22E+11  0.10  0.50  0.95  1.08  0.08  0.74  0.10  0.30  0.00  0.50  0.00
2. 0.00008500  0.0140  178.6   79.8   0.76217   0.76208  0.84E+10  0.10  0.50  0.97  1.09  0.09  0.77  0.09  0.30  0.00  0.50  0.00
2. 0.00020000  0.0060  178.6  126.3   0.64789   0.64781  0.22E+11  0.10  0.50  1.98  2.04  0.09  0.79  0.09  0.30  0.00  0.50  1.71
2. 0.00050000  0.0024  178.6  157.1   0.55182   0.55176  0.15E+11  0.10  0.50  2.24  2.29  0.09  0.80  0.08  0.30  0.00  0.50  2.00
2. 0.00085000  0.0014  178.6  166.4   0.50554   0.50548  0.49E+10  0.10  0.50  2.38  2.43  0.09  0.78  0.08  0.30  0.00  0.50  2.17
5. 0.00000500  0.5952  176.6    2.3   3.18775   3.18684  0.24E+11  0.10  0.50  1.20  1.30  0.08  0.32  0.06  0.30  1.00  0.50  0.00
5. 0.00000850  0.3501  177.4    4.9   2.55745   2.55672  0.11E+11  0.10  0.50  0.70  0.86  0.08  0.37  0.06  0.30  0.00  0.50  0.00
5. 0.00002000  0.1488  177.7   13.2   1.85422   1.85369  0.29E+11  0.10  0.50  0.71  0.87  0.07  0.39  0.09  0.30  0.00  0.50  0.00
5. 0.00005000  0.0595  177.8   33.8   1.40671   1.40631  0.18E+11  0.10  0.50  0.72  0.87  0.07  0.40  0.11  0.30  0.00  0.50  0.00
5. 0.00008500  0.0350  177.8   55.2   1.22442   1.22407  0.68E+10  0.10  0.50  0.72  0.88  0.07  0.41  0.11  0.30  0.00  0.50  0.00
5. 0.00020000  0.0149  177.8  102.4   0.99916   0.99887  0.18E+11  0.10  0.50  0.73  0.88  0.07  0.42  0.10  0.30  0.00  0.50  0.00
5. 0.00050000  0.0060  177.9  144.5   0.81692   0.81669  0.11E+11  0.10  0.50  1.87  1.93  0.08  0.44  0.10  0.30  0.00  0.50  1.71
5. 0.00085000  0.0035  177.9  158.7   0.73107   0.73086  0.42E+10  0.10  0.50  2.02  2.09  0.08  0.46  0.10  0.30  0.00  0.50  1.88
5. 0.00200000  0.0015  177.9  170.9   0.61587   0.61569  0.10E+11  0.10  0.50  2.28  2.33  0.08  0.47  0.09  0.30  0.00  0.50  2.15
10. 0.00000850  0.7003  174.5    2.4   3.77657   3.77447  0.34E+10  0.10  0.50  1.18  1.28  0.09  0.19  0.04  0.30  1.00  0.50  0.00
10. 0.00002000  0.2976  176.4    8.5   2.71642   2.71491  0.99E+10  0.10  0.50  0.65  0.82  0.08  0.27  0.03  0.30  0.00  0.50  0.00
10. 0.00005000  0.1190  176.8   23.5   2.02194   2.02081  0.69E+10  0.10  0.50  0.66  0.83  0.08  0.29  0.09  0.30  0.00  0.50  0.00
10. 0.00008500  0.0700  176.9   39.9   1.73410   1.73313  0.26E+10  0.10  0.50  0.67  0.84  0.08  0.30  0.10  0.30  0.00  0.50  0.00
10. 0.00020000  0.0298  176.9   82.2   1.37628   1.37551  0.67E+10  0.10  0.50  0.68  0.84  0.08  0.31  0.11  0.30  0.00  0.50  0.00
10. 0.00050000  0.0119  177.0  131.1   1.08788   1.08727  0.41E+10  0.10  0.50  0.69  0.85  0.09  0.33  0.12  0.30  0.00  0.50  0.00
10. 0.00085000  0.0070  177.0  150.1   0.95329   0.95276  0.15E+10  0.10  0.50  1.80  1.87  0.09  0.34  0.12  0.30  0.00  0.50  1.66
10. 0.00200000  0.0030  177.0  167.1   0.77452   0.77409  0.39E+10  0.10  0.50  2.05  2.11  0.09  0.36  0.12  0.30  0.00  0.50  1.93
10. 0.00500000  0.0012  177.0  174.8   0.62744   0.62709  0.17E+10  0.10  0.50  2.33  2.38  0.10  0.37  0.11  0.30  0.00  0.50  2.22
20. 0.00002000  0.5952  173.3    4.6   3.77686   3.77272  0.68E+10  0.10  0.50  1.17  1.27  0.09  0.16  0.01  0.30  1.00  0.50  0.00
20. 0.00005000  0.2381  175.1   15.6   2.77114   2.76810  0.57E+10  0.10  0.50  0.63  0.80  0.09  0.22  0.04  0.30  0.00  0.50  0.00
20. 0.00008500  0.1401  175.4   27.7   2.34743   2.34485  0.22E+10  0.10  0.50  0.64  0.81  0.09  0.23  0.09  0.30  0.00  0.50  0.00
20. 0.00020000  0.0595  175.6   62.5   1.81838   1.81638  0.59E+10  0.10  0.50  0.65  0.82  0.09  0.24  0.11  0.30  0.00  0.50  0.00
20. 0.00050000  0.0238  175.7  114.2   1.39438   1.39284  0.36E+10  0.10  0.50  0.66  0.83  0.09  0.26  0.13  0.30  0.00  0.50  0.00
