THPREDICTIONS LHeC160NCEM  NNPDF31sx_nnlonllx_as_0118
0    0                   0
1    0                   0
2    0                   0
3    0                   0
4    0                   0
5    0                   0
6    0                   0
7    0                   0
8    1.21073             0.0559338
9    1.12213             0.0248117
10   0.959285            0.0105931
11   0.802307            0.00958913
12   0.72377             0.0088057
13   0.612774            0.00692446
14   0.514061            0.00724234
15   0.469816            0.0078318
16   0.414669            0.00766769
17   1.42471             0.0608772
18   1.46768             0.0395792
19   1.26721             0.015147
20   1.04147             0.0086521
21   0.927303            0.00751418
22   0.765767            0.00668501
23   0.622753            0.00618002
24   0.555517            0.00662456
25   0.468853            0.00627571
26   1.60975             0.020709
27   1.31929             0.0111018
28   1.1593              0.00871897
29   0.933118            0.00725307
30   0.73561             0.00576941
31   0.642137            0.00590154
32   0.521394            0.00538219
33   0.431868            0.00454965
34   1.6969              0.0152907
35   1.48799             0.0116625
36   1.1657              0.00840075
37   0.885035            0.00574684
38   0.753671            0.00547184
39   0.585481            0.00468877
40   0.459078            0.00401495
41   0.403461            0.0033735
42   0.319501            0.00275247
43   1.79911             0.0155314
44   1.70185             0.0133451
45   1.33943             0.00924286
46   0.994881            0.0059103
47   0.833948            0.00536129
48   0.629366            0.00436956
49   0.476267            0.00375275
50   0.409761            0.00321906
51   0.311891            0.00259275
52   0.233095            0.00256355
53   0.15702             0.00192427
54   1.48957             0.00985341
55   1.09878             0.00615291
56   0.908906            0.00537123
57   0.669104            0.00416243
58   0.490829            0.00355008
59   0.414489            0.00307827
60   0.304626            0.00245042
61   0.222471            0.00233416
62   0.146473            0.00173691
63   0.083368            0.00141192
64   0.0398545           0.00106603
65   0.0146776           0.000694645
66   0.00378223          0.000647719
67   1.21391             0.00644093
68   0.999461            0.00549527
69   0.716912            0.00401994
70   0.507912            0.00334884
71   0.419724            0.00293178
72   0.295985            0.00229423
73   0.210322            0.00211019
74   0.134761            0.00155182
75   0.0746112           0.00128296
76   0.0345736           0.000900977
77   0.0122761           0.000571234
78   0.00301933          0.000556209
79   1.22359             0.00630101
80   1.05464             0.00562256
81   0.753667            0.00401583
82   0.521935            0.00325393
83   0.425088            0.00287005
84   0.291229            0.00221079
85   0.202978            0.0019854
86   0.127614            0.00144287
87   0.0693169           0.00119816
88   0.0314493           0.00080265
89   0.0109116           0.000502852
90   0.00261173          0.000501629
91   0.80007             0.00430706
92   0.545017            0.00326083
93   0.437265            0.00290294
94   0.290592            0.00218727
95   0.198564            0.00190574
96   0.122523            0.00135558
97   0.0653454           0.00112242
98   0.0290686           0.000725057
99   0.00988791          0.000454155
100  0.00231777          0.000457297
101  0.622334            0.00403427
102  0.486888            0.0034721
103  0.30596             0.0024118
104  0.202314            0.00193971
105  0.12137             0.0012847
106  0.0631087           0.00103928
107  0.027364            0.000662086
108  0.00912417          0.000427836
109  0.00210975          0.000417202
110  0.744483            0.00677818
111  0.583428            0.0053913
112  0.342396            0.0031393
113  0.218116            0.00223749
114  0.127164            0.00133867
115  0.0646194           0.00101887
116  0.0274393           0.000678664
117  0.00905717          0.000466784
118  0.00210094          0.000417677
119  0.416791            0.00507701
120  0.251323            0.00313797
121  0.140756            0.00170632
122  0.0694452           0.00114227
123  0.0287636           0.000843204
124  0.00942018          0.000638361
125  0.00221345          0.000496558
126  0.339925            0.00633795
127  0.179398            0.00344392
128  0.0839677           0.00201304
129  0.0332607           0.00165954
130  0.0107734           0.00138826
131  0.00260751          0.000926579
132  0.10336             0.003532
133  0.0405062           0.00317173
134  0.0131566           0.00279928
135  0.00330888          0.00177985
