#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#     7000.       60.       -1.      0.80    300.00     21000         0         1         1      0.50
#      q2         x       y  thetaj    sigrCC    nevent   estat   eunco   esyst    etot
     100. 0.00008500 0.70028   7.5   1.60730  0.34E+05    0.54    0.50    2.00    2.13
     100. 0.00020000 0.29762  26.4   1.73857  0.11E+06    0.30    0.50    2.00    2.08
     100. 0.00050000 0.11905  66.6   1.53458  0.76E+05    0.36    0.50    2.00    2.09
     100. 0.00085000 0.07003  97.9   1.34269  0.28E+05    0.60    0.50    2.00    2.15
     100. 0.00200000 0.02976 140.1   1.03410  0.68E+05    0.38    0.50    2.00    2.10
     100. 0.00500000 0.01190 163.6   0.76166  0.38E+05    0.51    0.50    2.00    2.12
     100. 0.00850000 0.00700 170.4   0.63816  0.13E+05    0.87    0.50    2.00    2.24
     100. 0.02000000 0.00298 175.9   0.48944  0.32E+05    0.56    0.50    2.00    2.14
     100. 0.05000000 0.00119 178.4   0.38699  0.14E+05    0.83    0.50    2.00    2.22
     200. 0.00020000 0.59524  14.4   1.53753  0.21E+06    0.22    0.50    2.00    2.07
     200. 0.00050000 0.23810  46.7   1.57976  0.20E+06    0.23    0.50    2.00    2.07
     200. 0.00085000 0.14006  75.9   1.44375  0.76E+05    0.36    0.50    2.00    2.09
     200. 0.00200000 0.05952 125.0   1.13891  0.19E+06    0.23    0.50    2.00    2.07
     200. 0.00500000 0.02381 156.9   0.83354  0.11E+06    0.31    0.50    2.00    2.08
     200. 0.00850000 0.01401 166.4   0.69058  0.36E+05    0.52    0.50    2.00    2.13
     200. 0.02000000 0.00595 174.2   0.51681  0.86E+05    0.34    0.50    2.00    2.09
     200. 0.05000000 0.00238 177.7   0.39613  0.50E+05    0.45    0.50    2.00    2.11
     200. 0.08500000 0.00140 178.6   0.34365  0.27E+05    0.61    0.50    2.00    2.15
     500. 0.00050000 0.59524  22.5   1.30256  0.39E+06    0.16    0.50    2.00    2.07
     500. 0.00085000 0.35014  46.4   1.34760  0.17E+06    0.25    0.50    2.00    2.08
