#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#     1000.       60.       -1.      0.00    100.00     21000         0         1         1      0.50
#     q2         x       y  thetaj    sigrCC    nevent   estat   eunco   esyst    etot
     100. 0.00050000 0.83333   4.7   4.04428  0.41E+05    0.49    0.50    2.00    2.12
     100. 0.00085000 0.49020  13.8   4.30326  0.30E+05    0.58    0.50    2.00    2.14
     100. 0.00200000 0.20833  39.2   4.26638  0.90E+05    0.33    0.50    2.00    2.09
     100. 0.00500000 0.08333  87.5   3.53748  0.59E+05    0.41    0.50    2.00    2.10
     100. 0.00850000 0.04902 117.8   3.06062  0.21E+05    0.69    0.50    2.00    2.17
     100. 0.02000000 0.02083 151.6   2.40851  0.53E+05    0.44    0.50    2.00    2.11
     100. 0.05000000 0.00833 168.5   1.92496  0.32E+05    0.56    0.50    2.00    2.14
     100. 0.08500000 0.00490 173.3   1.70664  0.24E+05    0.65    0.50    2.00    2.16
     100. 0.20000000 0.00208 177.1   1.27416  0.13E+05    0.88    0.50    2.00    2.24
     100. 0.30000001 0.00139 178.1   0.94526  0.62E+04    1.27    0.50    2.00    2.42
     100. 0.40000001 0.00104 178.6   0.64079  0.18E+04    2.35    0.50    3.33    4.11
     200. 0.00200000 0.41667  24.4   3.88938  0.20E+06    0.22    0.50    2.00    2.07
     200. 0.00500000 0.16667  65.7   3.58887  0.15E+06    0.26    0.50    2.00    2.08
     200. 0.00850000 0.09804  97.6   3.17295  0.56E+05    0.42    0.50    2.00    2.10
     200. 0.02000000 0.04167 140.3   2.50185  0.14E+06    0.27    0.50    2.00    2.08
     200. 0.05000000 0.01667 163.8   1.96006  0.83E+05    0.35    0.50    2.00    2.09
     200. 0.08500000 0.00980 170.4   1.70980  0.60E+05    0.41    0.50    2.00    2.10
     200. 0.20000000 0.00417 175.9   1.23605  0.31E+05    0.56    0.50    2.00    2.14
     200. 0.30000001 0.00278 177.3   0.89770  0.15E+05    0.82    0.50    2.00    2.22
     200. 0.40000001 0.00208 178.0   0.59635  0.75E+04    1.16    0.50    3.33    3.56
     200. 0.50000000 0.00167 178.4   0.34938  0.35E+04    1.68    0.50    4.67    4.99
     200. 0.60000002 0.00139 178.6   0.17185  0.13E+04    2.73    0.50    6.00    6.61
     200. 0.69999999 0.00119 178.8   0.06494  0.31E+03    5.67    0.50    7.33    9.29
     200. 0.80000001 0.00104 179.0   0.01543  0.69E+02   12.02    0.50    8.67   14.83
     500. 0.00500000 0.41667  37.7   3.10657  0.30E+06    0.18    0.50    2.00    2.07
     500. 0.00850000 0.24510  66.9   3.00139  0.12E+06    0.29    0.50    2.00    2.08
