THPREDICTIONS LHeCCC  NNPDF31sx_nnlonllx_as_0118
0    3.15011             0.0878019
1    3.72446             0.0753097
2    3.41526             0.0912991
3    3.05864             0.0823838
4    2.4423              0.0593888
5    1.83724             0.0368689
6    1.53328             0.0270969
7    1.1195              0.0161204
8    0.768422            0.0106332
9    3.13693             0.0427971
10   3.42523             0.0624411
11   3.20273             0.0665115
12   2.62218             0.0534901
13   1.96992             0.03453
14   1.63216             0.0254024
15   1.171               0.0150346
16   0.784257            0.0100598
17   0.603478            0.00851303
18   2.72137             0.0284189
19   2.92488             0.0315102
20   2.67308             0.039934
21   2.07682             0.0301403
22   1.72272             0.0227601
23   1.22074             0.0136892
24   0.797372            0.00937827
25   0.601694            0.00791802
26   0.315803            0.00774247
27   2.24703             0.0267699
28   2.44866             0.0234107
29   2.06251             0.0248279
30   1.73977             0.0199871
31   1.23887             0.012595
32   0.800365            0.00888523
33   0.597129            0.00749424
34   0.305365            0.00734951
35   0.170984            0.00664421
36   0.0904544           0.00800842
37   0.0432939           0.00896443
38   1.91618             0.0159869
39   1.90039             0.0170419
40   1.67619             0.0159483
41   1.22862             0.0112247
42   0.794565            0.00835504
43   0.588564            0.00705022
44   0.294793            0.00697572
45   0.162634            0.00626577
46   0.0850369           0.00761881
47   0.0398855           0.00849399
48   0.0216137           0.0179312
49   0.00561712          0.0128935
50   1.37272             0.0121889
51   1.38067             0.00955537
52   1.13496             0.00854766
53   0.762725            0.00746787
54   0.566265            0.00632389
55   0.27938             0.00644699
56   0.151837            0.0058254
57   0.0783891           0.00716723
58   0.03597             0.00796964
59   0.0190518           0.016359
60   0.00488435          0.0119742
61   0.00136755          0.00885211
62   0.992266            0.0116295
63   0.961239            0.006203
64   0.704382            0.00654717
65   0.533257            0.00554914
66   0.264807            0.00594596
67   0.143106            0.00547818
68   0.0734178           0.00683057
69   0.0332612           0.00761417
70   0.0173361           0.0152776
71   0.00439669          0.0113177
72   0.0011812           0.00797056
73   0.687745            0.00679232
74   0.594998            0.00564313
75   0.474239            0.00452529
76   0.244675            0.0052521
77   0.132756            0.00504829
78   0.0680402           0.00644701
79   0.0305619           0.00725275
80   0.0157127           0.0142355
81   0.00393153          0.0106594
82   0.00100689          0.00718143
83   0.357215            0.00662012
84   0.331394            0.00433163
85   0.200858            0.00391726
86   0.113259            0.00419713
87   0.0590465           0.00574365
88   0.0265128           0.00666142
89   0.0134886           0.0127854
90   0.00327651          0.00970463
91   0.000766534         0.00620742
92   0.183817            0.00690002
93   0.145994            0.00335684
94   0.0901658           0.00336462
95   0.0492181           0.00494935
96   0.0224763           0.00600492
97   0.0114914           0.0114722
98   0.00266233          0.00881535
99   0.0730071           0.00521667
100  0.0567619           0.00328342
101  0.0350769           0.00401397
102  0.0168752           0.00506505
103  0.00890234          0.00977476
104  0.0018308           0.00765135
105  0.012089            0.00393918
106  0.00693198          0.00377268
107  0.00428166          0.00684841
108  0.00024055          0.00560079
