#: table_doi: 10.17182/hepdata.85696.v2/t219
#: name: Table 219
#: description: Normalized cross section at the parton level as a function of $M(\text{t}\bar{\text{t}})$.
#: data_file: data219.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DMTT
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000
$M(\text{t}\bar{\text{t}})$ [GeV],$M(\text{t}\bar{\text{t}})$ [GeV] LOW,$M(\text{t}\bar{\text{t}})$ [GeV] HIGH,$\frac{1}{\sigma_\mathrm{norm}} \frac{{d}\sigma}{{d}M(\text{t}\bar{\text{t}})}$ [GeV$^{-1}$],stat +,stat -,sys +,sys -
330.0,300.0,360.0,0.00102570,0.00003144,-0.00003144,0.00026807,-0.00026807
395.0,360.0,430.0,0.00449533,0.00003697,-0.00003697,0.00014223,-0.00014223
465.0,430.0,500.0,0.00328807,0.00003446,-0.00003446,0.00012688,-0.00012688
540.0,500.0,580.0,0.00201566,0.00002468,-0.00002468,0.00005597,-0.00005597
630.0,580.0,680.0,0.00108399,0.00001516,-0.00001516,0.00003691,-0.00003691
740.0,680.0,800.0,0.000518232,0.000009368,-0.000009368,0.000023745,-0.000023745
900.0,800.0,1000.0,0.000198124,0.000003774,-0.000003774,0.000010516,-0.000010516
1100.0,1000.0,1200.0,0.000067698,0.000002442,-0.000002442,0.000003376,-0.000003376
1350.0,1200.0,1500.0,0.000020180,0.000001126,-0.000001126,0.000001710,-0.000001710
2000.0,1500.0,2500.0,0.0000025622,0.0000002136,-0.0000002136,0.0000004998,-0.0000004998

