coalition_labels,size,chi2,is_outlier
cbar|ubar|g|d|s,5,0.09201647,1
cbar|ubar|g|d|s|c,6,0.08732984,1
cbar|ubar|d|s,4,0.08546638,0
cbar|ubar|d|s|c,5,0.08067340,0
cbar|sbar|ubar|g|d|s,6,0.08034405,0
cbar|ubar|g|d|u|s,6,0.07918767,0
ubar|g|d|s,4,0.07868534,0
cbar|sbar|ubar|g|d|s|c,7,0.07781272,0
cbar|ubar|g|d|u|s|c,7,0.07744433,0
cbar|sbar|ubar|dbar|g|d|u|s|c,9,0.07653844,0
cbar|sbar|ubar|g|d|u|s|c,8,0.07631680,0
cbar|sbar|ubar|g|d|u|s,7,0.07590009,0
ubar|g|d|s|c,5,0.07428917,0
cbar|sbar|ubar|d|s,5,0.07350614,0
cbar|sbar|ubar|dbar|g|d|u|s,8,0.07345630,0
ubar|d|s,3,0.07247613,0
cbar|ubar|d|u|s,5,0.07226053,0
cbar|sbar|ubar|d|s|c,6,0.07086661,0
cbar|ubar|d|u|s|c,6,0.07040939,0
cbar|ubar|dbar|g|d|s,6,0.06995989,0
cbar|sbar|ubar|dbar|d|u|s|c,8,0.06913618,0
cbar|sbar|ubar|d|u|s|c,7,0.06899115,0
cbar|sbar|ubar|d|u|s,6,0.06868417,0
sbar|ubar|dbar|g|d|u|s|c,8,0.06855951,0
sbar|ubar|g|d|s,5,0.06842342,0
cbar|ubar|dbar|g|d|u|s|c,8,0.06826931,0
ubar|d|s|c,4,0.06797290,0
cbar|ubar|dbar|g|d|s|c,7,0.06793346,0
cbar|sbar|ubar|dbar|g|d|s|c,8,0.06781551,0
cbar|sbar|ubar|dbar|g|d|s,7,0.06768218,0
cbar|ubar|dbar|g|d|u|s,7,0.06735192,0
ubar|g|d|u|s,5,0.06710021,0
sbar|ubar|g|d|s|c,6,0.06618517,0
cbar|sbar|ubar|dbar|d|u|s,7,0.06616467,0
sbar|ubar|g|d|u|s|c,7,0.06593241,0
ubar|g|d|u|s|c,6,0.06564676,0
sbar|ubar|g|d|u|s,6,0.06522320,0
sbar|ubar|dbar|g|d|u|s,7,0.06518543,0
cbar|ubar|g|d,4,0.06347650,0
cbar|ubar|dbar|d|s,5,0.06333286,0
sbar|ubar|d|s,4,0.06192488,0
sbar|ubar|dbar|d|u|s|c,7,0.06149417,0
cbar|ubar|dbar|d|s|c,6,0.06119931,0
cbar|ubar|dbar|d|u|s|c,7,0.06115802,0
cbar|sbar|ubar|dbar|d|s|c,7,0.06079174,0
cbar|sbar|ubar|dbar|d|s,6,0.06076741,0
ubar|d|u|s,4,0.06051287,0
cbar|ubar|dbar|d|u|s,6,0.06034932,0
cbar|ubar|g|d|c,5,0.05969610,0
sbar|ubar|d|s|c,5,0.05957773,0
cbar|sbar|ubar|dbar|g|d|u|c,8,0.05909591,0
ubar|dbar|g|d|s,5,0.05903401,0
ubar|d|u|s|c,5,0.05895091,0
sbar|ubar|d|u|s|c,6,0.05894432,0
ubar|dbar|g|d|u|s|c,7,0.05887732,0
sbar|ubar|dbar|g|d|s|c,7,0.05859256,0
sbar|ubar|d|u|s,5,0.05834555,0
sbar|ubar|dbar|d|u|s,6,0.05823143,0
sbar|ubar|dbar|g|d|s,6,0.05816671,0
ubar|dbar|g|d|u|s,6,0.05767059,0
cbar|ubar|d,3,0.05763856,0
ubar|dbar|g|d|s|c,6,0.05729751,0
sbar|dbar|g|u|c,5,0.05537318,0
cbar|sbar|ubar|dbar|g|d|u,7,0.05510569,0
cbar|sbar|ubar|g|d|u|c,7,0.05420543,0
cbar|sbar|ubar|g|d,5,0.05419160,0
cbar|ubar|g|d|u,5,0.05377753,0
cbar|ubar|d|c,4,0.05375140,0
sbar|ubar|dbar|g|d|u|c,7,0.05349249,0
cbar|ubar|g|d|u|c,6,0.05294054,0
cbar|sbar|ubar|g|d|u,6,0.05288085,0
ubar|dbar|d|s,4,0.05274733,0
cbar|sbar|ubar|g|d|c,6,0.05256805,0
ubar|g|d,3,0.05252425,0
cbar|sbar|ubar|dbar|d|u|c,7,0.05240828,0
sbar|dbar|u|c,4,0.05219960,0
ubar|dbar|d|u|s|c,6,0.05210453,0
sbar|ubar|dbar|d|s|c,6,0.05190688,0
sbar|ubar|dbar|d|s,5,0.05159073,0
ubar|dbar|d|u|s,5,0.05100718,0
ubar|dbar|d|s|c,5,0.05090298,0
cbar|sbar|dbar|g|u|c,6,0.05089598,0
cbar|sbar|ubar|dbar|g|u|s|c,8,0.05061734,0
cbar|sbar|dbar|g|d|u|s|c,8,0.04994494,0
sbar|ubar|dbar|g|d|u,6,0.04921157,0
ubar|g|d|c,4,0.04903315,0
cbar|sbar|ubar|dbar|d|u,6,0.04852915,0
cbar|ubar|dbar|g|d|u|c,7,0.04842822,0
cbar|sbar|ubar|d,4,0.04806660,0
sbar|ubar|dbar|g|u|s|c,7,0.04801970,0
sbar|dbar|g|u|s|c,6,0.04792415,0
cbar|sbar|ubar|d|u|c,6,0.04759349,0
cbar|ubar|d|u,4,0.04756377,0
cbar|sbar|dbar|u|c,5,0.04739429,0
cbar|sbar|ubar|dbar|g|d|c,7,0.04724571,0
sbar|ubar|dbar|d|u|c,6,0.04714030,0
sbar|dbar|g|u,4,0.04710000,0
ubar|d,2,0.04702570,0
sbar|dbar|g|d|u|s|c,7,0.04668264,0
cbar|ubar|d|u|c,5,0.04661857,0
cbar|ubar|dbar|g|d|u,6,0.04660423,0
cbar|sbar|ubar|d|u,5,0.04637909,0
cbar|sbar|ubar|d|c,5,0.04633441,0
cbar|sbar|ubar|dbar|g|d,6,0.04620438,0
sbar|ubar|g|d|u|c,6,0.04619650,0
cbar|ubar|dbar|g|d,5,0.04608835,0
cbar|sbar|ubar|dbar|g|u|c,7,0.04597537,0
cbar|sbar|dbar|g|u|s|c,7,0.04581323,0
sbar|ubar|dbar|g|u|c,6,0.04575160,0
cbar|sbar|dbar|g|d|u|s,7,0.04544320,0
cbar|ubar|dbar|g|d|c,6,0.04496842,0
cbar|sbar|ubar|dbar|g|u|s,7,0.04495795,0
cbar|sbar|ubar|dbar|u|s|c,7,0.04494282,0
cbar|g|d|s,4,0.04494173,0
