#: table_doi: 10.17182/hepdata.12557.v1/t86
#: name: Table 86
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table86.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 19.393
#: P [GeV],200.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],19.393
#: X,0.45
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
32.5,0.14306,0.00266,-0.00266,0.00106,-0.00106,3.0%,-3.0%
37.5,0.13699,0.00276,-0.00276,0.00086,-0.00086,3.0%,-3.0%
43.0,0.13886,0.00183,-0.00183,0.00074,-0.00074,3.0%,-3.0%
49.5,0.13693,0.00179,-0.00179,0.00058,-0.00058,3.0%,-3.0%
57.0,0.13616,0.00185,-0.00185,0.00055,-0.00055,3.0%,-3.0%
65.5,0.13059,0.00183,-0.00183,0.00053,-0.00053,3.0%,-3.0%
75.0,0.12772,0.00226,-0.00226,0.0004,-0.0004,3.0%,-3.0%
86.0,0.13136,0.00236,-0.00236,0.00054,-0.00054,3.0%,-3.0%
99.0,0.12791,0.00244,-0.00244,0.00038,-0.00038,3.0%,-3.0%
115.5,0.12426,0.00241,-0.00241,0.00039,-0.00039,3.0%,-3.0%

