#: table_doi: 10.17182/hepdata.12557.v1/t44
#: name: Table 44
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table44.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729
#: P [GeV],100.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729
#: X,0.65
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
13.25,0.0439,0.00187,-0.00187,0.00277,-0.00277,3.0%,-3.0%
15.0,0.04265,0.00166,-0.00166,0.00233,-0.00233,3.0%,-3.0%
17.0,0.04167,0.00184,-0.00184,0.00202,-0.00202,3.0%,-3.0%
19.0,0.04151,0.00198,-0.00198,0.00173,-0.00173,3.0%,-3.0%
21.5,0.04012,0.00178,-0.00178,0.00144,-0.00144,3.0%,-3.0%
24.5,0.04117,0.00121,-0.00121,0.00113,-0.00113,3.0%,-3.0%
28.0,0.03871,0.00121,-0.00121,0.00095,-0.00095,3.0%,-3.0%
32.5,0.03829,0.00143,-0.00143,0.00079,-0.00079,3.0%,-3.0%
37.5,0.03666,0.00161,-0.00161,0.00062,-0.00062,3.0%,-3.0%
43.0,0.03529,0.00166,-0.00166,0.0005,-0.0005,3.0%,-3.0%
49.5,0.03309,0.00166,-0.00166,0.0004,-0.0004,3.0%,-3.0%
57.0,0.03371,0.00184,-0.00184,0.00036,-0.00036,3.0%,-3.0%
65.5,0.02989,0.00187,-0.00187,0.00028,-0.00028,3.0%,-3.0%
75.0,0.03206,0.00218,-0.00218,0.00027,-0.00027,3.0%,-3.0%

