#: table_doi: 10.17182/hepdata.12557.v1/t105
#: name: Table 105
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table105.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 22.938
#: P [GeV],280.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],22.938
#: X,0.35
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
43.0,0.20778,0.00472,-0.00472,0.00091,-0.00091,3.0%,-3.0%
49.5,0.21507,0.00481,-0.00481,0.0008,-0.0008,3.0%,-3.0%
57.0,0.21277,0.0033,-0.0033,0.00075,-0.00075,3.0%,-3.0%
65.5,0.20136,0.00334,-0.00334,0.00062,-0.00062,3.0%,-3.0%
75.0,0.20997,0.00361,-0.00361,0.00056,-0.00056,3.0%,-3.0%
86.0,0.20664,0.00359,-0.00359,0.00073,-0.00073,3.0%,-3.0%
99.0,0.20421,0.00377,-0.00377,0.00062,-0.00062,3.0%,-3.0%
115.5,0.20511,0.00444,-0.00444,0.00041,-0.00041,3.0%,-3.0%
137.5,0.20266,0.00477,-0.00477,0.00041,-0.00041,3.0%,-3.0%

