#: table_doi: 10.17182/hepdata.12557.v1/t89
#: name: Table 89
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table89.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 19.393
#: P [GeV],200.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],19.393
#: X,0.75
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
43.0,0.01252,0.00042,-0.00042,0.00108,-0.00108,3.0%,-3.0%
49.5,0.01189,0.00044,-0.00044,0.00091,-0.00091,3.0%,-3.0%
57.0,0.01076,0.00046,-0.00046,0.00075,-0.00075,3.0%,-3.0%
65.5,0.01068,0.00052,-0.00052,0.00066,-0.00066,3.0%,-3.0%
75.0,0.01117,0.00058,-0.00058,0.00063,-0.00063,3.0%,-3.0%
86.0,0.01,0.00058,-0.00058,0.00048,-0.00048,3.0%,-3.0%
99.0,0.00906,0.0006,-0.0006,0.00039,-0.00039,3.0%,-3.0%
115.5,0.00814,0.00061,-0.00061,0.00029,-0.00029,3.0%,-3.0%
137.5,0.00904,0.00068,-0.00068,0.00026,-0.00026,3.0%,-3.0%

