#: table_doi: 10.17182/hepdata.12557.v1/t15
#: name: Table 15
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table15.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.14
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
8.75,0.37768,0.00392,-0.00392,0.0043,-0.0043,3.0%,-3.0%
10.25,0.37965,0.00399,-0.00399,0.0045,-0.0045,3.0%,-3.0%
11.75,0.37955,0.00347,-0.00347,0.00445,-0.00445,3.0%,-3.0%
13.25,0.37406,0.00369,-0.00369,0.00416,-0.00416,3.0%,-3.0%
15.0,0.37906,0.00371,-0.00371,0.00435,-0.00435,3.0%,-3.0%
17.0,0.37759,0.00636,-0.00636,0.00404,-0.00404,3.0%,-3.0%
19.0,0.36935,0.00697,-0.00697,0.00388,-0.00388,3.0%,-3.0%
21.5,0.38121,0.00364,-0.00364,0.00319,-0.00319,3.0%,-3.0%
24.5,0.38366,0.00382,-0.00382,0.00359,-0.00359,3.0%,-3.0%
28.0,0.37999,0.00367,-0.00367,0.00253,-0.00253,3.0%,-3.0%
32.5,0.37396,0.00363,-0.00363,0.00267,-0.00267,3.0%,-3.0%
37.5,0.37701,0.00661,-0.00661,0.00293,-0.00293,3.0%,-3.0%
43.0,0.37628,0.00655,-0.00655,0.00268,-0.00268,3.0%,-3.0%
49.5,0.3642,0.00675,-0.00675,0.00258,-0.00258,3.0%,-3.0%
57.0,0.38075,0.00825,-0.00825,0.00255,-0.00255,3.0%,-3.0%

