#: table_doi: 10.17182/hepdata.12557.v1/t39
#: name: Table 39
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table39.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729
#: P [GeV],100.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729
#: X,0.225
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
10.25,0.3412,0.00482,-0.00482,0.00229,-0.00229,3.0%,-3.0%
11.75,0.34635,0.00502,-0.00502,0.00224,-0.00224,3.0%,-3.0%
13.25,0.33805,0.00522,-0.00522,0.00215,-0.00215,3.0%,-3.0%
15.0,0.33659,0.00492,-0.00492,0.00214,-0.00214,3.0%,-3.0%
17.0,0.32138,0.00525,-0.00525,0.00198,-0.00198,3.0%,-3.0%
19.0,0.32395,0.00582,-0.00582,0.0021,-0.0021,3.0%,-3.0%
21.5,0.31436,0.00557,-0.00557,0.00198,-0.00198,3.0%,-3.0%
24.5,0.32498,0.00528,-0.00528,0.00059,-0.00059,3.0%,-3.0%
28.0,0.31917,0.00538,-0.00538,0.00078,-0.00078,3.0%,-3.0%

