#: table_doi: 10.17182/hepdata.12557.v1/t87
#: name: Table 87
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table87.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 19.393
#: P [GeV],200.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],19.393
#: X,0.55
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
32.5,0.07735,0.00202,-0.00202,0.00155,-0.00155,3.0%,-3.0%
37.5,0.08022,0.00227,-0.00227,0.00137,-0.00137,3.0%,-3.0%
43.0,0.07595,0.00135,-0.00135,0.00104,-0.00104,3.0%,-3.0%
49.5,0.07563,0.00136,-0.00136,0.00093,-0.00093,3.0%,-3.0%
57.0,0.07595,0.00145,-0.00145,0.00074,-0.00074,3.0%,-3.0%
65.5,0.07098,0.00142,-0.00142,0.00055,-0.00055,3.0%,-3.0%
75.0,0.07032,0.00155,-0.00155,0.0005,-0.0005,3.0%,-3.0%
86.0,0.07313,0.00191,-0.00191,0.0005,-0.0005,3.0%,-3.0%
99.0,0.067,0.00188,-0.00188,0.00039,-0.00039,3.0%,-3.0%
115.5,0.06536,0.00186,-0.00186,0.00034,-0.00034,3.0%,-3.0%
137.5,0.06655,0.00197,-0.00197,0.00033,-0.00033,3.0%,-3.0%

