#: table_doi: 10.17182/hepdata.12557.v1/t62
#: name: Table 62
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table62.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.034
#: P [GeV],120.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],15.034
#: X,0.275
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
13.25,0.3008,0.00786,-0.00786,0.00197,-0.00197,3.0%,-3.0%
15.0,0.31145,0.00732,-0.00732,0.00222,-0.00222,3.0%,-3.0%
17.0,0.29635,0.00723,-0.00723,0.00183,-0.00183,3.0%,-3.0%
19.0,0.29636,0.00756,-0.00756,0.00199,-0.00199,3.0%,-3.0%
21.5,0.29332,0.00678,-0.00678,0.00177,-0.00177,3.0%,-3.0%
24.5,0.28738,0.00486,-0.00486,0.00097,-0.00097,3.0%,-3.0%
28.0,0.28549,0.00466,-0.00466,0.00089,-0.00089,3.0%,-3.0%
32.5,0.28478,0.00476,-0.00476,0.00062,-0.00062,3.0%,-3.0%
37.5,0.28665,0.00616,-0.00616,0.00076,-0.00076,3.0%,-3.0%
43.0,0.27188,0.00624,-0.00624,0.00101,-0.00101,3.0%,-3.0%

