#: table_doi: 10.17182/hepdata.12557.v1/t66
#: name: Table 66
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table66.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.034
#: P [GeV],120.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],15.034
#: X,0.65
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
17.0,0.04112,0.00214,-0.00214,0.00227,-0.00227,3.0%,-3.0%
19.0,0.04283,0.00238,-0.00238,0.00208,-0.00208,3.0%,-3.0%
21.5,0.04107,0.00218,-0.00218,0.00181,-0.00181,3.0%,-3.0%
24.5,0.03655,0.0023,-0.0023,0.00138,-0.00138,3.0%,-3.0%
28.0,0.03694,0.00225,-0.00225,0.00121,-0.00121,3.0%,-3.0%
32.5,0.03681,0.00136,-0.00136,0.00095,-0.00095,3.0%,-3.0%
37.5,0.04068,0.0017,-0.0017,0.00088,-0.00088,3.0%,-3.0%
43.0,0.03615,0.00184,-0.00184,0.00067,-0.00067,3.0%,-3.0%
49.5,0.03593,0.00198,-0.00198,0.00057,-0.00057,3.0%,-3.0%
57.0,0.03047,0.00193,-0.00193,0.00041,-0.00041,3.0%,-3.0%
65.5,0.03567,0.00231,-0.00231,0.00043,-0.00043,3.0%,-3.0%
75.0,0.03176,0.00244,-0.00244,0.00033,-0.00033,3.0%,-3.0%
86.0,0.03051,0.00252,-0.00252,0.00029,-0.00029,3.0%,-3.0%
99.0,0.03451,0.00296,-0.00296,0.00029,-0.00029,3.0%,-3.0%

